alpha,beta,gamma,selected_ranker,selected_k,selected_macro_f1,selected_n_selected,selected_normalized_inference_time,j,guarded,performance_floor
0.35,0.2,0.45,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5269951742885081,False,
0.35,0.25,0.4,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.4809872892160703,False,
0.35,0.3,0.35,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.43497940414363256,False,
0.35,0.35,0.3,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.3886829501015564,False,
0.35,0.4,0.25,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.3423061385073535,False,
0.35,0.45,0.2,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.2959293269131506,False,
0.35,0.5,0.15,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.2495525153189477,False,
0.35,0.55,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.20317570372474483,False,
0.35,0.6,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.15679889213054193,False,
0.35,0.65,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.11042208053633905,False,
0.4,0.0,0.6,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.6652021052599446,False,
0.4,0.05,0.55,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.6243235511539134,False,
0.4,0.1,0.5,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5787831222924639,False,
0.4,0.15,0.45,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5327752372200261,False,
0.4,0.2,0.4,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.48676735214758843,False,
0.4,0.25,0.35,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.440482377755816,False,
0.4,0.3,0.3,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.3941055661616131,False,
0.4,0.35,0.25,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.3477287545674102,False,
0.4,0.4,0.2,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.30135194297320733,False,
0.4,0.45,0.15,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.2549751313790044,False,
0.4,0.5,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.20859831978480153,False,
0.4,0.55,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.16222150819059866,False,
0.4,0.6,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.11584469659639576,False,
0.45,0.0,0.55,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.6233523684174377,False,
0.45,0.05,0.5,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.5827081979467033,False,
0.45,0.1,0.45,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5385553001515442,False,
0.45,0.15,0.4,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.4922818054100756,False,
0.45,0.2,0.35,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.4459049938158727,False,
0.45,0.25,0.3,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.3995281822216698,False,
0.45,0.3,0.25,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.35315137062746693,False,
0.45,0.35,0.2,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.306774559033264,False,
0.45,0.4,0.15,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.26039774743906113,False,
0.45,0.45,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.21402093584485826,False,
0.45,0.5,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.16764412425065536,False,
0.45,0.55,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.12126731265645249,False,
0.5,0.0,0.5,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.5815026315749308,False,
0.5,0.05,0.45,gb_importance,20,0.8323070641442019,20.0,0.9999999999999998,0.5410928447394932,False,
0.5,0.1,0.4,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.4977044214701323,False,
0.5,0.15,0.35,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.4513276098759294,False,
