run,exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,planner_inner_scores,macro_f1,weighted_f1,macro_precision,macro_recall,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole,precision_Absent,recall_Absent,f1_Absent,support_Absent,precision_Present,recall_Present,f1_Present,support_Present,precision_Unknown,recall_Unknown,f1_Unknown,support_Unknown
EXP-A1,EXP-A1,M3,binary,1,1,r1f1,2585,655,138,0.8778625954198473,0.8035532131927916,0.6764705882352942,0.930635838150289,0.71875,0.696969696969697,0.6210229797536967,0.9292757565453929,0.75865218703514,92.0,36.0,483.0,44.0,655.0,136.0,519.0,0.1792423379563322,0.0589493364931683,0.931736,0.630064,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,1,2,r1f2,2596,644,138,0.9130434782608696,0.8374179724119459,0.7099236641221374,0.9649122807017544,0.8378378378378378,0.768595041322314,0.719229419417638,0.9539008675207952,0.8675614064407223,93.0,18.0,495.0,38.0,644.0,131.0,513.0,0.1434987934579659,0.0633253323679191,1.10528,0.630605,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,1,3,r1f3,2589,651,138,0.8663594470046083,0.7707579672695952,0.6074074074074074,0.9341085271317828,0.7068965517241379,0.6533864541832669,0.5737161694025683,0.923026126902096,0.669056127384076,82.0,34.0,482.0,53.0,651.0,135.0,516.0,0.1847933758415506,0.0239503044768033,0.918759,0.623593,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,1,4,r1f4,2597,643,138,0.895800933125972,0.8465231393129771,0.7633587786259542,0.9296875,0.7352941176470589,0.7490636704119851,0.6835329115749913,0.946057967557252,0.7471948130302237,100.0,36.0,476.0,31.0,643.0,131.0,512.0,0.1669009716548559,0.0840810991898464,0.98096,0.65739,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,2,0,r2f0,2596,644,138,0.8385093167701864,0.7423180512774727,0.5801526717557252,0.9044834307992202,0.608,0.59375,0.4932549001460647,0.8854069014776125,0.5881176436664651,76.0,49.0,464.0,55.0,644.0,131.0,513.0,0.2226373235168799,0.0359433828299999,1.066425,0.603248,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,2,1,r2f1,2589,651,138,0.8832565284178188,0.8269869222552615,0.7313432835820896,0.9226305609284332,0.7101449275362319,0.7205882352941176,0.646933773311733,0.9332688588007736,0.7613298552059403,98.0,40.0,477.0,36.0,651.0,134.0,517.0,0.1730330087393804,0.0507106937511935,1.152954,0.775652,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,2,2,r2f2,2585,655,138,0.9068702290076336,0.8256911760561396,0.6861313868613139,0.9652509652509652,0.8392857142857143,0.7550200803212851,0.7036427631502731,0.9429022348730378,0.8139366988079532,94.0,18.0,500.0,43.0,655.0,137.0,518.0,0.1615207166129606,0.0796648001303026,1.164329,0.659094,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,2,3,r2f3,2597,643,138,0.8926905132192846,0.8474102457061068,0.7709923664122137,0.923828125,0.7214285714285714,0.7453874538745388,0.6781023289665742,0.94329973759542,0.7219718254555271,101.0,39.0,473.0,30.0,643.0,131.0,512.0,0.1685459698931823,0.0761400563698035,1.126946,0.620222,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,2,4,r2f4,2593,647,138,0.8763523956723338,0.7927478670197117,0.6515151515151515,0.933980582524272,0.7166666666666667,0.6825396825396826,0.6070415031634077,0.9222712562518388,0.6971002270232313,86.0,34.0,481.0,46.0,647.0,132.0,515.0,0.1810102287457045,0.0363420147870322,0.926246,0.613328,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,3,0,r3f0,2596,644,138,0.8260869565217391,0.737362915346041,0.5877862595419847,0.8869395711500975,0.5703703703703704,0.5789473684210527,0.4694738622032071,0.8706158951237296,0.5724553957560613,77.0,58.0,455.0,54.0,644.0,131.0,513.0,0.2365680006506637,0.0397016616328631,0.924665,0.594509,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
