run,model_id,metric,n_folds,mean,sd,min,max,ci_low,ci_high,ci_kind,formatted
EXP-A2,M8,sensitivity,25,0.8218651609921878,0.0703008077853119,0.6870229007633588,0.931297709923664,0.7928464137783091,0.8508839082060664,95% t-interval of the fold mean,0.8219 +/- 0.0703
EXP-A2,M8,balanced_accuracy,25,0.8482519737790061,0.02850629120222552,0.7889305536955196,0.8875238549618321,0.8364851550970815,0.8600187924609306,95% t-interval of the fold mean,0.8483 +/- 0.0285
EXP-A2,M8,specificity,25,0.8746387865658246,0.050262177639069844,0.8,0.9571150097465888,0.8538915793391109,0.8953859937925384,95% t-interval of the fold mean,0.8746 +/- 0.0503
EXP-A2,M8,f1,25,0.7153507911364362,0.049582850601157136,0.6257668711656442,0.797153024911032,0.6948839963290071,0.7358175859438653,95% t-interval of the fold mean,0.7154 +/- 0.0496
EXP-A2,M8,roc_auc,25,0.9374168268419864,0.020513827541552832,0.8843652813118462,0.965805097986697,0.9289491350106871,0.9458845186732856,95% t-interval of the fold mean,0.9374 +/- 0.0205
EXP-A2,M8,accuracy,25,0.8638177500271753,0.03339482784299887,0.8105590062111802,0.9177018633540373,0.8500330425969791,0.8776024574573715,95% t-interval of the fold mean,0.8638 +/- 0.0334
EXP-B1,M1,balanced_accuracy,10,0.6282720588235294,0.0496775908489804,0.572875816993464,0.7266135620915033,0.5927348511377262,0.6638092665093327,95% t-interval of the fold mean,0.6283 +/- 0.0497
EXP-B1,M1,accuracy,10,0.6629032258064516,0.034383391301762316,0.5967741935483871,0.7258064516129032,0.6383068293880442,0.6874996222248589,95% t-interval of the fold mean,0.6629 +/- 0.0344
EXP-B1,M1,macro_f1,10,0.6194446081250057,0.03752651279932807,0.5782467532467532,0.7017234625930279,0.5925997580370098,0.6462894582130015,95% t-interval of the fold mean,0.6194 +/- 0.0375
EXP-B1,M3,balanced_accuracy,10,0.5973386437908496,0.057688580972257326,0.5224264705882353,0.6944444444444444,0.5560707189966974,0.6386065685850018,95% t-interval of the fold mean,0.5973 +/- 0.0577
EXP-B1,M3,accuracy,10,0.6596774193548387,0.03835711608975693,0.5806451612903226,0.7096774193548387,0.6322383914669126,0.6871164472427648,95% t-interval of the fold mean,0.6597 +/- 0.0384
EXP-B1,M3,macro_f1,10,0.5586488141800161,0.04586494090312529,0.5056568969051035,0.6443781245265869,0.5258390119630291,0.5914586163970031,95% t-interval of the fold mean,0.5586 +/- 0.0459
EXP-B1,M4,balanced_accuracy,10,0.6639440359477125,0.04798382794285336,0.5785334967320261,0.7393382352941176,0.6296184732538842,0.6982695986415407,95% t-interval of the fold mean,0.6639 +/- 0.0480
EXP-B1,M4,accuracy,10,0.6838709677419356,0.029643115595892975,0.6451612903225806,0.7258064516129032,0.6626655602859268,0.7050763751979443,95% t-interval of the fold mean,0.6839 +/- 0.0296
EXP-B1,M4,macro_f1,10,0.6263469691986043,0.030022303026193665,0.5825013401232914,0.6681929181929183,0.6048703073956727,0.647823631001536,95% t-interval of the fold mean,0.6263 +/- 0.0300
EXP-B1,M5,balanced_accuracy,10,0.6259926470588235,0.054495053988470724,0.5306372549019608,0.6966094771241831,0.5870092338469268,0.6649760602707202,95% t-interval of the fold mean,0.6260 +/- 0.0545
EXP-B1,M5,accuracy,10,0.6693548387096775,0.038206103235354574,0.5967741935483871,0.7258064516129032,0.6420238389100384,0.6966858385093165,95% t-interval of the fold mean,0.6694 +/- 0.0382
EXP-B1,M5,macro_f1,10,0.6158550205758606,0.05536752557341777,0.531579939668175,0.7012370670265407,0.5762474787904088,0.6554625623613124,95% t-interval of the fold mean,0.6159 +/- 0.0554
EXP-B1,M6,balanced_accuracy,10,0.6116891339869281,0.05349724338110402,0.5376838235294118,0.7378472222222222,0.5734195114838619,0.6499587564899943,95% t-interval of the fold mean,0.6117 +/- 0.0535
EXP-B1,M6,accuracy,10,0.6709677419354839,0.03816825666515882,0.6129032258064516,0.7419354838709677,0.6436638159412017,0.6982716679297661,95% t-interval of the fold mean,0.6710 +/- 0.0382
EXP-B1,M6,macro_f1,10,0.5887179028047618,0.032868949094337185,0.5172619047619047,0.6400070028011204,0.5652048730781294,0.6122309325313942,95% t-interval of the fold mean,0.5887 +/- 0.0329
EXP-B1,M7,balanced_accuracy,10,0.6197426470588236,0.05556512486869671,0.5556372549019608,0.7099264705882353,0.5799937512528791,0.6594915428647682,95% t-interval of the fold mean,0.6197 +/- 0.0556
