run,rank,model_id,model_name,x,mean,sd,n_folds,pr_auc_mean,pr_auc_sd,prevalence,legend
EXP-A1,1,M6,Soft Voting (equal weights),0.7,0.783769,0.104724,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.71,0.779008,0.100395,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.72,0.774019,0.100898,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.73,0.768562,0.098582,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.74,0.762045,0.097053,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.75,0.751633,0.094101,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.76,0.743378,0.094297,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.77,0.733404,0.094537,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.78,0.722108,0.093696,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.79,0.712684,0.092548,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.8,0.703424,0.092899,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.81,0.693423,0.095223,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.82,0.681919,0.093682,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.83,0.669757,0.091108,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.84,0.657923,0.088079,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.85,0.64737,0.088467,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.86,0.630018,0.08758,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.87,0.619226,0.08777,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.88,0.607371,0.085873,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.89,0.588661,0.083794,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.9,0.575845,0.080093,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.91,0.559506,0.074568,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.92,0.545382,0.07146,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.93,0.532827,0.066584,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.94,0.519436,0.064071,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.95,0.503644,0.058339,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.96,0.490808,0.051266,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.97,0.476805,0.051071,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.98,0.465304,0.044969,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.99,0.449346,0.041671,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
