task,run,model_id,class_index,class_name,x,mean,sd,n_folds,n_folds_total,auc_mean,auc_sd,ovr_auc_macro_mean,legend
pascal_a,EXP-B1,M4,0,normal,0.8,0.9933333333333334,0.02108185106778919,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.81,0.9933333333333334,0.02108185106778919,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.82,0.9933333333333334,0.02108185106778919,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.83,0.9933333333333334,0.02108185106778919,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.84,0.9933333333333334,0.02108185106778919,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.85,0.9933333333333334,0.02108185106778919,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.86,0.9933333333333334,0.02108185106778919,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.87,0.9933333333333334,0.02108185106778919,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.88,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.89,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.9,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.91,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.92,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.93,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.94,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.95,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.96,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.97,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.98,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.99,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,1.0,1.0,0.0,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,1,murmur,0.0,0.3764705882352941,0.16683958734260898,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.01,0.3764705882352941,0.16683958734260898,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.02,0.3764705882352941,0.16683958734260898,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.03,0.5352941176470589,0.14790605620114597,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.04,0.5352941176470589,0.14790605620114597,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.05,0.6294117647058823,0.10394006494665546,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.06,0.6294117647058823,0.10394006494665546,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.07,0.7352941176470588,0.11846123503524088,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.08,0.7352941176470588,0.11846123503524088,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.09,0.7947058823529412,0.07965708898912062,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.1,0.7999999999999999,0.08060707761213513,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.11,0.8052941176470588,0.08305952711287105,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.12,0.8411764705882352,0.0786760888146623,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.13,0.8411764705882352,0.0786760888146623,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
pascal_a,EXP-B1,M4,1,murmur,0.14,0.8470588235294116,0.08410827682167536,10,10,0.9321568627450981,0.024234571807495546,0.8803005993147863,murmur  AUC 0.932
