run,rank,model_id,model_name,x,mean,sd,n_folds,roc_auc_mean,roc_auc_sd,legend
EXP-A1,1,M6,Soft Voting (equal weights),0.65,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.66,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.67,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.68,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.69,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.7,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.71,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.72,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.73,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.74,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.75,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.76,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.77,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.78,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.79,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.8,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
