run,task,model_id,fold_label,quality_group,n_units,n_records_corpus,reported,mean_snr_proxy_db,n_classes_present,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative
EXP-A2,binary,M4,r3f2,clean,558,2763,True,29.27824563620072,2,0.8888888888888888,0.896889400921659,0.9112903225806451,0.8824884792626728,0.6890243902439024,0.7847222222222222,0.7244112214904783,0.9646945146424855,0.8670065846592311,113.0,51.0,383.0,11.0,558.0,124.0,434.0
EXP-A2,binary,M4,r3f2,low_quality_other,1,15,False,41.86032,1,1.0,0.5,0.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EXP-A2,binary,M4,r3f2,noisy,96,462,True,31.597966218750003,2,0.78125,0.6964285714285714,0.5833333333333334,0.8095238095238095,0.30434782608695654,0.4,0.30439644200932836,0.7718253968253969,0.5685230996118509,7.0,16.0,68.0,5.0,96.0,12.0,84.0
EXP-A2,binary,M4,r3f3,clean,563,2763,True,30.497444957371226,2,0.9005328596802842,0.9031058369293663,0.907563025210084,0.8986486486486487,0.7058823529411765,0.7941176470588235,0.7399057534668843,0.9628094481035658,0.8487044419163706,108.0,45.0,399.0,11.0,563.0,119.0,444.0
EXP-A2,binary,M4,r3f3,low_quality_other,5,15,False,39.562583599999996,2,0.2,0.5,1.0,0.0,0.2,0.3333333333333333,0.0,1.0,1.0,1.0,4.0,0.0,0.0,5.0,1.0,4.0
EXP-A2,binary,M4,r3f3,noisy,83,462,True,32.44802554216867,2,0.6626506024096386,0.5602941176470588,0.4,0.7205882352941176,0.24,0.3,0.10113955173397443,0.5235294117647058,0.21136731224507777,6.0,19.0,49.0,9.0,83.0,15.0,68.0
EXP-A2,binary,M4,r3f4,clean,520,2763,True,28.497381340384614,2,0.8923076923076924,0.8759305210918114,0.8461538461538461,0.9057071960297767,0.7226277372262774,0.7795275590551181,0.7127272533885405,0.9610400627770355,0.8530963242910479,99.0,38.0,365.0,18.0,520.0,117.0,403.0
EXP-A2,binary,M4,r3f4,low_quality_other,8,15,False,26.538081625,2,0.625,0.5,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.5333333333333333,0.0,0.0,5.0,3.0,8.0,3.0,5.0
EXP-A2,binary,M4,r3f4,noisy,115,462,True,29.50724419130435,2,0.8782608695652174,0.5668706293706294,0.18181818181818182,0.9519230769230769,0.2857142857142857,0.2222222222222222,0.1645195529919873,0.6022727272727273,0.25467075478507634,2.0,5.0,99.0,9.0,115.0,11.0,104.0
EXP-A2,binary,M4,r4f0,clean,558,2763,True,30.33845090322581,2,0.8458781362007168,0.8482478568205745,0.8524590163934426,0.8440366972477065,0.6046511627906976,0.7074829931972789,0.6234243084789665,0.9213603549405927,0.735237724119802,104.0,68.0,368.0,18.0,558.0,122.0,436.0
EXP-A2,binary,M4,r4f0,low_quality_other,4,15,False,22.716457,1,0.25,0.25,0.25,,1.0,0.4,,,,1.0,0.0,0.0,3.0,4.0,4.0,0.0
EXP-A2,binary,M4,r4f0,noisy,93,462,True,31.2708162795699,2,0.7956989247311828,0.6216867469879519,0.4,0.8433734939759037,0.23529411764705882,0.2962962962962963,0.19506577001336634,0.6662650602409639,0.4509788935482796,4.0,13.0,70.0,6.0,93.0,10.0,83.0
EXP-A2,binary,M4,r4f1,clean,531,2763,True,29.396334990583807,2,0.9058380414312618,0.8990071070234114,0.8869565217391304,0.9110576923076923,0.7338129496402878,0.8031496062992126,0.7477488931226066,0.975041806020067,0.9046041947813461,102.0,37.0,379.0,13.0,531.0,115.0,416.0
EXP-A2,binary,M4,r4f1,noisy,113,462,True,27.44758150442478,2,0.7079646017699115,0.647229381443299,0.5625,0.7319587628865979,0.2571428571428571,0.35294117647058826,0.22201842533112218,0.7512886597938144,0.46341422928531695,9.0,26.0,71.0,7.0,113.0,16.0,97.0
EXP-A2,binary,M4,r4f2,clean,555,2763,True,29.949389286486486,2,0.9063063063063063,0.8900322048542926,0.8620689655172413,0.9179954441913439,0.7352941176470589,0.7936507936507936,0.7374205783820441,0.9666758306495954,0.8839795119919748,100.0,36.0,403.0,16.0,555.0,116.0,439.0
EXP-A2,binary,M4,r4f2,low_quality_other,3,15,False,31.939355333333328,1,1.0,0.5,0.0,1.0,0.0,0.0,,,,0.0,0.0,3.0,0.0,3.0,0.0,3.0
EXP-A2,binary,M4,r4f2,noisy,89,462,True,32.30650229213484,2,0.8314606741573034,0.6288527397260274,0.3125,0.9452054794520548,0.5555555555555556,0.4,0.3282304181242799,0.6566780821917808,0.33927060225977057,5.0,4.0,69.0,11.0,89.0,16.0,73.0
EXP-A2,binary,M4,r4f3,clean,580,2763,True,29.925905437931032,2,0.9017241379310345,0.9041666666666667,0.9083333333333333,0.9,0.7032258064516129,0.7927272727272727,0.7399454652794372,0.9609420289855073,0.8427237016552221,109.0,46.0,414.0,11.0,580.0,120.0,460.0
EXP-A2,binary,M4,r4f3,low_quality_other,8,15,False,35.7659065,1,0.375,0.1875,0.0,0.375,0.0,0.0,,,,0.0,5.0,3.0,0.0,8.0,0.0,8.0
EXP-A2,binary,M4,r4f3,noisy,63,462,True,31.583516936507944,2,0.7619047619047619,0.6375,0.4,0.875,0.5,0.4444444444444444,0.29827937950065225,0.6277777777777778,0.5213763831877436,6.0,6.0,42.0,9.0,63.0,15.0,48.0
EXP-A2,binary,M4,r4f4,clean,539,2763,True,29.970207254174394,2,0.8905380333951762,0.8765586546349466,0.8521739130434782,0.9009433962264151,0.7,0.7686274509803922,0.7036294561647412,0.9517432321575062,0.8095509130556796,98.0,42.0,382.0,17.0,539.0,115.0,424.0
EXP-A2,binary,M4,r4f4,noisy,104,462,True,33.28152283653846,2,0.6826923076923077,0.5056818181818181,0.25,0.7613636363636364,0.16,0.1951219512195122,0.009594781857618334,0.4474431818181818,0.17179769756108249,4.0,21.0,67.0,12.0,104.0,16.0,88.0
EXP-A2,binary,M5,r0f0,clean,559,2763,True,30.94760786583184,2,0.8425760286225402,0.8074838709677419,0.744,0.8709677419354839,0.6241610738255033,0.6788321167883211,0.5795182860592866,0.9163870967741935,0.7643107358151418,93.0,56.0,378.0,32.0,559.0,125.0,434.0
EXP-A2,binary,M5,r0f0,low_quality_other,4,15,False,34.4195965,1,1.0,0.5,0.0,1.0,0.0,0.0,,,,0.0,0.0,4.0,0.0,4.0,0.0,4.0
EXP-A2,binary,M5,r0f0,noisy,84,462,True,34.381897011904755,2,0.8928571428571429,0.551948051948052,0.14285714285714285,0.961038961038961,0.25,0.18181818181818182,0.13483997249264842,0.8497217068645639,0.29497486640343784,1.0,3.0,74.0,6.0,84.0,7.0,77.0
EXP-A2,binary,M5,r0f1,clean,532,2763,True,31.62390868045113,2,0.924812030075188,0.900563921684584,0.8584070796460177,0.9427207637231504,0.8016528925619835,0.8290598290598291,0.7816898325590484,0.9728599488879971,0.912793858292331,97.0,24.0,395.0,16.0,532.0,113.0,419.0
EXP-A2,binary,M5,r0f1,low_quality_other,1,15,False,20.833255,1,1.0,0.5,0.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EXP-A2,binary,M5,r0f1,noisy,118,462,True,30.333105432203393,2,0.7966101694915254,0.5591556210112911,0.19047619047619047,0.9278350515463918,0.36363636363636365,0.25,0.1556443272588257,0.5567010309278351,0.2726381165664248,4.0,7.0,90.0,17.0,118.0,21.0,97.0
EXP-A2,binary,M5,r0f2,clean,529,2763,True,29.556630431001892,2,0.9338374291115312,0.8769343803095009,0.7843137254901961,0.9695550351288056,0.8602150537634409,0.8205128205128205,0.7813130019764299,0.9752950360472058,0.912790635655341,80.0,13.0,414.0,22.0,529.0,102.0,427.0
EXP-A2,binary,M5,r0f2,noisy,115,462,True,31.292833530434784,2,0.8,0.6377305533279872,0.3103448275862069,0.9651162790697675,0.75,0.43902439024390244,0.3912904758188587,0.768644747393745,0.5588132584833908,9.0,3.0,83.0,20.0,115.0,29.0,86.0
EXP-A2,binary,M5,r0f3,clean,554,2763,True,28.793460967509024,2,0.9043321299638989,0.9000916152921192,0.8925619834710744,0.9076212471131639,0.7297297297297297,0.8029739776951673,0.747191984735215,0.9696524344855229,0.895178685727506,108.0,40.0,393.0,13.0,554.0,121.0,433.0
EXP-A2,binary,M5,r0f3,low_quality_other,7,15,False,36.46351214285714,2,0.5714285714285714,0.75,1.0,0.5,0.25,0.4,0.3535533905932738,1.0,1.0,1.0,3.0,3.0,0.0,7.0,1.0,6.0
EXP-A2,binary,M5,r0f3,noisy,94,462,True,31.493600308510636,2,0.648936170212766,0.4940928270042194,0.26666666666666666,0.7215189873417721,0.15384615384615385,0.1951219512195122,-0.009672254830588234,0.46244725738396625,0.2407103577089003,4.0,22.0,57.0,11.0,94.0,15.0,79.0
EXP-A2,binary,M5,r0f4,clean,589,2763,True,28.795450446519528,2,0.8777589134125636,0.8992398677438047,0.937007874015748,0.8614718614718615,0.6502732240437158,0.7677419354838709,0.7095748030208336,0.9462453556941747,0.7461149281404664,119.0,64.0,398.0,8.0,589.0,127.0,462.0
EXP-A2,binary,M5,r0f4,low_quality_other,3,15,False,19.684973333333332,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,0.5,,,,1.0,0.0,0.0,2.0,3.0,3.0,0.0
EXP-A2,binary,M5,r0f4,noisy,51,462,True,25.678846960784313,2,0.7647058823529411,0.88,1.0,0.76,0.07692307692307693,0.14285714285714285,0.24178820993079556,1.0,1.0,1.0,12.0,38.0,0.0,51.0,1.0,50.0
EXP-A2,binary,M5,r1f0,clean,523,2763,True,29.908973933078396,2,0.8068833652007649,0.836954079798706,0.8878504672897196,0.7860576923076923,0.5163043478260869,0.6529209621993127,0.5692860061020967,0.9135514018691588,0.6772760985620653,95.0,89.0,327.0,12.0,523.0,107.0,416.0
EXP-A2,binary,M5,r1f0,low_quality_other,4,15,False,19.972043749999997,2,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.9166666666666665,0.0,0.0,1.0,3.0,4.0,3.0,1.0
