exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,params,note,planner_inner_scores
EXP-A2,M3,binary,1,3,r1f3,2589,651,138,0.8663594470046083,0.7762273901808785,0.6222222222222222,0.9302325581395349,0.7,0.6588235294117647,0.5776311259194006,0.9214757393051967,0.6705726798919796,84.0,36.0,480.0,51.0,651.0,135.0,516.0,0.18716843726962795,0.017051863763380734,1.061654,0.748419,0.802926,12.0,51.31,nested-bayes,"{""C"": 0.8984805452588236, ""class_weight"": ""balanced"", ""gamma"": 0.013605140945808798}",bayes search inside this training fold,
EXP-A2,M3,binary,1,4,r1f4,2597,643,138,0.9066874027993779,0.8618797709923665,0.7862595419847328,0.9375,0.762962962962963,0.7744360902255639,0.7157579663585714,0.9503369513358779,0.793710260011379,103.0,32.0,480.0,28.0,643.0,131.0,512.0,0.16377878708503515,0.08426821279223334,1.683569,1.052446,0.775709,12.0,51.37,nested-bayes,"{""C"": 739.5089250712385, ""class_weight"": null, ""gamma"": 0.025906921744528157}",bayes search inside this training fold,
EXP-A2,M3,binary,2,0,r2f0,2596,644,138,0.843167701863354,0.748084162909394,0.5877862595419847,0.9083820662768031,0.6209677419354839,0.6039215686274509,0.5065366251388301,0.885778908679672,0.6049577431040979,77.0,47.0,466.0,54.0,644.0,131.0,513.0,0.22199064185269315,0.01404309316959296,1.520444,0.833073,0.808923,12.0,47.04,nested-bayes,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}",bayes search inside this training fold,
EXP-A2,M3,binary,2,1,r2f1,2589,651,138,0.8863287250384024,0.8316853835272381,0.7388059701492538,0.9245647969052224,0.717391304347826,0.7279411764705882,0.6562295373700462,0.9342359767891684,0.7654289948661671,99.0,39.0,478.0,35.0,651.0,134.0,517.0,0.17201103699200943,0.050224594744830306,1.031545,0.636587,0.800238,12.0,45.81,nested-bayes,"{""C"": 1.233613500061379, ""class_weight"": ""balanced"", ""gamma"": 0.008766536338520389}",bayes search inside this training fold,
EXP-A2,M3,binary,2,2,r2f2,2585,655,138,0.899236641221374,0.8101273849449031,0.656934306569343,0.9633204633204633,0.8256880733944955,0.7317073170731707,0.6773072211726867,0.9341092917735254,0.8360196814409605,90.0,19.0,499.0,47.0,655.0,137.0,518.0,0.1655339362976246,0.07150156483658121,1.422018,1.029159,0.789078,12.0,49.31,nested-bayes,"{""C"": 30.440546640217043, ""class_weight"": null, ""gamma"": 0.017593199224444626}",bayes search inside this training fold,
EXP-A2,M3,binary,2,3,r2f3,2597,643,138,0.895800933125972,0.8323219823473282,0.7251908396946565,0.939453125,0.753968253968254,0.7392996108949417,0.6744179949509895,0.9424200858778626,0.751282773842733,95.0,31.0,481.0,36.0,643.0,131.0,512.0,0.1675319047568588,0.07114181336303425,1.345182,0.802946,0.785236,12.0,50.74,nested-bayes,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}",bayes search inside this training fold,
EXP-A2,M3,binary,2,4,r2f4,2593,647,138,0.8809891808346213,0.798477493380406,0.6590909090909091,0.9378640776699029,0.7310924369747899,0.6932270916334662,0.6209286839667227,0.9201529861724037,0.6794402792572888,87.0,32.0,483.0,45.0,647.0,132.0,515.0,0.18401463753538377,0.04652065838816036,0.815819,0.557886,0.802122,12.0,47.31,nested-bayes,"{""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}",bayes search inside this training fold,
EXP-A2,M3,binary,3,0,r3f0,2596,644,138,0.8229813664596274,0.709834382393643,0.5190839694656488,0.9005847953216374,0.5714285714285714,0.544,0.43525908486913606,0.8761811228665387,0.5885414105851257,68.0,51.0,462.0,63.0,644.0,131.0,513.0,0.23379425530733794,0.0388918656562684,1.444324,0.816623,0.807799,12.0,46.35,nested-bayes,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}",bayes search inside this training fold,
EXP-A2,M3,binary,3,1,r3f1,2593,647,138,0.8918083462132921,0.8390776699029125,0.75,0.9281553398058252,0.7279411764705882,0.7388059701492538,0.6707178455556312,0.9402765519270374,0.7560182760931989,99.0,37.0,478.0,33.0,647.0,132.0,515.0,0.16146280321069087,0.04225582091906078,1.609154,0.822029,0.787262,12.0,47.63,nested-bayes,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}",bayes search inside this training fold,
EXP-A2,M3,binary,3,2,r3f2,2585,655,138,0.9022900763358779,0.8488113453473876,0.7573529411764706,0.9402697495183044,0.7686567164179104,0.762962962962963,0.7014592881703527,0.9441374815822283,0.81093216828333,103.0,31.0,488.0,33.0,655.0,136.0,519.0,0.1653145407747764,0.07735804016545056,1.298549,0.901839,0.796356,12.0,59.66,nested-bayes,"{""C"": 1.13317588970326, ""class_weight"": null, ""gamma"": 0.01917339093156976}",bayes search inside this training fold,
