run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative
EXP-A2,binary,M1,r2f0,medium,301,1496,True,11.666,5.3055,2,0.7940199335548173,0.7901568627450981,0.7843137254901961,0.796,0.43956043956043955,0.5633802816901409,0.4740100955027349,0.8763921568627451,0.5627884213606881,40.0,51.0,199.0,11.0,301.0,51.0,250.0
EXP-A2,binary,M1,r2f1,long,354,1744,True,29.729,20.027,2,0.8333333333333334,0.8753188775510203,0.9693877551020408,0.78125,0.6291390728476821,0.7630522088353414,0.6790893700351611,0.9274154974489796,0.8043212565459091,95.0,56.0,200.0,3.0,354.0,98.0,256.0
EXP-A2,binary,M1,r2f1,medium,297,1496,True,11.1225,6.9855,2,0.6498316498316499,0.7409003831417624,0.8611111111111112,0.6206896551724138,0.23846153846153847,0.37349397590361444,0.3169633722004771,0.7976798637718179,0.3421453721581497,31.0,99.0,162.0,5.0,297.0,36.0,261.0
EXP-A2,binary,M1,r2f2,long,340,1744,True,29.6715,20.062,2,0.9294117647058824,0.9347863691402871,0.9468085106382979,0.9227642276422764,0.8240740740740741,0.8811881188118812,0.8353750997996847,0.9774260508562532,0.9508384309609829,89.0,19.0,227.0,5.0,340.0,94.0,246.0
EXP-A2,binary,M1,r2f2,medium,315,1496,True,12.0475,6.6075,2,0.7746031746031746,0.722640218878249,0.6511627906976745,0.7941176470588235,0.3333333333333333,0.4409448818897638,0.3457057975294412,0.8248119015047879,0.41729938058010235,28.0,56.0,216.0,15.0,315.0,43.0,272.0
EXP-A2,binary,M1,r2f3,long,334,1744,True,29.845,20.001,2,0.8712574850299402,0.9010510240747395,0.967391304347826,0.8347107438016529,0.689922480620155,0.8054298642533937,0.7359688553304334,0.9382860222781172,0.7708150736618129,89.0,40.0,202.0,3.0,334.0,92.0,242.0
EXP-A2,binary,M1,r2f3,medium,309,1496,True,12.461,7.7595,2,0.8543689320388349,0.8508547008547008,0.8461538461538461,0.8555555555555555,0.4583333333333333,0.5945945945945946,0.5512277334612476,0.9048433048433049,0.6421610905744719,33.0,39.0,231.0,6.0,309.0,39.0,270.0
EXP-A2,binary,M1,r2f4,long,373,1744,True,28.726,20.046,2,0.8927613941018767,0.902807224185316,0.9222222222222223,0.8833922261484098,0.7155172413793104,0.8058252427184466,0.7446396589805843,0.9453867294856694,0.7927580124808694,83.0,33.0,250.0,7.0,373.0,90.0,283.0
EXP-A2,binary,M1,r2f4,medium,274,1496,True,12.030999999999999,6.8515,2,0.8211678832116789,0.7384031198686372,0.6190476190476191,0.8577586206896551,0.4406779661016949,0.5148514851485149,0.41789322667614914,0.8778735632183908,0.5885125880183703,26.0,33.0,199.0,16.0,274.0,42.0,232.0
EXP-A2,binary,M1,r3f0,long,348,1744,True,30.62875,20.027,2,0.7988505747126436,0.8626650062266501,0.9726027397260274,0.7527272727272727,0.5107913669064749,0.6698113207547169,0.6029521966643311,0.9165130759651308,0.7184290236781721,71.0,68.0,207.0,2.0,348.0,73.0,275.0
EXP-A2,binary,M1,r3f0,medium,296,1496,True,10.9635,6.3335,2,0.7871621621621622,0.7502897710808462,0.6896551724137931,0.8109243697478992,0.47058823529411764,0.5594405594405595,0.4391621287389201,0.8646769052448566,0.6041386251216144,40.0,45.0,193.0,18.0,296.0,58.0,238.0
EXP-A2,binary,M1,r3f1,long,362,1744,True,28.9675,20.038,2,0.8784530386740331,0.8885746606334841,0.9117647058823529,0.8653846153846154,0.7265625,0.808695652173913,0.7312709451514969,0.9414027149321267,0.8119115416157714,93.0,35.0,225.0,9.0,362.0,102.0,260.0
EXP-A2,binary,M1,r3f1,medium,285,1496,True,12.507,5.3055,2,0.8456140350877193,0.7519607843137255,0.6333333333333333,0.8705882352941177,0.36538461538461536,0.4634146341463415,0.40041840603212203,0.8873202614379085,0.45452181824376214,19.0,33.0,222.0,11.0,285.0,30.0,255.0
EXP-A2,binary,M1,r3f2,long,356,1744,True,29.097,20.016,2,0.8707865168539326,0.8998490566037736,0.9716981132075472,0.828,0.7054794520547946,0.8174603174603174,0.7434691170148263,0.950188679245283,0.8241258504120668,103.0,43.0,207.0,3.0,356.0,106.0,250.0
EXP-A2,binary,M1,r3f2,medium,299,1496,True,12.163,6.908,2,0.7926421404682275,0.8255266418835192,0.8666666666666667,0.7843866171003717,0.30952380952380953,0.45614035087719296,0.43520555299959623,0.9091697645600991,0.517672356821411,26.0,58.0,211.0,4.0,299.0,30.0,269.0
EXP-A2,binary,M1,r3f3,long,352,1744,True,29.7205,20.062,2,0.9119318181818182,0.9227190434086986,0.945054945054945,0.9003831417624522,0.7678571428571429,0.8472906403940886,0.7947089909714457,0.9572649572649572,0.8321141545641357,86.0,26.0,235.0,5.0,352.0,91.0,261.0
EXP-A2,binary,M1,r3f3,medium,299,1496,True,12.329,6.8515,2,0.7658862876254181,0.7687165775401069,0.7727272727272727,0.7647058823529411,0.3617021276595745,0.4927536231884058,0.4100907999455534,0.8619429590017825,0.5101886378686223,34.0,60.0,195.0,10.0,299.0,44.0,255.0
