run,task,model_id,fold_label,quality_group,n_units,n_records_corpus,reported,mean_snr_proxy_db,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole
EXP-B2,pascal_b,M7,r0f0,noisy,4,14,False,3.6767112500000003,2,0.75,0.8333333333333333,0.48888888888888893,0.7666666666666667,0.5,0.5555555555555555,4.0,3.0,,0.5,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.8,3.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M7,r0f1,clean,80,384,True,16.2013022875,3,0.6875,0.40823211875843457,0.39487179487179486,0.6113461538461539,0.4664057403783431,0.40823211875843457,80.0,3.0,0.6729127601707777,0.684931506849315,0.9615384615384616,0.8,52.0,0.7142857142857143,0.2631578947368421,0.38461538461538464,19.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M7,r0f1,low_quality_other,12,63,False,20.850760166666667,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,12.0,3.0,,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M7,r0f2,clean,78,384,True,17.314210717948722,3,0.5384615384615384,0.3880090497737556,0.38888888888888884,0.5534188034188033,0.3919372900335946,0.3880090497737556,78.0,3.0,0.5918628382384403,0.7021276595744681,0.6346153846153846,0.6666666666666666,52.0,0.47368421052631576,0.5294117647058824,0.5,17.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M7,r0f2,low_quality_other,14,63,False,20.485947214285716,3,0.8571428571428571,0.5,0.5277777777777778,0.8154761904761905,0.6153846153846154,0.5,14.0,3.0,0.7853535353535354,0.8461538461538461,1.0,0.9166666666666666,11.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,1.0
EXP-B2,pascal_b,M7,r0f2,noisy,1,14,False,4.292483,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,3.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M7,r0f3,clean,75,384,True,16.52367492,3,0.72,0.411764705882353,0.4024662206480388,0.6373133936770301,0.568075117370892,0.411764705882353,75.0,3.0,0.6290652821087263,0.704225352112676,1.0,0.8264462809917356,50.0,1.0,0.23529411764705882,0.38095238095238093,17.0,0.0,0.0,0.0,8.0
EXP-B2,pascal_b,M7,r0f3,low_quality_other,10,63,False,20.5587178,2,0.9,0.5,0.3157894736842105,0.8526315789473683,0.3,0.3333333333333333,10.0,3.0,,0.9,1.0,0.9473684210526315,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EXP-B2,pascal_b,M7,r0f3,noisy,7,14,False,3.7239961428571426,2,0.8571428571428571,0.75,0.5252525252525252,0.8398268398268397,0.6111111111111112,0.5,7.0,3.0,,0.8333333333333334,1.0,0.9090909090909091,5.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M7,r0f4,clean,76,384,True,17.838323657894733,3,0.6973684210526315,0.375,0.34607407407407403,0.5943625730994152,0.563063063063063,0.375,76.0,3.0,0.523425763340162,0.6891891891891891,1.0,0.816,51.0,1.0,0.125,0.2222222222222222,16.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M7,r0f4,low_quality_other,14,63,False,19.28227035714286,2,0.9285714285714286,0.75,0.5422222222222222,0.9180952380952381,0.6410256410256411,0.5,14.0,3.0,,0.9230769230769231,1.0,0.96,12.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M7,r0f4,noisy,2,14,False,2.9380465,2,0.5,0.5,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.3333333333333333,2.0,3.0,,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
