exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact,brier,ece,fit_seconds,predict_seconds,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,params,note,planner_inner_scores
EXP-B1,M4,pascal_a,1,1,r1f1,62,62,138,0.7096774193548387,0.670343137254902,0.6681929181929183,0.7101106778526133,0.6693043798306957,0.670343137254902,62.0,4.0,0.8704778256092398,0.5384615384615384,0.4666666666666667,0.5,15.0,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0,0.45454545454545453,0.5,0.47619047619047616,10.0,1.0,0.95,0.9743589743589743,20.0,0.4014310822693734,0.10751100904398529,1.734032,0.295852,0.672456,12.0,95.32,nested-bayes,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 488}",bayes search inside this training fold,
EXP-B1,M4,pascal_a,2,0,r2f0,62,62,138,0.6774193548387096,0.6453431372549019,0.6364692218350755,0.6721094274202063,0.6312385531135531,0.6453431372549019,62.0,4.0,0.870691701394142,0.3076923076923077,0.26666666666666666,0.2857142857142857,15.0,0.8125,0.7647058823529411,0.7878787878787878,17.0,0.5,0.6,0.5454545454545454,10.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.404944135955704,0.10051102646299057,0.482156,0.096475,0.653094,12.0,84.66,nested-bayes,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 30, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""n_estimators"": 147}",bayes search inside this training fold,
EXP-B1,M4,pascal_a,2,1,r2f1,62,62,138,0.7096774193548387,0.7003267973856209,0.6596060943887031,0.695496337852579,0.6800088456435205,0.7003267973856209,62.0,4.0,0.8986682386586027,0.5714285714285714,0.25,0.34782608695652173,16.0,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0,0.4117647058823529,0.7777777777777778,0.5384615384615384,9.0,1.0,0.95,0.9743589743589743,20.0,0.4123273318954227,0.15525765453050236,0.363275,0.086367,0.708561,12.0,86.87,nested-bayes,"{""class_weight"": null, ""max_depth"": 5, ""max_features"": ""log2"", ""min_samples_leaf"": 9, ""n_estimators"": 104}",bayes search inside this training fold,
EXP-B1,M4,pascal_a,3,0,r3f0,62,62,138,0.6935483870967742,0.6580882352941175,0.6390757381258023,0.6702844838295582,0.6297619047619047,0.6580882352941175,62.0,4.0,0.8800567349143694,0.3,0.2,0.24,15.0,0.7142857142857143,0.8823529411764706,0.7894736842105263,17.0,0.6,0.6,0.6,10.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.4040926942169082,0.0922854462777004,0.706962,0.123712,0.694612,12.0,37.26,nested-bayes,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 190}",bayes search inside this training fold,
EXP-B1,M4,pascal_a,3,1,r3f1,62,62,138,0.6612903225806451,0.6805147058823529,0.6048160173160173,0.6358609132802681,0.6427884615384616,0.6805147058823529,62.0,4.0,0.862420597340659,0.4,0.125,0.19047619047619047,16.0,0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0,0.375,1.0,0.5454545454545454,9.0,0.95,0.95,0.95,20.0,0.40255694795964586,0.11896178094066406,3.148593,0.449849,0.637134,12.0,98.29,nested-bayes,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 7, ""n_estimators"": 892}",bayes search inside this training fold,
EXP-B1,M4,pascal_a,4,0,r4f0,62,62,138,0.6451612903225806,0.5975490196078431,0.5985563456151691,0.6495332624364883,0.6003002157800919,0.5975490196078431,62.0,4.0,0.8549521799991135,0.26666666666666666,0.26666666666666666,0.26666666666666666,15.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.36363636363636365,0.4,0.38095238095238093,10.0,0.9473684210526315,0.9,0.9230769230769231,20.0,0.44015295663977416,0.1044299201240145,0.652694,0.148296,0.724766,12.0,62.3,nested-bayes,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 190}",bayes search inside this training fold,
EXP-B1,M4,pascal_a,4,1,r4f1,62,62,138,0.6451612903225806,0.5785334967320261,0.5825013401232914,0.6463771279860973,0.6118953510257858,0.5785334967320261,62.0,4.0,0.8699787826328234,0.391304347826087,0.5625,0.46153846153846156,16.0,0.8181818181818182,0.5294117647058824,0.6428571428571429,17.0,0.2857142857142857,0.2222222222222222,0.25,9.0,0.9523809523809523,1.0,0.975609756097561,20.0,0.40809354838709677,0.19387096774193543,0.329553,0.082388,0.696164,12.0,48.07,nested-bayes,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}",bayes search inside this training fold,
EXP-B1,M5,pascal_a,0,0,r0f0,62,62,138,0.6774193548387096,0.6431372549019608,0.6502269660164397,0.6847091787669038,0.660453216374269,0.6431372549019608,62.0,4.0,0.8973762800264677,0.3888888888888889,0.4666666666666667,0.42424242424242425,15.0,0.75,0.7058823529411765,0.7272727272727273,17.0,0.5555555555555556,0.5,0.5263157894736842,10.0,0.9473684210526315,0.9,0.9230769230769231,20.0,0.38938430621786196,0.07901514667206294,8.567786,0.021624,0.584652,5.0,28.16,nested-bayes,"{""learning_rate"": 0.0031266912307463765, ""max_depth"": 7, ""min_samples_leaf"": 9, ""n_estimators"": 658, ""subsample"": 0.8387400631785948}",bayes search inside this training fold,
EXP-B1,M5,pascal_a,0,1,r0f1,62,62,138,0.6935483870967742,0.6865400326797386,0.6553682606112274,0.6705271508918073,0.6796574014221073,0.6865400326797386,62.0,4.0,0.8626413066935825,0.7142857142857143,0.3125,0.43478260869565216,16.0,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0,0.5384615384615384,0.7777777777777778,0.6363636363636364,9.0,0.76,0.95,0.8444444444444444,20.0,0.5717268944192638,0.2780349107700181,1.730041,0.00994,0.567399,5.0,35.95,nested-bayes,"{""learning_rate"": 0.44262861542667187, ""max_depth"": 3, ""min_samples_leaf"": 11, ""n_estimators"": 194, ""subsample"": 0.9995879620187467}",bayes search inside this training fold,
EXP-B1,M5,pascal_a,1,0,r1f0,62,62,138,0.6612903225806451,0.6313521241830066,0.5988983548766158,0.640271407452333,0.5955357142857143,0.6313521241830066,62.0,4.0,0.8927756254265448,0.375,0.1875,0.25,16.0,0.75,0.8823529411764706,0.8108108108108109,17.0,0.35714285714285715,0.5555555555555556,0.43478260869565216,9.0,0.9,0.9,0.9,20.0,0.40815876046858074,0.20193430799630882,8.548101,0.028082,0.615516,5.0,93.79,nested-bayes,"{""learning_rate"": 0.0031266912307463765, ""max_depth"": 7, ""min_samples_leaf"": 9, ""n_estimators"": 658, ""subsample"": 0.8387400631785948}",bayes search inside this training fold,
EXP-B1,M5,pascal_a,1,1,r1f1,62,62,138,0.5967741935483871,0.5306372549019608,0.531579939668175,0.5955395805965066,0.5381468376824414,0.5306372549019608,62.0,4.0,0.8476192004352204,0.23529411764705882,0.26666666666666666,0.25,15.0,0.631578947368421,0.7058823529411765,0.6666666666666666,17.0,0.2857142857142857,0.2,0.23529411764705882,10.0,1.0,0.95,0.9743589743589743,20.0,0.7352330972197649,0.3736463801275728,2.285874,0.017581,0.637342,5.0,106.66,nested-bayes,"{""learning_rate"": 0.4049154811199577, ""max_depth"": 2, ""min_samples_leaf"": 4, ""n_estimators"": 116, ""subsample"": 0.7020677802628514}",bayes search inside this training fold,
EXP-B1,M5,pascal_a,2,0,r2f0,62,62,138,0.6451612903225806,0.5600490196078431,0.5375896700143472,0.6215578284815106,0.5195728291316526,0.5600490196078431,62.0,4.0,0.8744890639016109,0.35,0.4666666666666667,0.4,15.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.0,0.0,0.0,10.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.41611409314356673,0.23172282316610462,1.523462,0.005943,0.622643,5.0,31.58,nested-bayes,"{""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}",bayes search inside this training fold,
EXP-B1,M5,pascal_a,2,1,r2f1,62,62,138,0.7258064516129032,0.6966094771241831,0.7012370670265407,0.7368914428337179,0.7176113360323887,0.6966094771241831,62.0,4.0,0.8979262950394815,0.5,0.625,0.5555555555555556,16.0,0.9230769230769231,0.7058823529411765,0.8,17.0,0.5,0.5555555555555556,0.5263157894736842,9.0,0.9473684210526315,0.9,0.9230769230769231,20.0,0.5081046944901804,0.24084104103150628,1.24358,0.006013,0.670223,5.0,29.88,nested-bayes,"{""learning_rate"": 0.4426260313755176, ""max_depth"": 3, ""min_samples_leaf"": 11, ""n_estimators"": 194, ""subsample"": 0.9995875684567654}",bayes search inside this training fold,
EXP-B1,M5,pascal_a,3,0,r3f0,62,62,138,0.6935483870967742,0.6580882352941175,0.636515009380863,0.66715336198027,0.629978354978355,0.6580882352941175,62.0,4.0,0.8690687936385684,0.3333333333333333,0.2,0.25,15.0,0.6818181818181818,0.8823529411764706,0.7692307692307693,17.0,0.6,0.6,0.6,10.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.44233107845877817,0.07622321978138497,7.927114,0.020843,0.614381,5.0,28.35,nested-bayes,"{""learning_rate"": 0.0031266912307463765, ""max_depth"": 7, ""min_samples_leaf"": 9, ""n_estimators"": 658, ""subsample"": 0.8387400631785948}",bayes search inside this training fold,
EXP-B1,M5,pascal_a,3,1,r3f1,62,62,138,0.6451612903225806,0.5892156862745097,0.5777777777777777,0.6420250896057348,0.5967105263157895,0.5892156862745097,62.0,4.0,0.8544395116537181,0.5,0.25,0.3333333333333333,16.0,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0,0.2,0.3333333333333333,0.25,9.0,0.95,0.95,0.95,20.0,0.42606080422971004,0.14229814560205276,1.454415,0.015,0.627353,5.0,56.85,nested-bayes,"{""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}",bayes search inside this training fold,
EXP-B1,M5,pascal_a,4,0,r4f0,62,62,138,0.6451612903225806,0.6017156862745098,0.6076915634674923,0.65455220713073,0.6155228758169935,0.6017156862745098,62.0,4.0,0.858128464151618,0.29411764705882354,0.3333333333333333,0.3125,15.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.4,0.4,0.4,10.0,0.9444444444444444,0.85,0.8947368421052632,20.0,0.45521642812729335,0.09693923938488948,1.31274,0.006116,0.687492,5.0,49.81,nested-bayes,"{""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}",bayes search inside this training fold,
EXP-B1,M5,pascal_a,4,1,r4f1,62,62,138,0.7096774193548387,0.6625816993464053,0.6616655969191271,0.7105107871961571,0.6630952380952382,0.6625816993464053,62.0,4.0,0.9022646603076561,0.5,0.5,0.5,16.0,0.8,0.7058823529411765,0.75,17.0,0.4,0.4444444444444444,0.42105263157894735,9.0,0.9523809523809523,1.0,0.975609756097561,20.0,0.358375217913283,0.15362542617670025,1.304679,0.00805,0.637602,5.0,43.95,nested-bayes,"{""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}",bayes search inside this training fold,
