run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact
EXP-B1,pascal_a,M3,r4f1,medium,60,116,True,9.0,5.849592,4,0.6333333333333333,0.5358193277310924,0.5111716027874564,0.6069192799070848,0.4900793650793651,0.5358193277310924,60.0,4.0,0.8781366018067716,0.3333333333333333,0.42857142857142855,0.375,14.0,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0,0.0,0.0,0.0,9.0,0.9047619047619048,0.95,0.926829268292683,20.0
EXP-B1,pascal_a,M3,r4f1,short,2,8,False,4.2136055,3.463424,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r0f0,medium,59,116,True,8.884059,5.749297,4,0.711864406779661,0.7072916666666667,0.6159502262443439,0.6592018815348825,0.6597222222222222,0.7072916666666667,59.0,4.0,0.9245403365444405,0.5,0.06666666666666667,0.11764705882352941,15.0,0.75,0.9375,0.8333333333333334,16.0,0.3888888888888889,0.875,0.5384615384615384,8.0,1.0,0.95,0.9743589743589743,20.0
EXP-B1,pascal_a,M4,r0f0,short,3,8,False,0.936372,0.936372,2,0.6666666666666666,0.5,0.2,0.5333333333333333,0.16666666666666666,0.25,3.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.8,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r0f1,medium,57,116,True,9.0,5.849592,4,0.6842105263157895,0.678125,0.6054347826086957,0.6523085206622694,0.6659722222222222,0.678125,57.0,4.0,0.8862078859306595,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0,0.7222222222222222,0.8125,0.7647058823529411,16.0,0.375,0.8571428571428571,0.5217391304347826,7.0,0.9,0.9,0.9,20.0
EXP-B1,pascal_a,M4,r0f1,short,5,8,False,3.463424,1.947392,3,0.4,0.3333333333333333,0.14285714285714285,0.22857142857142856,0.1,0.25,5.0,4.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.4,1.0,0.5714285714285714,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r1f0,medium,59,116,True,9.0,5.749297,4,0.7288135593220338,0.753125,0.6550839404497941,0.6763629921133022,0.6652255639097744,0.753125,59.0,4.0,0.9104981259051026,0.5,0.125,0.2,16.0,0.7894736842105263,0.9375,0.8571428571428571,16.0,0.4666666666666667,1.0,0.6363636363636364,7.0,0.9047619047619048,0.95,0.926829268292683,20.0
EXP-B1,pascal_a,M4,r1f0,short,3,8,False,0.936372,0.936372,2,0.6666666666666666,0.5,0.2,0.5333333333333333,0.16666666666666666,0.25,3.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.8,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M4,r1f1,medium,57,116,True,8.884059,5.849592,4,0.7192982456140351,0.6497596153846155,0.6493040293040293,0.7160156802262065,0.6531954887218046,0.6497596153846155,57.0,4.0,0.8821658859550845,0.5,0.46153846153846156,0.48,13.0,0.6842105263157895,0.8125,0.7428571428571429,16.0,0.42857142857142855,0.375,0.4,8.0,1.0,0.95,0.9743589743589743,20.0
EXP-B1,pascal_a,M4,r1f1,short,5,8,False,3.463424,1.947392,3,0.6,0.5,0.3333333333333333,0.5333333333333333,0.375,0.375,5.0,4.0,,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0
