run,task,model_id,fold_label,quality_group,n_units,n_records_corpus,reported,mean_snr_proxy_db,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact
EXP-B1,pascal_a,M6,r0f0,low_quality_other,3,7,False,19.919568666666667,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M6,r0f0,noisy,18,31,False,1.7072776111111112,1,0.9444444444444444,0.9444444444444444,0.24285714285714285,0.9714285714285713,0.25,0.2361111111111111,18.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,0.9714285714285714,18.0
EXP-B1,pascal_a,M6,r0f1,clean,45,86,True,26.98411924444444,4,0.5777777777777777,0.5971288515406162,0.55995670995671,0.5707359307359309,0.5734126984126984,0.5971288515406162,45.0,4.0,0.8334490543855869,0.5714285714285714,0.26666666666666666,0.36363636363636365,15.0,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0,0.25,0.5,0.3333333333333333,6.0,0.75,0.8571428571428571,0.8,7.0
EXP-B1,pascal_a,M6,r0f1,low_quality_other,4,7,False,19.13731425,2,0.75,0.8333333333333333,0.45,0.8500000000000001,0.5,0.41666666666666663,4.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,3.0,1.0,1.0,1.0,1.0
EXP-B1,pascal_a,M6,r0f1,noisy,13,31,False,-3.00005423076923,2,0.9230769230769231,0.5,0.24,0.8861538461538461,0.23076923076923078,0.25,13.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,1.0,0.96,12.0
EXP-B1,pascal_a,M6,r1f0,clean,40,86,True,32.32250524999999,4,0.65,0.7666666666666666,0.6117519305019306,0.5471066602316602,0.7351190476190476,0.7666666666666666,40.0,4.0,0.8567845124536302,1.0,0.06666666666666667,0.125,15.0,0.7619047619047619,1.0,0.8648648648648649,16.0,0.42857142857142855,1.0,0.6,6.0,0.75,1.0,0.8571428571428571,3.0
EXP-B1,pascal_a,M6,r1f0,low_quality_other,5,7,False,18.7185886,3,0.8,0.8888888888888888,0.6166666666666667,0.8133333333333332,0.625,0.6666666666666666,5.0,4.0,,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.8,3.0,1.0,1.0,1.0,1.0
EXP-B1,pascal_a,M6,r1f0,noisy,17,31,False,-1.0876332941176472,2,0.9411764705882353,0.5,0.24242424242424243,0.912655971479501,0.23529411764705882,0.25,17.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,1.0,0.9696969696969697,16.0
EXP-B1,pascal_a,M6,r1f1,clean,46,86,True,26.946246282608694,4,0.6304347826086957,0.5974264705882353,0.6022727272727273,0.6052920509442249,0.7901002506265664,0.5974264705882353,46.0,4.0,0.7958899120798135,0.47619047619047616,0.6666666666666666,0.5555555555555556,15.0,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0,1.0,0.125,0.2222222222222222,8.0,1.0,0.8333333333333334,0.9090909090909091,6.0
EXP-B1,pascal_a,M6,r1f1,low_quality_other,2,7,False,21.357509999999998,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
