model_id,kind,x,mean,sd,n_folds
M7,pr,0.39,0.821878,0.101558,25
M7,pr,0.4,0.820187,0.098704,25
M7,pr,0.41,0.817528,0.10104,25
M7,pr,0.42,0.816748,0.10152,25
M7,pr,0.43,0.818037,0.102171,25
M7,pr,0.44,0.816475,0.102479,25
M7,pr,0.45,0.814762,0.10172,25
M7,pr,0.46,0.813558,0.102505,25
M7,pr,0.47,0.81338,0.10276,25
M7,pr,0.48,0.814151,0.100321,25
M7,pr,0.49,0.81444,0.099961,25
M7,pr,0.5,0.814307,0.098658,25
M7,pr,0.51,0.815096,0.096315,25
M7,pr,0.52,0.814032,0.098026,25
M7,pr,0.53,0.813328,0.096524,25
M7,pr,0.54,0.812417,0.097536,25
M7,pr,0.55,0.81356,0.097464,25
M7,pr,0.56,0.811628,0.097511,25
M7,pr,0.57,0.81091,0.100103,25
M7,pr,0.58,0.811608,0.100118,25
M7,pr,0.59,0.811151,0.100662,25
M7,pr,0.6,0.81175,0.099855,25
M7,pr,0.61,0.810606,0.098523,25
M7,pr,0.62,0.810029,0.097766,25
M7,pr,0.63,0.809513,0.097517,25
M7,pr,0.64,0.808777,0.097831,25
M7,pr,0.65,0.807725,0.099389,25
M7,pr,0.66,0.805816,0.098279,25
M7,pr,0.67,0.80315,0.099122,25
M7,pr,0.68,0.799032,0.100146,25
M7,pr,0.69,0.792255,0.098825,25
M7,pr,0.7,0.789224,0.099104,25
M7,pr,0.71,0.783078,0.100128,25
M7,pr,0.72,0.778154,0.099079,25
M7,pr,0.73,0.772282,0.096759,25
M7,pr,0.74,0.76529,0.094614,25
M7,pr,0.75,0.757358,0.097469,25
M7,pr,0.76,0.748692,0.095666,25
M7,pr,0.77,0.737745,0.092398,25
M7,pr,0.78,0.729354,0.089105,25
M7,pr,0.79,0.714318,0.089922,25
M7,pr,0.8,0.703429,0.088921,25
M7,pr,0.81,0.690428,0.091308,25
M7,pr,0.82,0.675455,0.089014,25
M7,pr,0.83,0.665677,0.0911,25
M7,pr,0.84,0.654168,0.084491,25
M7,pr,0.85,0.636911,0.085908,25
M7,pr,0.86,0.622114,0.086466,25
M7,pr,0.87,0.611714,0.08857,25
M7,pr,0.88,0.597022,0.087566,25
M7,pr,0.89,0.585076,0.08497,25
M7,pr,0.9,0.572644,0.08219,25
M7,pr,0.91,0.556749,0.080682,25
M7,pr,0.92,0.53619,0.072928,25
M7,pr,0.93,0.523554,0.07062,25
M7,pr,0.94,0.51416,0.070987,25
M7,pr,0.95,0.502789,0.06343,25
M7,pr,0.96,0.490487,0.056533,25
M7,pr,0.97,0.480152,0.050947,25
M7,pr,0.98,0.468134,0.04432,25
M7,pr,0.99,0.455084,0.042277,25
M7,pr,1.0,0.207505,0.004356,25
