method,outer_fold,objective,score,threshold,sensitivity,specificity,weights_sum,n_candidates,n_iterations,moved_from_start,seconds,w_M3,w_M4,w_M5
grid,r2f4,balanced_accuracy,0.8465290806754222,0.27329078021839726,0.8930581613508443,0.8,1.0,232,0,0.0,8.339558500039857,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r2f4,balanced_accuracy,0.8465290806754222,0.27329078021839726,0.8930581613508443,0.8,1.0,4,1,0.0,0.17822090000845492,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r2f4,balanced_accuracy,0.8457221443013534,0.27383330740281875,0.8836772983114447,0.8077669902912621,1.0,41,10,0.1659374702145088,0.04980269999941811,0.4037544253332406,0.1978817061253693,0.3983638685413902
equal,r3f0,balanced_accuracy,0.8629698449198444,0.38240441361193994,0.8258426966292135,0.9000969932104753,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r3f0,balanced_accuracy,0.8629698449198444,0.38240441361193994,0.8258426966292135,0.9000969932104753,1.0,232,0,0.0,8.433319300005678,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r3f0,balanced_accuracy,0.8629698449198444,0.38240441361193994,0.8258426966292135,0.9000969932104753,1.0,4,1,0.0,0.17211759998463094,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r3f0,balanced_accuracy,0.8633803405297209,0.4084983720684814,0.8164794007490637,0.9102812803103782,1.0,52,13,0.3442866971831093,0.051210999954491854,0.21539407289023538,0.17131786662925627,0.6132880604805083
equal,r3f1,balanced_accuracy,0.8433996976265505,0.33357917768646606,0.849906191369606,0.8368932038834952,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r3f1,balanced_accuracy,0.8433996976265505,0.33357917768646606,0.849906191369606,0.8368932038834952,1.0,232,0,0.0,8.40776230004849,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r3f1,balanced_accuracy,0.8433996976265505,0.33357917768646606,0.849906191369606,0.8368932038834952,1.0,4,1,0.0,0.18219519994454458,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r3f1,balanced_accuracy,0.8417858248784131,0.344864245794054,0.8311444652908068,0.8524271844660194,1.0,36,9,0.2060947203297173,0.046771999972406775,0.2754246286016017,0.22545766958024946,0.49911770181814885
equal,r3f2,balanced_accuracy,0.8482793686053269,0.27645418328760685,0.8979206049149339,0.7986381322957199,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r3f2,balanced_accuracy,0.8482793686053269,0.27645418328760685,0.8979206049149339,0.7986381322957199,1.0,232,0,0.0,8.210703799966723,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r3f2,balanced_accuracy,0.8482793686053269,0.27645418328760685,0.8979206049149339,0.7986381322957199,1.0,4,1,0.0,0.17539500002749264,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r3f2,balanced_accuracy,0.8470909983597272,0.27600521458678945,0.8960302457466919,0.7981517509727627,1.0,32,8,0.13228396109742793,0.04336500004865229,0.23663025563892945,0.42334911650508145,0.3400206278559892
equal,r3f3,balanced_accuracy,0.8494465164441432,0.28333307075552977,0.8849056603773585,0.8139873725109277,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r3f3,balanced_accuracy,0.8506886471725604,0.2916488429120392,0.8830188679245283,0.8183584264205925,0.9999999999999999,232,0,0.04082482904638629,8.311897200008389,0.3,0.35,0.35
slsqp,r3f3,balanced_accuracy,0.8494465164441432,0.28333307075552977,0.8849056603773585,0.8139873725109277,1.0,4,1,0.0,0.17192769999383017,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r3f3,balanced_accuracy,0.8553025374105401,0.2758115423425005,0.8830188679245283,0.8275862068965517,1.0,52,13,0.4035706299935127,0.05010530003346503,0.02238632962076089,0.3943685095039615,0.5832451608752777
equal,r3f4,balanced_accuracy,0.860282650806705,0.35231816645127134,0.8558052434456929,0.864760058167717,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r3f4,balanced_accuracy,0.8608336465022213,0.3615016299291157,0.8520599250936329,0.8696073679108095,1.0,232,0,0.0408248290463863,8.246102000004612,0.35,0.35,0.3
slsqp,r3f4,balanced_accuracy,0.860282650806705,0.35231816645127134,0.8558052434456929,0.864760058167717,1.0,4,1,0.0,0.1735486999968998,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r3f4,balanced_accuracy,0.8576375083738638,0.2769247960058641,0.8820224719101124,0.8332525448376151,1.0,52,13,0.3367488659879876,0.0539240000071004,0.1846015942747379,0.2074267591277223,0.6079716465975399
equal,r4f0,balanced_accuracy,0.8668597787470671,0.39646494823602624,0.8412098298676749,0.8925097276264592,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r4f0,balanced_accuracy,0.8668597787470671,0.39646494823602624,0.8412098298676749,0.8925097276264592,1.0,232,0,0.0,8.167634699959308,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r4f0,balanced_accuracy,0.8668597787470671,0.39646494823602624,0.8412098298676749,0.8925097276264592,1.0,4,1,0.0,0.17384410003433004,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r4f0,balanced_accuracy,0.8619858517281708,0.2968521943727389,0.8752362948960303,0.8487354085603113,1.0,44,11,0.4473693671741181,0.04961480002384633,0.0,0.3706309851256796,0.6293690148743204
equal,r4f1,balanced_accuracy,0.8528554873818008,0.299624390403446,0.8895131086142322,0.8161978661493695,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r4f1,balanced_accuracy,0.8528554873818008,0.299624390403446,0.8895131086142322,0.8161978661493695,1.0,232,0,0.0,8.286658799974248,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r4f1,balanced_accuracy,0.8528554873818008,0.299624390403446,0.8895131086142322,0.8161978661493695,1.0,4,1,0.0,0.17504220001865178,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r4f1,balanced_accuracy,0.8518301565332373,0.3351506205351231,0.8520599250936329,0.8516003879728419,1.0,48,12,0.3140424255617657,0.05148299998836592,0.1813845654445533,0.23043625091382897,0.5881791836416178
equal,r4f2,balanced_accuracy,0.8587697407967358,0.3486353384986008,0.8592870544090057,0.858252427184466,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
