arm_id,repeat,fold,n_train,n_test,sensitivity,specificity,f1,balanced_accuracy,roc_auc,accuracy
PP-B,4,2,2593,647,0.8181818181818182,0.8737864077669902,0.7081967213114754,0.8459841129744042,0.9338334804354222,0.8624420401854714
PP-B,4,3,2589,651,0.9037037037037037,0.8488372093023255,0.7283582089552239,0.8762704565030146,0.9333763996554694,0.8602150537634409
PP-B,4,4,2597,643,0.7938931297709924,0.83203125,0.6479750778816199,0.8129621898854962,0.9028357585877862,0.8242612752721618
PP-C,0,0,2593,647,0.8712121212121212,0.8019417475728156,0.6590257879656161,0.8365769343924684,0.9143277434539571,0.8160741885625966
PP-C,0,1,2589,651,0.835820895522388,0.8665377176015474,0.7111111111111111,0.8511793065619677,0.9202921562400761,0.8602150537634409
PP-C,0,2,2596,644,0.7404580152671756,0.9278752436647173,0.7320754716981132,0.8341666294659464,0.948052914304421,0.889751552795031
PP-C,0,3,2585,655,0.8175182481751825,0.8281853281853282,0.6627218934911243,0.8228517881802553,0.920525321985176,0.8259541984732824
PP-C,0,4,2597,643,0.9083969465648855,0.818359375,0.6938775510204082,0.8633781607824427,0.9349057729007634,0.8367029548989113
PP-C,1,0,2593,647,0.8333333333333334,0.8135922330097087,0.650887573964497,0.8234627831715211,0.9162989114445426,0.8176197836166924
PP-C,1,1,2585,655,0.8529411764705882,0.8477842003853564,0.7009063444108762,0.8503626884279722,0.9274481468888133,0.8488549618320611
PP-C,1,2,2596,644,0.8549618320610687,0.9103313840155945,0.7750865051903114,0.8826466080383316,0.9623082302873384,0.8990683229813664
PP-C,1,3,2589,651,0.8296296296296296,0.8565891472868217,0.6978193146417445,0.8431093884582257,0.911039333907551,0.8509984639016898
PP-C,1,4,2597,643,0.8931297709923665,0.8515625,0.7222222222222222,0.8723461354961832,0.9399451335877862,0.8600311041990669
PP-C,2,0,2596,644,0.7480916030534351,0.8304093567251462,0.620253164556962,0.7892504798892906,0.9030400428552297,0.8136645962732919
PP-C,2,1,2589,651,0.8283582089552238,0.8549323017408124,0.69375,0.841645255348018,0.9389849591500908,0.8494623655913979
PP-C,2,2,2585,655,0.8467153284671532,0.8783783783783784,0.7341772151898734,0.8625468534227658,0.9328692613364147,0.8717557251908397
PP-C,2,3,2597,643,0.9007633587786259,0.841796875,0.7151515151515152,0.871280116889313,0.9343243082061068,0.8538102643856921
PP-C,2,4,2593,647,0.8409090909090909,0.8446601941747572,0.6873065015479877,0.8427846425419241,0.920020594292439,0.8438948995363215
PP-C,3,0,2596,644,0.8396946564885496,0.8206627680311891,0.6606606606606606,0.8301787122598694,0.9132032796154934,0.8245341614906833
PP-C,3,1,2593,647,0.8560606060606061,0.8699029126213592,0.7243589743589743,0.8629817593409826,0.9506031185642837,0.8670788253477589
PP-C,3,2,2585,655,0.8529411764705882,0.8554913294797688,0.709480122324159,0.8542162529751784,0.9469143148588915,0.8549618320610687
PP-C,3,3,2589,651,0.7925925925925926,0.8682170542635659,0.6903225806451613,0.8304048234280792,0.9279500430663221,0.8525345622119815
PP-C,3,4,2597,643,0.7938931297709924,0.861328125,0.6797385620915033,0.8276106273854962,0.9193255009541985,0.8475894245723172
PP-C,4,0,2585,655,0.8455882352941176,0.8131021194605009,0.6609195402298851,0.8293451773773093,0.9187067890740112,0.8198473282442749
PP-C,4,1,2596,644,0.8931297709923665,0.8460038986354775,0.7155963302752294,0.869566834813922,0.9375325506301802,0.8555900621118012
PP-C,4,2,2593,647,0.8333333333333334,0.887378640776699,0.7333333333333333,0.8603559870550161,0.9454839658723154,0.8763523956723338
PP-C,4,3,2589,651,0.837037037037037,0.8624031007751938,0.7084639498432602,0.8497200689061154,0.9339506172839507,0.8571428571428571
PP-C,4,4,2597,643,0.7633587786259542,0.84765625,0.6472491909385113,0.8055075143129771,0.913302123091603,0.8304821150855366
PP-D,0,0,2593,647,0.7803030303030303,0.7902912621359224,0.6005830903790087,0.7852971462194763,0.8823624595469256,0.7882534775888718
PP-D,0,1,2589,651,0.8507462686567164,0.8646034816247582,0.7169811320754716,0.8576748751407373,0.9274084124830393,0.8617511520737328
PP-D,0,2,2596,644,0.7709923664122137,0.9259259259259259,0.7481481481481481,0.8484591461690698,0.9479041114235971,0.8944099378881988
PP-D,0,3,2585,655,0.8102189781021898,0.8532818532818532,0.6851851851851852,0.8317504156920215,0.9202153143758984,0.8442748091603054
PP-D,0,4,2597,643,0.9312977099236641,0.83984375,0.7283582089552239,0.8855707299618321,0.946087786259542,0.8584758942457231
PP-D,1,0,2593,647,0.8333333333333334,0.8233009708737864,0.6606606606606606,0.8283171521035599,0.920417769932333,0.8253477588871716
PP-D,1,1,2585,655,0.8308823529411765,0.8477842003853564,0.6890243902439024,0.8393332766632664,0.9327042955910688,0.8442748091603054
PP-D,1,2,2596,644,0.8244274809160306,0.898635477582846,0.7422680412371134,0.8615314792494383,0.9577995029983781,0.8835403726708074
PP-D,1,3,2589,651,0.837037037037037,0.8449612403100775,0.6890243902439024,0.8409991386735572,0.908211312087281,0.8433179723502304
PP-D,1,4,2597,643,0.8931297709923665,0.859375,0.73125,0.8762523854961832,0.9354723282442748,0.8662519440124417
PP-D,2,0,2596,644,0.7404580152671756,0.8440545808966862,0.6298701298701299,0.7922562980819309,0.9104355460321711,0.8229813664596274
PP-D,2,1,2589,651,0.8656716417910447,0.8375241779497099,0.6946107784431138,0.8515979098703773,0.9275960622419815,0.8433179723502304
PP-D,2,2,2585,655,0.8540145985401459,0.8976833976833977,0.762214983713355,0.8758489981117719,0.9487923794493137,0.8885496183206106
PP-D,2,3,2597,643,0.9389312977099237,0.84375,0.7365269461077845,0.8913406488549618,0.9361283396946565,0.8631415241057543
PP-D,2,4,2593,647,0.7878787878787878,0.8524271844660194,0.6666666666666666,0.8201529861724036,0.9097528684907326,0.839258114374034
PP-D,3,0,2596,644,0.8244274809160306,0.8284600389863548,0.6605504587155964,0.8264437599511927,0.9122955820424684,0.827639751552795
PP-D,3,1,2593,647,0.8939393939393939,0.8679611650485437,0.7421383647798742,0.8809502794939688,0.9479847013827597,0.8732612055641422
PP-D,3,2,2585,655,0.9044117647058824,0.8477842003853564,0.727810650887574,0.8760979825456194,0.946545959424232,0.8595419847328244
PP-D,3,3,2589,651,0.8222222222222222,0.875968992248062,0.7161290322580646,0.8490956072351421,0.9222509331036464,0.8648233486943164
PP-D,3,4,2597,643,0.7786259541984732,0.857421875,0.6666666666666666,0.8180239145992366,0.9075620229007634,0.8413685847589425
PP-D,4,0,2585,655,0.8382352941176471,0.8111753371868978,0.6551724137931034,0.8247053156522725,0.9114955230647173,0.816793893129771
PP-D,4,1,2596,644,0.9007633587786259,0.8440545808966862,0.7173252279635258,0.872408969837656,0.930702498400369,0.8555900621118012
PP-D,4,2,2593,647,0.8106060606060606,0.9106796116504854,0.7508771929824561,0.860642836128273,0.9255957634598412,0.8902627511591963
PP-D,4,3,2589,651,0.8592592592592593,0.8546511627906976,0.7116564417177914,0.8569552110249785,0.9349842090152167,0.8556067588325653
PP-D,4,4,2597,643,0.8091603053435115,0.849609375,0.6751592356687898,0.8293848401717557,0.9196535066793893,0.8413685847589425
