model_id,kind,feature,importance,scoring,n_repeats,n_scored_rows,computed_on,rank,importance_std
M4,impurity,env_skew,0.0026314422280350244,mean decrease in impurity,0,0,train,129,
M4,impurity,time_hjorth_activity,0.0026204120450917636,mean decrease in impurity,0,0,train,130,
M4,impurity,mfcc_05_delta_mean,0.0026007771251562346,mean decrease in impurity,0,0,train,131,
M4,impurity,time_std,0.002597981755775808,mean decrease in impurity,0,0,train,132,
M4,impurity,time_mean,0.002493037128433548,mean decrease in impurity,0,0,train,133,
M4,impurity,mfcc_09_delta_mean,0.002425901192320726,mean decrease in impurity,0,0,train,134,
M4,impurity,freq_total_power,0.002407873234582254,mean decrease in impurity,0,0,train,135,
M4,impurity,time_rms,0.0023666836462278118,mean decrease in impurity,0,0,train,136,
M4,impurity,chroma_09_std,0.002331689465659021,mean decrease in impurity,0,0,train,137,
M4,impurity,time_var,0.002124989588499099,mean decrease in impurity,0,0,train,138,
M4,permutation,time_zcr_mean,0.03471609296852011,balanced_accuracy,10,647,held-out fold,1,0.007101637291611948
M4,permutation,mfcc_04_mean,0.017454398352456556,balanced_accuracy,10,647,held-out fold,2,0.00874543905923675
M4,permutation,dwt_cD1_entropy,0.013270079435127946,balanced_accuracy,10,647,held-out fold,3,0.0052893304805394425
M4,permutation,dwt_cD1_std,0.005080170638422999,balanced_accuracy,10,647,held-out fold,4,0.0015953730179396502
M4,permutation,freq_bandwidth_mean,0.004876434245366212,balanced_accuracy,10,647,held-out fold,5,0.0015151515151514694
M4,permutation,freq_band_power_250_350,0.004594733745219126,balanced_accuracy,10,647,held-out fold,6,0.0018216948604377725
M4,permutation,dwt_cD1_energy,0.004313033245072029,balanced_accuracy,10,647,held-out fold,7,0.0018566742922253418
M4,permutation,mfcc_07_std,0.0037878787878786735,balanced_accuracy,10,647,held-out fold,8,0.0
M4,permutation,chroma_09_mean,0.0037878787878786735,balanced_accuracy,10,647,held-out fold,8,0.0
M4,permutation,mfcc_11_std,0.0036907914092379037,balanced_accuracy,10,647,held-out fold,10,0.00029126213592230995
M4,permutation,freq_rolloff95_mean,0.0028170050014709735,balanced_accuracy,10,647,held-out fold,11,0.0
M4,permutation,time_hjorth_mobility,0.0027199176228302037,balanced_accuracy,10,647,held-out fold,12,0.0005228315346732167
M4,permutation,mfcc_13_std,0.0026228302441894226,balanced_accuracy,10,647,held-out fold,13,0.0005825242718446533
M4,permutation,dwt_cD2_std,0.0023315681082671236,balanced_accuracy,10,647,held-out fold,14,0.00048543689320385
M4,permutation,dwt_cD3_mean_abs,0.0023315681082671236,balanced_accuracy,10,647,held-out fold,14,0.00048543689320385
