run,task,model_id,location,n_records_corpus,reported,n_folds,n_units_mean,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd,exclusion_reason
EXP-C2,circor_outcome,M5,MV,861,True,5,172.2,0.5559052792856957,0.07459885333807156,0.6390909664993212,0.034352388255555845,0.5974981228925085,0.02882462373668509,,,0.59717100433341,0.027900038462296887,
EXP-C2,circor_outcome,M5,PV,766,True,5,153.2,0.4526119402985075,0.09100988012611934,0.7278214055297157,0.06242161737674944,0.5902166729141116,0.054798266270982415,,,0.6005707357168827,0.05383576327022211,
EXP-C2,circor_outcome,M5,Phc,4,False,2,2.0,0.8333333333333333,0.23570226039551587,,,0.8333333333333333,0.23570226039551587,,,0.8333333333333333,0.23570226039551587,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C2,circor_outcome,M5,TV,732,True,5,146.4,0.4181503549446443,0.08513725828081978,0.7931775397598183,0.06606747254643176,0.6056639473522314,0.01651176709373076,,,0.6203464314535841,0.013884644532025175,
EXP-C2,circor_outcome,M6,AV,800,True,5,160.0,0.5053559882090048,0.11842616024500924,0.6629219553498793,0.07862360514293151,0.5841389717794421,0.020895684846608642,,,0.5840271673933709,0.01970147070872149,
EXP-C2,circor_outcome,M6,MV,861,True,5,172.2,0.517149466747311,0.09155688989147748,0.681752819513057,0.08188860898234422,0.599451143130184,0.02432726273483851,,,0.5982298530054778,0.022323156685427364,
EXP-C2,circor_outcome,M6,PV,766,True,5,153.2,0.42636815920398,0.11022593545680509,0.7531343319182024,0.09185810984298887,0.5897512455610913,0.02971280297771799,,,0.6019701941123848,0.029773509384878084,
EXP-C2,circor_outcome,M6,Phc,4,False,2,2.0,0.8333333333333333,0.23570226039551587,,,0.8333333333333333,0.23570226039551587,,,0.8333333333333333,0.23570226039551587,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C2,circor_outcome,M6,TV,732,True,5,146.4,0.35337587810771764,0.11199827897568936,0.8520481217649772,0.04963793616729572,0.6027119999363475,0.039325920351550546,,,0.6217046850611778,0.03415307139923782,
EXP-C2,circor_outcome,M7,AV,800,True,5,160.0,0.5053559882090048,0.11842616024500924,0.6629219553498793,0.07862360514293151,0.5841389717794421,0.020895684846608642,,,0.5840271673933709,0.01970147070872149,
EXP-C2,circor_outcome,M7,MV,861,True,5,172.2,0.517149466747311,0.09155688989147748,0.681752819513057,0.08188860898234422,0.599451143130184,0.02432726273483851,,,0.5982298530054778,0.022323156685427364,
EXP-C2,circor_outcome,M7,PV,766,True,5,153.2,0.42636815920398,0.11022593545680509,0.7531343319182024,0.09185810984298887,0.5897512455610913,0.02971280297771799,,,0.6019701941123848,0.029773509384878084,
EXP-C2,circor_outcome,M7,Phc,4,False,2,2.0,0.8333333333333333,0.23570226039551587,,,0.8333333333333333,0.23570226039551587,,,0.8333333333333333,0.23570226039551587,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C2,circor_outcome,M7,TV,732,True,5,146.4,0.35337587810771764,0.11199827897568936,0.8520481217649772,0.04963793616729572,0.6027119999363475,0.039325920351550546,,,0.6217046850611778,0.03415307139923782,
