search,label,family,objective,model_id,step,best_so_far
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,15,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,16,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,17,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,18,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,19,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,20,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,21,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,22,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,23,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,24,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,25,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,26,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,27,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,28,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,29,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,30,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,31,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,32,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,33,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,34,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,35,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,36,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,37,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,38,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,39,0.84998
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,40,0.84998
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,1,0.713107
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,2,0.804118
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M3,3,0.804118
