analysis,run,task,model_id,group,n_records_corpus,reported,n_folds,n_units_mean,median_duration_sec,min_duration_sec,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
observational_bands,EXP-B2,pascal_b,M3,short,227,True,5,45.4,2.91775,0.76325,,,,,0.36259213759213754,0.05555188510661826,,,0.3364902384676979,0.07793677589873443,0.7704878081100429,0.04013990309622844
observational_bands,EXP-B2,pascal_b,M4,long,5,False,3,1.6666666666666667,22.750999999999998,21.97,,,,,0.6666666666666666,0.5773502691896258,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5773502691896258
observational_bands,EXP-B2,pascal_b,M4,medium,229,True,5,45.8,9.08275,5.0235,,,,,0.4104832471450119,0.06668888549857754,,,0.3939732853460851,0.05608898099435584,0.5363560960456677,0.042268112288839754
observational_bands,EXP-B2,pascal_b,M4,short,227,True,5,45.4,2.91775,0.76325,,,,,0.4165683850014479,0.08465518501637496,,,0.42275097665462774,0.08680956539745556,0.6799151213694605,0.016203182159588044
observational_bands,EXP-B2,pascal_b,M5,long,5,False,3,1.6666666666666667,22.750999999999998,21.97,,,,,0.8333333333333334,0.28867513459481287,,,0.2962962962962963,0.06415002990995841,0.8333333333333334,0.28867513459481287
observational_bands,EXP-B2,pascal_b,M5,medium,229,True,5,45.8,9.08275,5.0235,,,,,0.41430781799899447,0.06694080613861067,,,0.4090758880996317,0.06385458708830678,0.6131157375898704,0.11563527642922496
observational_bands,EXP-B2,pascal_b,M5,short,227,True,5,45.4,2.91775,0.76325,,,,,0.4172547970671703,0.11172668894079785,,,0.41606286959228134,0.1417054764409779,0.7223696334757027,0.08712767919089738
observational_bands,EXP-B2,pascal_b,M6,long,5,False,3,1.6666666666666667,22.750999999999998,21.97,,,,,0.8333333333333334,0.28867513459481287,,,0.2962962962962963,0.06415002990995841,0.8333333333333334,0.28867513459481287
observational_bands,EXP-B2,pascal_b,M6,medium,229,True,5,45.8,9.08275,5.0235,,,,,0.43567460317460316,0.019715074876212213,,,0.4277115259468201,0.03125445317986452,0.7099785195808855,0.043721876832161805
observational_bands,EXP-B2,pascal_b,M6,short,227,True,5,45.4,2.91775,0.76325,,,,,0.39646464646464646,0.05927623532477529,,,0.3873770876154813,0.09250432825149417,0.7858490755688714,0.04109929755528903
observational_bands,EXP-B2,pascal_b,M7,long,5,False,3,1.6666666666666667,22.750999999999998,21.97,,,,,0.8333333333333334,0.28867513459481287,,,0.2962962962962963,0.06415002990995841,0.8333333333333334,0.28867513459481287
observational_bands,EXP-B2,pascal_b,M7,medium,229,True,5,45.8,9.08275,5.0235,,,,,0.42824938949938945,0.032740117903596086,,,0.4222339676823766,0.041366946282521244,0.680348889951256,0.09751647386326637
observational_bands,EXP-B2,pascal_b,M7,short,227,True,5,45.4,2.91775,0.76325,,,,,0.3882234507234507,0.06572834817333505,,,0.3864753998851126,0.09663895665026788,0.7547835485033443,0.050021075203001746
observational_bands,EXP-C1-two_class,circor_murmur,M3,long,1957,True,5,391.4,28.192,20.048,0.25168295057749124,0.038555981473646014,0.9939897853348114,0.005567471576237851,0.6228363679561513,0.01947280273102625,0.746933399567977,0.051090947154349975,,,0.8488223556209192,0.017000198059289845
observational_bands,EXP-C1-two_class,circor_murmur,M3,medium,1050,True,5,210.0,16.176000000000002,5.152,0.2280902055737549,0.09443334876523145,0.9828567212868549,0.009604539188799926,0.605473463430305,0.05111625019044055,0.7294538233006318,0.09931828432386569,,,0.8207140417579643,0.043449236585406045
observational_bands,EXP-C1-two_class,circor_murmur,M4,long,1957,True,5,391.4,28.192,20.048,0.39804677007789413,0.06103710326466316,0.9365610618393918,0.012223500706156966,0.6673039159586429,0.03136678028430828,0.7352188879558621,0.06640555036876651,,,0.8315572490238997,0.013147337016591607
observational_bands,EXP-C1-two_class,circor_murmur,M4,medium,1050,True,5,210.0,16.176000000000002,5.152,0.4691795090917723,0.1978420588636167,0.8849097624858105,0.029351074163241758,0.6770446357887915,0.09452977904991813,0.7083917566287845,0.1264025805440853,,,0.7974185591475267,0.05791811704886298
observational_bands,EXP-C1-two_class,circor_murmur,M5,long,1957,True,5,391.4,28.192,20.048,0.40158222535589577,0.05361255849767312,0.9315345351013808,0.03536549829669858,0.6665583802286383,0.02005128444503408,0.737513350104783,0.051605018269746165,,,0.8278548069855287,0.018701971972309137
observational_bands,EXP-C1-two_class,circor_murmur,M5,medium,1050,True,5,210.0,16.176000000000002,5.152,0.44506879361914253,0.21529888556526225,0.8944554959915199,0.054615024952382324,0.6697621448053311,0.09417687495800905,0.7265380951986562,0.11976866009671094,,,0.800528117689917,0.0632319444788596
observational_bands,EXP-C1-two_class,circor_murmur,M6,long,1957,True,5,391.4,28.192,20.048,0.5194282164920762,0.052998752482127,0.8710379259997183,0.05660963397145655,0.6952330712458974,0.04134036226997944,0.7525466650937845,0.05500043939730042,,,0.8023924995391655,0.043723775763661606
observational_bands,EXP-C1-two_class,circor_murmur,M6,medium,1050,True,5,210.0,16.176000000000002,5.152,0.5580329487727295,0.19181815043390654,0.7958233540889698,0.05883337627039836,0.6769281514308496,0.08146559948428014,0.7334240099997749,0.11549247519143846,,,0.7497955511333153,0.040959136151404424
observational_bands,EXP-C1-two_class,circor_murmur,M7,long,1957,True,5,391.4,28.192,20.048,0.5194282164920762,0.052998752482127,0.8710379259997183,0.05660963397145655,0.6952330712458974,0.04134036226997944,0.7525466650937845,0.05500043939730042,,,0.8023924995391655,0.043723775763661606
observational_bands,EXP-C1-two_class,circor_murmur,M7,medium,1050,True,5,210.0,16.176000000000002,5.152,0.5580329487727295,0.19181815043390654,0.7958233540889698,0.05883337627039836,0.6769281514308496,0.08146559948428014,0.7334240099997749,0.11549247519143846,,,0.7497955511333153,0.040959136151404424
observational_bands,EXP-C2,circor_outcome,M3,long,2054,True,5,410.8,28.144,20.048,0.4170930190132987,0.07240801150683543,0.7824848437776096,0.03028601039533002,0.5997889313954542,0.02570645710191952,0.6173712217789148,0.027063262111716297,,,0.605724464418552,0.030705133346821827
observational_bands,EXP-C2,circor_outcome,M3,medium,1109,True,5,221.8,16.096,5.152,0.5010564104797851,0.0737881255804434,0.711102292547172,0.07615045730884562,0.6060793515134785,0.060874977950644546,0.6359711426769581,0.07182086114167881,,,0.6083984386362262,0.06120128702273695
observational_bands,EXP-C2,circor_outcome,M4,long,2054,True,5,410.8,28.144,20.048,0.44809689989896134,0.07758129462689234,0.7422486432996191,0.041930558368913955,0.5951727715992903,0.02314717972054474,0.6204346635450853,0.026196031466521545,,,0.5991385008656551,0.024783644894401723
observational_bands,EXP-C2,circor_outcome,M4,medium,1109,True,5,221.8,16.096,5.152,0.553484071827725,0.10536616919576827,0.6686045300178043,0.09088478992174598,0.6110443009227646,0.06406759437016829,0.6471429293478062,0.07276122149093053,,,0.6122732431324717,0.06197070508367336
observational_bands,EXP-C2,circor_outcome,M5,long,2054,True,5,410.8,28.144,20.048,0.4785853084372951,0.08016040934421373,0.7163214697642818,0.043786456735025195,0.5974533891007885,0.02353230736707186,0.6251672699698594,0.034657232594866694,,,0.6000132370119756,0.02417883869882164
observational_bands,EXP-C2,circor_outcome,M5,medium,1109,True,5,221.8,16.096,5.152,0.5191562329139728,0.10165772083719724,0.672973825679142,0.0387162603560004,0.5960650292965574,0.05211578255671229,0.6333694798175185,0.058536847464755,,,0.5965661004977852,0.04823360512522781
observational_bands,EXP-C2,circor_outcome,M6,long,2054,True,5,410.8,28.144,20.048,0.4313295948308327,0.09624465368820305,0.7564749569298416,0.06506718320264403,0.5939022758803371,0.016758524391897563,0.625793165061738,0.028074161954216543,,,0.5982047197705607,0.01676382544517327
observational_bands,EXP-C2,circor_outcome,M6,medium,1109,True,5,221.8,16.096,5.152,0.5106845210173384,0.1573029993165184,0.6971093302264585,0.10467660589887698,0.6038969256218982,0.058374700310566935,0.6468820688497758,0.07313301416933125,,,0.6057855957548401,0.0539699597403479
observational_bands,EXP-C2,circor_outcome,M7,long,2054,True,5,410.8,28.144,20.048,0.4313295948308327,0.09624465368820305,0.7564749569298416,0.06506718320264403,0.5939022758803371,0.016758524391897563,0.625793165061738,0.028074161954216543,,,0.5982047197705607,0.01676382544517327
observational_bands,EXP-C2,circor_outcome,M7,medium,1109,True,5,221.8,16.096,5.152,0.5106845210173384,0.1573029993165184,0.6971093302264585,0.10467660589887698,0.6038969256218982,0.058374700310566935,0.6468820688497758,0.07313301416933125,,,0.6057855957548401,0.0539699597403479
interventional_truncation,EXP-E2-TRUNC,binary,M1,full (untruncated),251,True,1,251.0,22.221870517928288,7.7595,0.6730769230769231,,0.8944723618090452,,0.7837746424429841,,0.9028797835330499,,,,0.848605577689243,
interventional_truncation,EXP-E2-TRUNC,binary,M1,10 s clip,251,True,1,251.0,9.650478087649402,7.7595,0.6153846153846154,,0.9246231155778895,,0.7700038654812524,,0.912156938538848,,,,0.8605577689243028,
interventional_truncation,EXP-E2-TRUNC,binary,M1,5 s clip,251,True,1,251.0,5.0,5.0,0.4423076923076923,,0.949748743718593,,0.6960282180131426,,0.8800734441437958,,,,0.8446215139442231,
interventional_truncation,EXP-E2-TRUNC,binary,M1,3 s clip,251,True,1,251.0,3.0,3.0,0.46153846153846156,,0.9095477386934674,,0.6855431001159644,,0.8466370313103981,,,,0.8167330677290837,
