exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact,brier,ece,fit_seconds,predict_seconds,params,note
EXP-B1,M4,pascal_a,0,0,r0f0,62,62,138,0.7419354838709677,0.7223039215686274,0.7227564102564102,0.7484491315136476,0.7267379679144385,0.7223039215686274,62.0,4.0,0.9206780147956618,0.47058823529411764,0.5333333333333333,0.5,15.0,0.8,0.7058823529411765,0.75,17.0,0.6363636363636364,0.7,0.6666666666666666,10.0,1.0,0.95,0.9743589743589743,20.0,0.3465646451612904,0.10093548387096775,1.588304,0.362045,{},config defaults
EXP-B1,M4,pascal_a,0,1,r0f1,62,62,138,0.6774193548387096,0.6587622549019607,0.6347665340710067,0.6675174789292397,0.6348039215686275,0.6587622549019607,62.0,4.0,0.8896711890936304,0.5,0.3125,0.38461538461538464,16.0,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0,0.42857142857142855,0.6666666666666666,0.5217391304347826,9.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.3952913548387097,0.0978387096774194,1.89132,0.407093,{},config defaults
EXP-B1,M4,pascal_a,1,0,r1f0,62,62,138,0.7096774193548387,0.7115604575163399,0.6381887985546523,0.6651062155782848,0.6596700083542189,0.7115604575163399,62.0,4.0,0.9001847181482656,0.5,0.125,0.2,16.0,0.7894736842105263,0.8823529411764706,0.8333333333333334,17.0,0.4444444444444444,0.8888888888888888,0.5925925925925926,9.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.36572929032258067,0.11732258064516132,1.528057,0.319758,{},config defaults
EXP-B1,M4,pascal_a,1,1,r1f1,62,62,138,0.6774193548387096,0.6306372549019608,0.6329635576314894,0.6816350489607512,0.6358455882352941,0.6306372549019608,62.0,4.0,0.8744934334890531,0.4375,0.4666666666666667,0.45161290322580644,15.0,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0,0.4,0.4,0.4,10.0,1.0,0.95,0.9743589743589743,20.0,0.394589935483871,0.0792903225806452,1.539013,0.306733,{},config defaults
EXP-B1,M4,pascal_a,2,0,r2f0,62,62,138,0.6129032258064516,0.5473039215686275,0.5515602582496414,0.6137305040033323,0.5634085213032581,0.5473039215686275,62.0,4.0,0.8731402176255117,0.2631578947368421,0.3333333333333333,0.29411764705882354,15.0,0.8,0.7058823529411765,0.75,17.0,0.2857142857142857,0.2,0.23529411764705882,10.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.39835496774193546,0.1576451612903226,1.725091,0.300107,{},config defaults
EXP-B1,M4,pascal_a,2,1,r2f1,62,62,138,0.7258064516129032,0.6925653594771242,0.688798472242495,0.7297620000533631,0.6881461675579322,0.6925653594771242,62.0,4.0,0.9135145061579458,0.5333333333333333,0.5,0.5161290322580645,16.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0,0.45454545454545453,0.5555555555555556,0.5,9.0,1.0,0.95,0.9743589743589743,20.0,0.35094903225806456,0.12164516129032256,1.52723,0.349703,{},config defaults
EXP-B1,M4,pascal_a,3,0,r3f0,62,62,138,0.7096774193548387,0.6747549019607844,0.6590757381258023,0.6896393225392357,0.6547619047619048,0.6747549019607844,62.0,4.0,0.8869513756129839,0.4,0.26666666666666666,0.32,15.0,0.7142857142857143,0.8823529411764706,0.7894736842105263,17.0,0.6,0.6,0.6,10.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.39768516129032266,0.060806451612903156,1.472995,0.241147,{},config defaults
EXP-B1,M4,pascal_a,3,1,r3f1,62,62,138,0.6774193548387096,0.6961397058823529,0.6314685314685314,0.6649447326866681,0.6802884615384616,0.6961397058823529,62.0,4.0,0.8715195933616815,0.5,0.1875,0.2727272727272727,16.0,0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0,0.375,1.0,0.5454545454545454,9.0,1.0,0.95,0.9743589743589743,20.0,0.40569058064516134,0.15,1.67471,0.237181,{},config defaults
EXP-B1,M4,pascal_a,4,0,r4f0,62,62,138,0.6290322580645161,0.5850490196078432,0.5882003395585739,0.6349307190974315,0.5930555555555554,0.5850490196078432,62.0,4.0,0.8614476027726967,0.25,0.26666666666666666,0.25806451612903225,15.0,0.7777777777777778,0.8235294117647058,0.8,17.0,0.4,0.4,0.4,10.0,0.9444444444444444,0.85,0.8947368421052632,20.0,0.43784464516129035,0.08035483870967741,1.470641,0.25187,{},config defaults
EXP-B1,M4,pascal_a,4,1,r4f1,62,62,138,0.6290322580645161,0.5629084967320261,0.5660064903373665,0.6306529877036242,0.5833333333333333,0.5629084967320261,62.0,4.0,0.8739319100623568,0.38095238095238093,0.5,0.43243243243243246,16.0,0.75,0.5294117647058824,0.6206896551724138,17.0,0.25,0.2222222222222222,0.23529411764705882,9.0,0.9523809523809523,1.0,0.975609756097561,20.0,0.398508129032258,0.11464516129032257,1.517591,0.229921,{},config defaults
EXP-B1,M5,pascal_a,0,0,r0f0,62,62,138,0.5645161290322581,0.5073529411764706,0.5095779220779221,0.5631545873481358,0.5239583333333333,0.5073529411764706,62.0,4.0,0.7948195078631562,0.3,0.4,0.34285714285714286,15.0,0.5625,0.5294117647058824,0.5454545454545454,17.0,0.3333333333333333,0.2,0.25,10.0,0.9,0.9,0.9,20.0,0.7735928360383731,0.3583985526317437,2.257122,0.007792,{},config defaults
EXP-B1,M5,pascal_a,0,1,r0f1,62,62,138,0.6612903225806451,0.630984477124183,0.6163419913419913,0.6525624912721687,0.6117424242424243,0.630984477124183,62.0,4.0,0.8595070146256479,0.4166666666666667,0.3125,0.35714285714285715,16.0,0.75,0.7058823529411765,0.7272727272727273,17.0,0.4166666666666667,0.5555555555555556,0.47619047619047616,9.0,0.8636363636363636,0.95,0.9047619047619048,20.0,0.6309795615177014,0.294130578959817,1.958542,0.009449,{},config defaults
EXP-B1,M5,pascal_a,1,0,r1f0,62,62,138,0.6774193548387096,0.6668709150326797,0.6076839826839826,0.6449867336964111,0.622502990430622,0.6668709150326797,62.0,4.0,0.8446819857967798,0.4,0.125,0.19047619047619047,16.0,0.8125,0.7647058823529411,0.7878787878787878,17.0,0.3684210526315789,0.7777777777777778,0.5,9.0,0.9090909090909091,1.0,0.9523809523809523,20.0,0.6290460080181807,0.32741881773813275,2.202596,0.006806,{},config defaults
EXP-B1,M5,pascal_a,1,1,r1f1,62,62,138,0.5645161290322581,0.4948529411764706,0.4889989837398374,0.5553615919223709,0.4976190476190476,0.4948529411764706,62.0,4.0,0.8215955326484112,0.2857142857142857,0.4,0.3333333333333333,15.0,0.6,0.5294117647058824,0.5625,17.0,0.2,0.1,0.13333333333333333,10.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.7706047168831276,0.38872756883104187,2.06647,0.009294,{},config defaults
