run,task,model_id,quality_group,n_records_corpus,reported,n_folds,n_units_mean,mean_snr_proxy_db,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
EXP-B1,pascal_a,M5,noisy,31,False,10,15.5,-0.30577054314928526,,,,,0.7158463064713064,0.25379227078089167,,,0.23972938492373075,0.007791322555436918,0.922646161028514,0.05823600516361441
EXP-B1,pascal_a,M6,clean,86,True,10,43.0,29.50531600524305,,,,,0.6106731442577031,0.06336969370307892,,,0.5721643261460624,0.05091225892880903,0.5959263995243921,0.056467294661979806
EXP-B1,pascal_a,M6,low_quality_other,7,False,10,3.5,19.624472298333338,,,,,0.38472222222222224,0.34570966850396206,,,0.21583333333333332,0.21993440380101664,0.37,0.3293090409394258
EXP-B1,pascal_a,M6,noisy,31,False,10,15.5,-0.30577054314928526,,,,,0.7307768620268621,0.2601521592950274,,,0.24215082674092686,0.006834309273837491,0.940334069525246,0.05099040217117481
EXP-B1,pascal_a,M7,clean,86,True,10,43.0,29.50531600524305,,,,,0.6137780112044817,0.06734433596481287,,,0.5743520830382971,0.05195237545135846,0.5939298979194538,0.04612357948694039
EXP-B1,pascal_a,M7,low_quality_other,7,False,10,3.5,19.624472298333338,,,,,0.3902777777777778,0.3462300639771857,,,0.2355952380952381,0.2111904985594376,0.41500000000000004,0.3621310382843328
EXP-B1,pascal_a,M7,noisy,31,False,10,15.5,-0.30577054314928526,,,,,0.733901862026862,0.2696008193702742,,,0.24215235411140584,0.00776260193773741,0.9407017165840695,0.05803440674193506
EXP-B2,pascal_b,M1,clean,384,True,5,76.8,17.16306968733536,,,,,0.48290641951787466,0.03871475176695791,,,0.4676233166708735,0.030367736206122382,0.5469460188933872,0.018948902437411264
EXP-B2,pascal_b,M1,low_quality_other,63,False,5,12.6,19.69695673838828,,,,,0.49079254079254075,0.13399614381154842,,,0.3237388926862611,0.13134493280463078,0.6146886446886447,0.11693708202406596
EXP-B2,pascal_b,M1,noisy,14,False,4,3.5,3.657809223214286,,,,,0.8125,0.23935677693908453,,,0.43686868686868685,0.19783114738214658,0.8392857142857143,0.23600270954284536
EXP-B2,pascal_b,M3,clean,384,True,5,76.8,17.16306968733536,,,,,0.39679783546347014,0.03421860772950886,,,0.3784353227540334,0.049142654517032584,0.6959062078272604,0.02959581357201874
EXP-B2,pascal_b,M3,low_quality_other,63,False,5,12.6,19.69695673838828,,,,,0.75,0.25,,,0.4104912280701754,0.11400032158597546,0.9371428571428572,0.0627596646756823
EXP-B2,pascal_b,M3,noisy,14,False,4,3.5,3.657809223214286,,,,,0.6875,0.23935677693908453,,,0.30353535353535355,0.16894474130032183,0.6517857142857143,0.3405365414378048
EXP-B2,pascal_b,M4,clean,384,True,5,76.8,17.16306968733536,,,,,0.4056039753733252,0.049314832473802354,,,0.4003654832399365,0.05110716106940023,0.5653151147098515,0.018701717733563945
EXP-B2,pascal_b,M4,low_quality_other,63,False,5,12.6,19.69695673838828,,,,,0.6884615384615385,0.20730019966479793,,,0.39837001594896326,0.12676281103096235,0.8756043956043955,0.11490586182818509
EXP-B2,pascal_b,M4,noisy,14,False,4,3.5,3.657809223214286,,,,,0.675,0.2362907813126304,,,0.3055555555555556,0.06780955353426613,0.7053571428571428,0.22279722943110597
EXP-B2,pascal_b,M5,clean,384,True,5,76.8,17.16306968733536,,,,,0.4112069540366754,0.07824436401262122,,,0.41343650597301995,0.09212756249196115,0.6237989203778678,0.11738056958666193
EXP-B2,pascal_b,M5,low_quality_other,63,False,5,12.6,19.69695673838828,,,,,0.7346153846153847,0.23252536923372064,,,0.40782456140350876,0.11638734829084156,0.9217582417582417,0.052006009703537026
