task,model_id,kind,fold_label,family,n_features,total_importance,positive_importance,mean_importance,max_importance,n_negative,share_of_positive,net_is_negative
binary,M1,permutation,r0f3,time,24,0.27688822816560044,0.30557590959050823,0.011537009506900018,0.19805188400078913,15,0.32939391246693445,False
binary,M3,permutation,r0f3,chroma,24,0.01962841360651585,0.025217709889242757,0.0008178505669381603,0.0030493475748950226,5,0.10976986113155701,False
binary,M3,permutation,r0f3,dwt,24,0.04562184708170113,0.05020714144801736,0.0019009102950708805,0.016395879717047635,5,0.21854605230874907,False
binary,M3,permutation,r0f3,envelope,5,-0.0016712228391059904,0.004714229349265864,-0.0003342445678211981,0.002491333878195201,2,0.020520511310663004,True
binary,M3,permutation,r0f3,frequency,22,0.013065411605557674,0.025661584420708462,0.000593882345707167,0.004530338471944307,7,0.1117019971539327,False
binary,M3,permutation,r0f3,mfcc,39,0.03276709973790302,0.06927613223233677,0.0008401820445616159,0.010372572781331935,11,0.3015512292065366,False
binary,M3,permutation,r0f3,time,24,0.050954682524025616,0.0546557506411521,0.0021231117718344007,0.004454950257869949,2,0.23791034888856158,False
binary,M4,impurity,r0f3,chroma,24,0.08941810829615177,0.08941810829615177,0.0037257545123396568,0.006147079059927897,0,0.08941810829615178,False
binary,M4,impurity,r0f3,dwt,24,0.29758168492172704,0.29758168492172704,0.012399236871738627,0.05635390806683125,0,0.2975816849217271,False
binary,M4,impurity,r0f3,envelope,5,0.023125915481524456,0.023125915481524456,0.004625183096304891,0.006788498948214875,0,0.02312591548152446,False
binary,M4,impurity,r0f3,frequency,22,0.12144182588838422,0.12144182588838422,0.005520082994926555,0.011329859855167674,0,0.12144182588838424,False
binary,M4,impurity,r0f3,mfcc,39,0.26170176625926356,0.26170176625926356,0.006710301698955476,0.060545150257110415,0,0.2617017662592636,False
binary,M4,impurity,r0f3,time,24,0.20673069915294878,0.20673069915294878,0.008613779131372866,0.062056616000756494,0,0.20673069915294884,False
binary,M4,permutation,r0f3,chroma,24,-0.0054533156722945675,0.011021475072569554,-0.000227221486345607,0.004614886001747198,14,0.05358457991785606,True
binary,M4,permutation,r0f3,dwt,24,0.05042273764901384,0.07347321252430677,0.0021009474020422434,0.02561931065580699,12,0.3572145472731589,False
binary,M4,permutation,r0f3,envelope,5,-0.0039363920750783545,0.001610630442747185,-0.0007872784150156709,0.001610630442747185,4,0.00783061750893179,True
binary,M4,permutation,r0f3,frequency,22,-0.00798269593890133,0.015601837499647175,-0.0003628498154046059,0.00470507003353714,12,0.07585354073393898,True
binary,M4,permutation,r0f3,mfcc,39,0.022955358904262608,0.05666164078572754,0.0005885989462631438,0.027486401938956673,18,0.27547947974007536,False
binary,M4,permutation,r0f3,time,24,0.029298537327733423,0.04731491136600588,0.0012207723886555593,0.027205985965110025,13,0.23003723482603905,False
binary,M5,impurity,r0f3,chroma,24,0.058019691818039995,0.058019691818039995,0.002417487159085,0.015500209840745969,0,0.05801969181803998,False
binary,M5,impurity,r0f3,dwt,24,0.27338801488308995,0.2733880148830899,0.011391167286795414,0.10471592045153862,0,0.27338801488308984,False
binary,M5,impurity,r0f3,envelope,5,0.006194355123077786,0.006194355123077786,0.0012388710246155573,0.0029870948720512828,0,0.006194355123077784,False
binary,M5,impurity,r0f3,frequency,22,0.07593310423724521,0.07593310423724521,0.0034515047380566004,0.026631069471729264,0,0.0759331042372452,False
binary,M5,impurity,r0f3,mfcc,39,0.3968748313423774,0.3968748313423774,0.010176277726727625,0.3054854068444318,0,0.3968748313423773,False
binary,M5,impurity,r0f3,time,24,0.1895900025961698,0.1895900025961698,0.007899583441507074,0.11256742441296112,0,0.18959000259616973,False
binary,M5,permutation,r0f3,chroma,24,-0.0005551954457053681,0.016767184285433164,-2.3133143571057004e-05,0.008306794803145246,8,0.06637289081020954,True
binary,M5,permutation,r0f3,dwt,24,0.060617760617762015,0.08362525716540396,0.002525740025740084,0.034478482653665224,10,0.33103053967368373,False
binary,M5,permutation,r0f3,envelope,5,-0.008511822562917238,0.00019305019305020376,-0.0017023645125834475,0.00019305019305020376,4,0.0007641890949658651,True
binary,M5,permutation,r0f3,frequency,22,0.010800242369586783,0.031489022912381384,0.0004909201077084902,0.016209170588732724,11,0.12464928182959267,False
binary,M5,permutation,r0f3,mfcc,39,0.015237578558748511,0.07185271820308396,0.0003907071425320131,0.02851224530056653,23,0.284428949937246,False
binary,M5,permutation,r0f3,time,24,0.02020826874841624,0.0486937406645444,0.0008420111978506766,0.015192486542851592,13,0.19275414865430227,False
binary,M8,impurity,r0f3,chroma,24,0.11175547796301544,0.11175547796301544,0.004656478248458977,0.009180101566016674,0,0.11175547506177438,False
binary,M8,impurity,r0f3,dwt,24,0.3176070877816528,0.3176070877816528,0.013233628657568866,0.06211842969059944,0,0.3176070795363771,False
binary,M8,impurity,r0f3,envelope,5,0.019914450589567423,0.019914450589567423,0.003982890117913485,0.005651622544974089,0,0.019914450072576015,False
binary,M8,impurity,r0f3,frequency,22,0.1261697564041242,0.1261697564041242,0.005734988927460191,0.019429517909884453,0,0.1261697531286796,False
binary,M8,impurity,r0f3,mfcc,39,0.24942781869322062,0.24942781869322062,0.006395585094697964,0.09299707412719727,0,0.24942781221792076,False
binary,M8,impurity,r0f3,time,24,0.17512543452903628,0.17512543452903628,0.007296893105376512,0.050587259232997894,0,0.1751254299826721,False
binary,M8,permutation,r0f3,chroma,24,-0.019936307527548304,0.010436687991432592,-0.0008306794803145126,0.0024251049798494793,14,0.0319102643642507,True
binary,M8,permutation,r0f3,dwt,24,0.11538201392215995,0.12872220499957734,0.004807583913423332,0.06379604317560524,8,0.3935692620549407,False
binary,M8,permutation,r0f3,envelope,5,7.256996308093767e-05,0.011335005495589447,1.4513992616187535e-05,0.011141955302539242,3,0.03465687795126322,False
binary,M8,permutation,r0f3,frequency,22,0.013483217315334129,0.024700560831947795,0.0006128735143333695,0.008427275033114435,8,0.07552217971254288,False
binary,M8,permutation,r0f3,mfcc,39,0.07175196573006815,0.0999077022799652,0.0018397939930786705,0.03997407209086044,18,0.3054686692172475,False
binary,M8,permutation,r0f3,time,24,0.03955274356734209,0.05196150269142971,0.0016480309819725872,0.013063297917312556,8,0.15887274669975512,False
