task,model_id,kind,fold_label,family,n_features,total_importance,positive_importance,mean_importance,max_importance,n_negative,share_of_positive,net_is_negative
binary,M4,impurity,r0f2,dwt,24,0.2973375903067198,0.2973375903067198,0.012389066262779991,0.05877646871436308,0,0.29733759030671986,False
binary,M4,impurity,r0f2,envelope,5,0.02558069513301429,0.02558069513301429,0.005116139026602858,0.008373037084990834,0,0.025580695133014295,False
binary,M4,impurity,r0f2,frequency,22,0.11589290705773539,0.11589290705773539,0.005267859411715245,0.011627122714679165,0,0.1158929070577354,False
binary,M4,impurity,r0f2,mfcc,39,0.2683689749538671,0.2683689749538671,0.006881255768047874,0.061009155712278614,0,0.26836897495386713,False
binary,M4,impurity,r0f2,time,24,0.20534069262004545,0.20534069262004545,0.008555862192501894,0.059572284688417694,0,0.20534069262004548,False
binary,M4,permutation,r0f2,chroma,24,0.02927547877326859,0.03967828817165849,0.001219811615552858,0.00687022900763351,6,0.12796947737198158,False
binary,M4,permutation,r0f2,dwt,24,0.03361977887891886,0.06883174858265234,0.0014008241199549524,0.029843905778015867,7,0.221994528962903,False
binary,M4,permutation,r0f2,envelope,5,-0.006293617844441447,0.0030534351145037773,-0.0012587235688882893,0.0030534351145037773,4,0.009847866775447446,True
binary,M4,permutation,r0f2,frequency,22,0.05297977768849571,0.05717825097093842,0.0024081717131134413,0.010012945850631626,4,0.18440994384988219,False
binary,M4,permutation,r0f2,mfcc,39,0.06274199068493946,0.09123774236269168,0.0016087689919215247,0.028715235926967553,15,0.29425781062533,False
binary,M4,permutation,r0f2,time,24,0.022129964436111538,0.050081097570048826,0.0009220818515046474,0.03327902028183265,12,0.1615203724144555,False
binary,M5,impurity,r0f2,chroma,24,0.04665653025928521,0.04665653025928522,0.001944022094136884,0.01654262241522168,0,0.04665653025928521,False
binary,M5,impurity,r0f2,dwt,24,0.35853166387670043,0.35853166387670043,0.014938819328195851,0.1812484354768022,0,0.3585316638767004,False
binary,M5,impurity,r0f2,envelope,5,0.011605220947190246,0.011605220947190246,0.002321044189438049,0.0037288271270519415,0,0.011605220947190244,False
binary,M5,impurity,r0f2,frequency,22,0.05472080065273142,0.05472080065273142,0.0024873091205787007,0.02058298507710808,0,0.054720800652731404,False
binary,M5,impurity,r0f2,mfcc,39,0.3697085444740321,0.3697085444740321,0.009479706268564926,0.2590753305330365,0,0.36970854447403206,False
binary,M5,impurity,r0f2,time,24,0.15877723979006064,0.15877723979006064,0.00661571832458586,0.05747220002309508,0,0.15877723979006061,False
binary,M5,permutation,r0f2,chroma,24,-0.006911893814263903,0.007828519560138868,-0.0002879955755943293,0.0017052810142404785,10,0.025750463762867076,True
binary,M5,permutation,r0f2,dwt,24,0.057682692736932065,0.07773908902876396,0.0024034455307055027,0.0422354656786156,8,0.2557083213007868,False
binary,M5,permutation,r0f2,envelope,5,-0.00063315625790501,0.002428463015044069,-0.000126631251581002,0.00203859946728574,2,0.007987978874928678,True
binary,M5,permutation,r0f2,frequency,22,0.03983081112450393,0.042056158207223436,0.0018104914147501787,0.011198160796393098,3,0.13833593562628863,False
binary,M5,permutation,r0f2,mfcc,39,0.07313512789607748,0.11692335163608833,0.0018752596896430124,0.06841807657396252,20,0.384597688772288,False
binary,M5,permutation,r0f2,time,24,0.036827968989480486,0.05703912027736893,0.0015344987078950202,0.0331644420635984,12,0.1876196116628405,False
binary,M8,impurity,r0f2,chroma,24,0.11632032133638859,0.11632032133638859,0.0048466800556828575,0.012790476903319359,0,0.1163203273420298,False
binary,M8,impurity,r0f2,dwt,24,0.33682521572336555,0.33682521572336555,0.014034383988473564,0.08382916450500488,0,0.3368252331137181,False
binary,M8,impurity,r0f2,envelope,5,0.026828564703464508,0.026828564703464508,0.005365712940692902,0.008896558545529842,0,0.026828566088628613,False
binary,M8,impurity,r0f2,frequency,22,0.12675594387110323,0.12675594387110323,0.005761633812322874,0.011513099074363708,0,0.1267559504155377,False
binary,M8,impurity,r0f2,mfcc,39,0.24945530691184103,0.24945530691184103,0.0063962899208164364,0.08411601185798645,0,0.2494553197912679,False
binary,M8,impurity,r0f2,time,24,0.14381459582364187,0.14381459582364187,0.005992274825985078,0.015720747411251068,0,0.1438146032488179,False
binary,M8,permutation,r0f2,chroma,24,0.023209529336486838,0.04349582607919223,0.0009670637223536182,0.005725190839694605,9,0.10346878202371251,False
binary,M8,permutation,r0f2,dwt,24,0.08401187446988859,0.10085338452152352,0.003500494769578691,0.05506748210645355,9,0.23991214330340574,False
binary,M8,permutation,r0f2,envelope,5,0.017687454429117466,0.019685133104176678,0.003537490885823493,0.007178994985342868,1,0.04682740690004271,False
binary,M8,permutation,r0f2,frequency,22,0.05204678362573,0.05576611163192027,0.0023657628920786366,0.009355237117390535,2,0.13265759427692503,False
binary,M8,permutation,r0f2,mfcc,39,0.14895168370459436,0.15673184232846565,0.003819273941143445,0.04534618990223645,7,0.3728369890143734,False
binary,M8,permutation,r0f2,time,24,0.037900093745813934,0.04384402482031976,0.0015791705727422473,0.01188042200496997,5,0.10429708448154054,False
binary,M1,permutation,r0f3,chroma,24,0.00665107234450292,0.055754868528591135,0.00027712801435428834,0.037017726798748686,12,0.06010066143081407,False
binary,M1,permutation,r0f3,dwt,24,0.26149635036496327,0.29340388354986885,0.010895681265206804,0.1351337260096384,8,0.316273142293826,False
binary,M1,permutation,r0f3,envelope,5,0.007315475016204888,0.024363075275483936,0.0014630950032409776,0.017621114336442777,2,0.026262046296359493,False
binary,M1,permutation,r0f3,frequency,22,0.14437899839359677,0.15777555449088282,0.00656268174516349,0.037008567483020026,5,0.17007331256916006,False
binary,M1,permutation,r0f3,mfcc,39,0.03895316066848885,0.09081813826339359,0.000998798991499714,0.04388862272073948,19,0.09789692494290601,False
