task,model_id,kind,feature,importance_mean,importance_sd,importance_min,importance_max,rank_mean,rank_sd,rank_best,rank_worst,n_folds,n_folds_positive,rank
binary,M3,permutation,mfcc_06_mean,0.0050545027819641365,0.0010346857407526314,0.003553109939971255,0.00621914604925089,21.0,10.41633332799983,14,39,5,5,9
binary,M3,permutation,dwt_cD3_std,0.005020018731443103,0.0038708217240696016,0.0006299200858778775,0.010420335460030673,27.0,22.282279955157193,6,65,5,5,10
binary,M3,permutation,chroma_01_mean,0.004871166784887962,0.0035364056381470693,-0.0002194842492149962,0.008731244483671663,33.6,38.14839446162839,11,101,5,4,11
binary,M3,permutation,chroma_02_mean,0.004568988835883407,0.0035759209322667783,-0.0004955135931431154,0.008430420711974095,37.4,40.21566858825052,8,107,5,4,12
binary,M3,permutation,dwt_cD5_mean_abs,0.004247456184164084,0.004528850273294074,-0.00030058181926395644,0.009687779670313867,57.0,47.22287581247038,4,102,5,4,13
binary,M3,permutation,mfcc_12_std,0.00420017683732193,0.00453242721049097,-0.0038086097346843872,0.007254339511621089,36.8,50.296123111031136,5,126,5,4,14
binary,M3,permutation,time_iqr,0.004092604693759987,0.00382210525258445,0.0005391321920379278,0.009480110925572516,46.0,35.36240942017385,3,98,5,5,15
binary,M3,permutation,dwt_cD1_std,0.0040552646251737785,0.003999011982166821,-0.0001602755248091281,0.010411885848779057,40.2,31.515075757484702,10,86,5,4,16
binary,M3,permutation,dwt_cD5_std,0.004001171888339852,0.004489658811196185,-0.0012425040548784683,0.009715205404313098,50.0,46.027165891460236,8,112,5,4,17
binary,M3,permutation,mfcc_05_mean,0.003961751402626201,0.005298163231414395,-0.004678296649099545,0.009010797078437638,43.0,52.196743193421554,7,134,5,4,18
binary,M3,permutation,mfcc_02_mean,0.003873314932273682,0.00487185069057101,-0.00023456219867772353,0.012218299499852902,47.8,38.771123274932336,8,109,5,4,19
binary,M3,permutation,time_hjorth_mobility,0.003687407212487737,0.002989580177780915,-0.0010921099713740445,0.006439393939393934,42.0,40.82278775390039,13,114,5,4,20
binary,M3,permutation,freq_centroid_mean,0.003669516801286077,0.00306691205107212,0.0003458969465648831,0.007338549034325537,43.8,23.763417262675,17,74,5,5,21
binary,M3,permutation,freq_centroid_std,0.003619874614656806,0.0025727601547142973,0.0007454675572519332,0.007519753582429433,44.0,38.96793553679743,6,97,5,5,22
binary,M3,permutation,freq_band_power_100_150,0.0035751469899709524,0.0039638011818241906,-0.0007179494405771703,0.009701492537313472,51.6,39.2530253611107,9,116,5,4,23
binary,M3,permutation,time_zcr_std,0.0035372133384042256,0.004649658557906351,-0.0033149677310261192,0.0074293909973522036,50.0,51.50242712727236,13,132,5,4,24
binary,M3,permutation,freq_rolloff95_mean,0.0035277451403079294,0.002282767998427598,0.0020418356393129833,0.007488231832892001,35.8,16.946976131451887,18,58,5,5,25
binary,M3,permutation,dwt_cD2_std,0.003343099981874584,0.0034160200151082346,-0.0021573831106870165,0.006818181818181812,45.0,46.834816109385976,10,125,5,4,26
binary,M3,permutation,mfcc_03_mean,0.0033290676061091262,0.007003848628496841,-0.0028203646816785223,0.013362753751103273,73.4,57.886095048811164,7,129,5,2,27
binary,M3,permutation,mfcc_05_std,0.0033288929826556313,0.003850299158794066,-0.002565153864503833,0.006442521770988974,56.0,60.037488288568504,3,126,5,4,28
binary,M3,permutation,time_autocorr_peak_value,0.0032338951975321704,0.002458034412370133,0.0004424203931984616,0.006924830832597817,44.6,32.05152102475014,18,99,5,5,29
binary,M3,permutation,chroma_07_std,0.003165518121033919,0.002101197868456689,0.0008520694179389388,0.006439393939393934,41.8,22.219360926903367,22,71,5,5,30
