task,model_id,kind,feature,importance_mean,importance_sd,importance_min,importance_max,rank_mean,rank_sd,rank_best,rank_worst,n_folds,n_folds_positive,rank
binary,M1,permutation,freq_dominant,-0.001351985758473779,0.008721400209587327,-0.015811657380409426,0.0068851132686084445,73.8,35.84271195096711,34,131,5,3,101
binary,M1,permutation,dwt_cA5_mean_abs,-0.0014260031283109486,0.006925554527054867,-0.01066933225555019,0.008700504441765955,91.4,30.875556675143528,43,123,5,1,102
binary,M1,permutation,dwt_cD4_mean_abs,-0.0014537178104616012,0.002261106796498528,-0.004215945866431314,0.0014095383815929674,94.6,34.37004509743914,41,131,5,1,103
binary,M1,permutation,chroma_08_mean,-0.0014792999700255648,0.005314168683241376,-0.009418237118320693,0.003938068241001136,90.0,31.40859754907882,64,133,5,2,104
binary,M1,permutation,dwt_cD3_entropy,-0.001519104537756606,0.004624489432932537,-0.008624671612921898,0.004060830617680744,91.2,18.212632978237934,70,115,5,2,105
binary,M1,permutation,mfcc_01_mean,-0.0015355180386498702,0.010446112472565267,-0.014372528075290936,0.012500186003601022,88.8,54.16825638692831,25,137,5,2,106
binary,M1,permutation,chroma_09_std,-0.00154350610962384,0.008419885430201298,-0.014179826207454083,0.0076745085784860724,80.6,33.901327407639954,47,127,5,3,107
binary,M1,permutation,mfcc_09_std,-0.0016854306909187208,0.0045939325285914885,-0.006825500954198527,0.004972050603118583,91.8,28.46401236649535,44,118,5,2,108
binary,M1,permutation,dwt_cD3_mean_abs,-0.0017521191935502365,0.008918922763277593,-0.017509887698836612,0.004171636450381622,74.4,44.56792568652932,26,135,5,4,109
binary,M1,permutation,mfcc_13_std,-0.0017829232674109053,0.004359342085430237,-0.008326127146946638,0.002459655301827368,91.2,46.02933847015401,36,128,5,2,110
binary,M1,permutation,mfcc_02_delta_mean,-0.0018507714778015806,0.002245998709633007,-0.004450186206299356,0.0004873294346978696,91.8,29.063723092542702,45,117,5,2,111
binary,M1,permutation,mfcc_11_delta_mean,-0.0019026992590723602,0.004107579723937359,-0.007811009064885588,0.001612238893792295,91.4,30.64800156617067,47,127,5,2,112
binary,M1,permutation,chroma_06_std,-0.0019248910315379365,0.005785869624087116,-0.009559875954198572,0.003037066797613186,91.2,39.65728180296779,39,134,5,3,113
binary,M1,permutation,time_autocorr_peak_value,-0.001929603079040423,0.008026233998270446,-0.014773809867490429,0.004149368331770875,82.6,41.48855263804704,29,129,5,3,114
binary,M1,permutation,mfcc_06_std,-0.002016695359540268,0.005873690150612499,-0.011180316983746696,0.004515423418597386,92.8,22.083930809527544,65,124,5,2,115
binary,M1,permutation,time_energy,-0.002130269256937032,0.002627446325669215,-0.005438364224771996,0.0011728109933889063,96.0,39.03203812254748,43,135,5,1,116
binary,M1,permutation,time_duration,-0.002130269256937032,0.002627446325669215,-0.005438364224771996,0.0011728109933889063,96.0,39.03203812254748,43,135,5,1,116
binary,M1,permutation,mfcc_07_std,-0.002260032436106527,0.002584377280841541,-0.005859724587892345,0.0,98.8,15.943650773897426,75,117,5,0,118
binary,M1,permutation,mfcc_09_mean,-0.0022923446405436975,0.005171743466852206,-0.01030991079419159,0.003183637635224601,91.8,25.400787389370432,59,121,5,2,119
binary,M1,permutation,mfcc_05_mean,-0.0023224229018168523,0.005392666481965269,-0.006811008088380388,0.006150581714252678,104.2,40.7332787779231,32,130,5,1,120
binary,M1,permutation,chroma_11_std,-0.0024132441234151944,0.009859802107546287,-0.018491440284072923,0.007268276713837185,82.2,43.70011441632619,31,136,5,2,121
binary,M1,permutation,freq_rolloff85_std,-0.0024816791363592963,0.0032002495744151488,-0.005205868785619705,0.0017163148550009776,89.4,44.947747440778386,41,137,5,2,122
