task,fold_label,model_id,kind,feature,importance,importance_std,scoring,n_repeats,n_scored_rows,computed_on,rank
binary,r0f0,M1,permutation,time_max,0.0014577817005001826,0.003927574534145532,balanced_accuracy,10,647,held-out fold,86
binary,r0f0,M1,permutation,time_min,0.0014085025007355423,0.0058715750854335304,balanced_accuracy,10,647,held-out fold,87
binary,r0f0,M1,permutation,mfcc_08_delta_mean,0.0013401000294204434,0.0016588681101467702,balanced_accuracy,10,647,held-out fold,88
binary,r0f0,M1,permutation,chroma_02_std,0.0013305383936452087,0.005619956757096974,balanced_accuracy,10,647,held-out fold,89
binary,r0f0,M1,permutation,mfcc_05_delta_mean,0.0013209767578699738,0.0019067665324411043,balanced_accuracy,10,647,held-out fold,90
binary,r0f0,M1,permutation,mfcc_06_std,0.0011459252721388812,0.002353426090456237,balanced_accuracy,10,647,held-out fold,91
binary,r0f0,M1,permutation,freq_band_power_350_400,0.001058399529273346,0.0013076393188651803,balanced_accuracy,10,647,held-out fold,92
binary,r0f0,M1,permutation,env_peak_rate,0.0010488378934981,0.0034831249336951644,balanced_accuracy,10,647,held-out fold,93
binary,r0f0,M1,permutation,freq_flatness_mean,0.0008546631362165491,0.005331056416508733,balanced_accuracy,10,647,held-out fold,94
binary,r0f0,M1,permutation,dwt_cA5_entropy,0.0007575757575757792,0.00435716536161959,balanced_accuracy,10,647,held-out fold,95
binary,r0f0,M1,permutation,mfcc_06_delta_mean,0.0007480141218005554,0.002579073534340463,balanced_accuracy,10,647,held-out fold,96
binary,r0f0,M1,permutation,env_std,0.0005935569285083986,0.004092513952945547,balanced_accuracy,10,647,held-out fold,97
binary,r0f0,M1,permutation,dwt_cD3_entropy,0.00011621065019126186,0.003654225519254835,balanced_accuracy,10,647,held-out fold,98
binary,r0f0,M1,permutation,time_median,9.70873786407811e-05,0.0002912621359223433,balanced_accuracy,10,647,held-out fold,99
binary,r0f0,M1,permutation,chroma_12_std,6.840247131508769e-05,0.004613433255121316,balanced_accuracy,10,647,held-out fold,100
binary,r0f0,M1,permutation,mfcc_09_delta_mean,0.0,0.0,balanced_accuracy,10,647,held-out fold,101
binary,r0f0,M1,permutation,freq_bandwidth_std,-9.708737864077e-05,0.003290553715851393,balanced_accuracy,10,647,held-out fold,102
binary,r0f0,M1,permutation,time_zcr_std,-0.00028170050014709737,0.0025771934371598324,balanced_accuracy,10,647,held-out fold,103
binary,r0f0,M1,permutation,mfcc_12_std,-0.0002912621359223433,0.0017514423436843464,balanced_accuracy,10,647,held-out fold,104
