task,model_id,kind,fold_label,feature,mean_abs_shap,mean_signed_shap,n_rows,rank
binary,M4,shap,r0f0,dwt_cD1_mean_abs,0.001728707562464878,-0.0016320116439537396,400,65
binary,M4,shap,r0f0,env_mean,0.004989380377361132,-0.001061085430392899,400,28
binary,M4,shap,r0f0,env_std,0.0028476929342549774,-0.0010150479501276444,400,44
binary,M4,shap,r0f0,env_skew,0.0011831666558751281,-0.000555206694820684,400,90
binary,M4,shap,r0f0,env_kurtosis,0.0013618237625237504,-0.0005228929339940544,400,75
binary,M4,shap,r0f0,env_peak_rate,0.0012851460214912862,-0.0007711397310535858,400,83
binary,M5,shap,r0f0,time_mean,0.00923096139585551,-0.0022836504690248983,400,97
binary,M5,shap,r0f0,time_std,0.005261981473537582,-0.0030151707178955956,400,110
binary,M5,shap,r0f0,time_var,0.005176051931100373,-0.0026537189798291946,400,111
binary,M5,shap,r0f0,time_min,0.000515173891549349,-3.223168692075061e-06,400,131
binary,M5,shap,r0f0,time_max,0.0031701966788019987,0.0008537827076953351,400,118
binary,M5,shap,r0f0,time_range,0.03919990760821748,-0.004657483684906041,400,39
binary,M5,shap,r0f0,time_median,0.010290013843240953,-0.004405640059379969,400,95
binary,M5,shap,r0f0,time_iqr,0.38437986988400796,0.04220357439168277,400,4
binary,M5,shap,r0f0,time_skewness,0.05054751553394778,0.0009413335818857643,400,30
binary,M5,shap,r0f0,time_kurtosis,0.0018583475117369033,-0.00041221452925747936,400,125
binary,M5,shap,r0f0,time_energy,0.1677208503127181,-0.0065644088737397644,400,7
binary,M5,shap,r0f0,time_rms,0.002797461205214122,-0.0013948656091026896,400,120
binary,M5,shap,r0f0,time_peak_to_peak,0.000632287641777285,-0.0005146776745564843,400,129
binary,M5,shap,r0f0,time_crest_factor,0.013036672131067573,0.000682503216207187,400,85
binary,M5,shap,r0f0,time_zcr_mean,0.7800736887821474,0.0008322783355879956,400,2
binary,M5,shap,r0f0,time_zcr_std,0.056227769299142805,0.018323153619258695,400,22
binary,M5,shap,r0f0,time_shannon_entropy,0.000976843229495282,-0.0006654960752761875,400,128
binary,M5,shap,r0f0,time_sample_entropy,0.034575957222742044,0.0031102047940860813,400,46
binary,M5,shap,r0f0,time_hjorth_activity,4.763187045876035e-05,9.8122952786805e-06,400,135
binary,M5,shap,r0f0,time_hjorth_mobility,0.003954257606123742,-0.0007672202420739437,400,115
binary,M5,shap,r0f0,time_hjorth_complexity,0.06777966070618556,-0.014613856686832072,400,19
binary,M5,shap,r0f0,time_autocorr_peak_value,0.02845870193887541,-0.02061166004720399,400,57
binary,M5,shap,r0f0,time_autocorr_peak_lag,0.0005312556755234035,-0.0005312556755234035,400,130
binary,M5,shap,r0f0,time_duration,0.10648091366828717,-0.0030964084939208735,400,14
binary,M5,shap,r0f0,freq_centroid_mean,0.08371529084556069,0.052408930751028385,400,15
binary,M5,shap,r0f0,freq_centroid_std,0.016817220472969935,-0.010694108260465773,400,80
binary,M5,shap,r0f0,freq_bandwidth_mean,0.0055929354015329,-0.003476887140327529,400,108
binary,M5,shap,r0f0,freq_bandwidth_std,0.02566119749678676,-0.004287570386375733,400,63
binary,M5,shap,r0f0,freq_rolloff85_mean,0.01298805029643163,-0.007919274712058355,400,86
binary,M5,shap,r0f0,freq_rolloff85_std,0.036607429108143144,-0.009572609511857968,400,41
binary,M5,shap,r0f0,freq_rolloff95_mean,0.03425252503840934,-0.02877298644810716,400,47
binary,M5,shap,r0f0,freq_rolloff95_std,0.001954671747572968,0.0011540354731934648,400,124
binary,M5,shap,r0f0,freq_flatness_mean,0.03220042112275551,0.00380384047014224,400,52
binary,M5,shap,r0f0,freq_flatness_std,0.0,0.0,400,137
