exp_id,model_id,repeat,fold,fold_label,n_train,n_test,sensitivity,specificity,balanced_accuracy,f1,precision,roc_auc,pr_auc,accuracy,mcc,brier,ece
EXP-A1,M3,3,2,r3f2,2585,655,0.7426470588235294,0.9460500963391136,0.8443485775813215,0.7622641509433963,0.7829457364341085,0.9474243454607276,0.8080829039364332,0.9038167938931296,0.7024148667253393,0.1661525609972471,0.096155580110642
EXP-A1,M3,3,3,r3f3,2589,651,0.6962962962962963,0.9534883720930232,0.8248923341946598,0.7430830039525692,0.7966101694915254,0.9376399655469424,0.7726715155277586,0.9001536098310292,0.6838432852552278,0.1678908943157665,0.0753312700461801
EXP-A1,M3,3,4,r3f4,2597,643,0.648854961832061,0.9453125,0.7970837309160306,0.6967213114754098,0.7522123893805309,0.9216662690839694,0.7406885738731412,0.8849144634525661,0.6287852373844093,0.1791008089732672,0.0554885473092009
EXP-A1,M3,4,0,r4f0,2585,655,0.6617647058823529,0.882466281310212,0.7721154935962824,0.627177700348432,0.5960264900662252,0.8984330726510257,0.6342261771525752,0.8366412213740458,0.524122322808776,0.2184388387062799,0.0409390969922584
EXP-A1,M3,4,1,r4f1,2596,644,0.6030534351145038,0.9610136452241717,0.7820335401693377,0.6869565217391305,0.797979797979798,0.9410591789057036,0.7886005434844592,0.8881987577639752,0.6295195711438378,0.164014065947515,0.0603267434070347
EXP-A1,M3,4,2,r4f2,2593,647,0.6287878787878788,0.9475728155339804,0.7881803471609297,0.6859504132231405,0.7545454545454545,0.9268461312150632,0.743264157057347,0.8825347758887172,0.6183031379057359,0.1745056466694569,0.040936170905446
EXP-A1,M3,4,3,r4f3,2589,651,0.7333333333333333,0.9282945736434108,0.8308139534883721,0.7306273062730627,0.7279411764705882,0.9439850703416596,0.7498035646404932,0.8878648233486943,0.659830644348363,0.1676152245482767,0.0840448741208341
EXP-A1,M3,4,4,r4f4,2597,643,0.6335877862595419,0.93359375,0.7835907681297709,0.6693548387096774,0.7094017094017094,0.909783516221374,0.6616687172710636,0.8724727838258165,0.5921161545256035,0.1924109860441138,0.0596652414792104
EXP-A1,M4,0,0,r0f0,2593,647,0.7424242424242424,0.8757281553398059,0.8090761988820241,0.6666666666666666,0.6049382716049383,0.9159385113268608,0.7001981401539955,0.848531684698609,0.5749866504511496,0.2160337805255023,0.0267573415765069
EXP-A1,M4,0,1,r0f1,2589,651,0.7388059701492538,0.9709864603481624,0.8548962152487081,0.7983870967741935,0.868421052631579,0.9518028811455296,0.8627977898658129,0.9231950844854072,0.7550739123866418,0.146465757296467,0.0882242703533026
EXP-A1,M4,0,2,r0f2,2596,644,0.5801526717557252,0.9805068226120858,0.7803297471839055,0.7004608294930875,0.8837209302325582,0.9526732437539992,0.8483248963937596,0.8990683229813664,0.6634790074786145,0.1483154285714286,0.0526832298136646
EXP-A1,M4,0,3,r0f3,2585,655,0.7299270072992701,0.9343629343629344,0.8321449708311022,0.7380073800738007,0.746268656716418,0.935856607389454,0.8325021653716242,0.8916030534351145,0.6697482372640895,0.1762436396946564,0.0877435114503816
EXP-A1,M4,0,4,r0f4,2597,643,0.8778625954198473,0.908203125,0.8930328602099237,0.7849829351535836,0.7098765432098766,0.951976979961832,0.8003211707534498,0.9020217729393468,0.7292886260429821,0.1687198631415241,0.0596671850699844
EXP-A1,M4,1,0,r1f0,2593,647,0.7196969696969697,0.887378640776699,0.8035378052368344,0.6666666666666666,0.6209150326797386,0.9006325389820535,0.6754715791768015,0.8531684698608965,0.5757370464288804,0.230104828438949,0.0648840803709427
EXP-A1,M4,1,1,r1f1,2585,655,0.7426470588235294,0.9499036608863198,0.8462753598549246,0.7680608365019012,0.7952755905511811,0.9514762552419812,0.8302984061725931,0.9068702290076336,0.7105356883656944,0.1575408610687023,0.0765312977099236
EXP-A1,M4,1,2,r1f2,2596,644,0.7175572519083969,0.9707602339181286,0.8441587429132628,0.7833333333333333,0.8623853211009175,0.9698004553368152,0.9056820962383018,0.9192546583850932,0.7389124648149913,0.1247979130434782,0.0737701863354038
EXP-A1,M4,1,3,r1f3,2589,651,0.7111111111111111,0.9437984496124032,0.8274547803617571,0.7384615384615385,0.768,0.9280074648291704,0.7512763454133727,0.8955453149001537,0.6741013346865,0.1766493149001536,0.0450568356374807
EXP-A1,M4,1,4,r1f4,2597,643,0.8702290076335878,0.927734375,0.8989816913167938,0.8085106382978723,0.7549668874172185,0.9649481154580152,0.8651904537460517,0.91601866251944,0.7581978803467421,0.1456677200622084,0.0804945567651632
