exp_id,model_id,repeat,fold,fold_label,n_train,n_test,sensitivity,specificity,balanced_accuracy,f1,precision,roc_auc,pr_auc,accuracy,mcc,brier,ece
EXP-A1,M4,2,0,r2f0,2596,644,0.6946564885496184,0.8927875243664717,0.793722006458045,0.6570397111913358,0.6232876712328768,0.9038510185557194,0.6710491260098858,0.8524844720496895,0.5647675209540792,0.2177054285714285,0.0353385093167701
EXP-A1,M4,2,1,r2f1,2589,651,0.7388059701492538,0.9400386847195358,0.8394223274343948,0.75,0.7615384615384615,0.9491757845203384,0.8226470811624903,0.8986175115207373,0.6865584800225221,0.1612858371735791,0.0648141321044547
EXP-A1,M4,2,2,r2f2,2585,655,0.8029197080291971,0.9633204633204632,0.8831200856748302,0.8270676691729323,0.8527131782945736,0.96219316292309,0.886481526193578,0.9297709923664124,0.7836143005499688,0.1472286900763358,0.1047114503816793
EXP-A1,M4,2,3,r2f3,2597,643,0.816793893129771,0.943359375,0.8800766340648856,0.8014981273408239,0.7867647058823529,0.9561888716603052,0.8202994538787255,0.917573872472784,0.749718731104271,0.1533963172628304,0.0804696734059097
EXP-A1,M4,2,4,r2f4,2593,647,0.7196969696969697,0.9495145631067962,0.8346057664018829,0.7509881422924901,0.7851239669421488,0.944321859370403,0.813854322981121,0.9026275115919628,0.6916214270200112,0.1582460092735703,0.0471344667697062
EXP-A1,M4,3,0,r3f0,2596,644,0.6717557251908397,0.9044834307992202,0.78811957799503,0.6567164179104478,0.6423357664233577,0.90754877014419,0.6972233947836141,0.8571428571428571,0.5668039038796558,0.2141556273291925,0.0297453416149068
EXP-A1,M4,3,1,r3f1,2593,647,0.8106060606060606,0.9223300970873788,0.8664680788467196,0.7670250896057348,0.7278911564625851,0.949418946749044,0.8166436603169158,0.8995363214837713,0.7048765420639624,0.1579866831530139,0.048646058732612
EXP-A1,M4,3,2,r3f2,2585,655,0.7941176470588235,0.9383429672447012,0.8662303071517624,0.782608695652174,0.7714285714285715,0.9560948656919416,0.8546145127713657,0.9083969465648856,0.7247192173246618,0.1586528366412213,0.0913312977099236
EXP-A1,M4,3,3,r3f3,2589,651,0.7555555555555555,0.9651162790697676,0.8603359173126615,0.8,0.85,0.9498851564743038,0.8430975333387766,0.9216589861751152,0.7535141301165613,0.1535559078341014,0.0831397849462365
EXP-A1,M4,3,4,r3f4,2597,643,0.7251908396946565,0.955078125,0.8401344823473282,0.7630522088353414,0.8050847457627118,0.9439781130725192,0.8248715021357194,0.9082426127527216,0.7078327145375108,0.1570400248833592,0.0724603421461897
