model_id,method,fold_label,repeat,fold,n_train,n_test,fit_seconds,isotonic_below_min_samples,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece
M3,isotonic,r0f0,0,0,2593,647,3.202423799993994,False,0.8408037094281299,0.7535157399235068,0.6060606060606061,0.9009708737864077,0.6106870229007634,0.6083650190114068,0.5084696149242782,0.8877169755810533,0.5754636935190378,80.0,51.0,464.0,52.0,647.0,132.0,515.0,0.2267815003751939,0.04700119632296037
M3,isotonic,r0f1,0,1,2589,651,2.773138200005633,False,0.8970814132104454,0.8163414070845001,0.6791044776119403,0.9535783365570599,0.7913043478260869,0.7309236947791165,0.6707371997340664,0.935845434337019,0.8049978386595457,91.0,24.0,493.0,43.0,651.0,134.0,517.0,0.1664987817490204,0.058792292591644674
M3,isotonic,r0f2,0,2,2596,644,1.7317350999946939,False,0.8819875776397516,0.7497135544544142,0.5267175572519084,0.9727095516569201,0.8313253012048193,0.6448598130841121,0.599992699028288,0.925814323765308,0.7617114909592481,69.0,14.0,499.0,62.0,644.0,131.0,513.0,0.171680421396286,0.030007188158394718
M3,isotonic,r0f3,0,3,2585,655,1.993532000000414,False,0.8916030534351145,0.789194825691176,0.6131386861313869,0.9652509652509652,0.8235294117647058,0.702928870292887,0.6487584474572823,0.922927880957078,0.7892966035120429,84.0,18.0,500.0,53.0,655.0,137.0,518.0,0.19536544301590808,0.101205766735736
M3,isotonic,r0f4,0,4,2597,643,2.793550000002142,False,0.8833592534992224,0.8585922590648856,0.816793893129771,0.900390625,0.6772151898734177,0.740484429065744,0.670968483950136,0.9326544608778626,0.6877598007034325,107.0,51.0,461.0,24.0,643.0,131.0,512.0,0.1895106215038029,0.060333625845086385
M3,isotonic,r1f0,1,0,2593,647,3.1586915999941994,False,0.8160741885625966,0.7407987643424536,0.6136363636363636,0.8679611650485437,0.5436241610738255,0.5765124555160143,0.4609640155861788,0.8694248308325978,0.5639261936336234,81.0,68.0,447.0,51.0,647.0,132.0,515.0,0.2473372912090858,0.030939470385865017
M3,isotonic,r1f1,1,1,2585,655,2.8080337999999756,False,0.8778625954198473,0.8144055309985265,0.7058823529411765,0.9229287090558767,0.7058823529411765,0.7058823529411765,0.6288110619970532,0.9302178964071177,0.7589205662685218,96.0,40.0,479.0,40.0,655.0,136.0,519.0,0.18420028569093236,0.06379838861280358
M3,isotonic,r1f2,1,2,2596,644,2.827855299998191,False,0.9037267080745341,0.8145172090531673,0.6641221374045801,0.9649122807017544,0.8285714285714286,0.7372881355932204,0.6854561970061394,0.9569141258574766,0.875353921065121,87.0,18.0,495.0,44.0,644.0,131.0,513.0,0.14229740700715782,0.05207995381085991
M3,isotonic,r1f3,1,3,2589,651,2.790695000003325,False,0.8709677419354839,0.7709302325581395,0.6,0.9418604651162791,0.7297297297297297,0.6585365853658537,0.5841452253069437,0.9218489807637095,0.674057890768405,81.0,30.0,486.0,54.0,651.0,135.0,516.0,0.1869716024099454,0.024495776720836377
M3,isotonic,r1f4,1,4,2597,643,2.8959201000034227,False,0.895800933125972,0.8550438334923665,0.7862595419847328,0.923828125,0.7253521126760564,0.7545787545787546,0.6894766501905573,0.9475787213740459,0.7463762932876107,103.0,39.0,473.0,28.0,643.0,131.0,512.0,0.16992450902887687,0.08112952295452978
M3,isotonic,r2f0,2,0,2596,644,2.6794441000020015,False,0.843167701863354,0.7310313527669896,0.5419847328244275,0.9200779727095516,0.6339285714285714,0.5843621399176955,0.4907162271812263,0.8765531300685983,0.5680154065648391,71.0,41.0,472.0,60.0,644.0,131.0,513.0,0.23320446994375346,0.05940808142312862
M3,isotonic,r2f1,2,1,2589,651,2.8859969999975874,False,0.8847926267281107,0.8196613643580934,0.7089552238805971,0.9303675048355899,0.7251908396946565,0.7169811320754716,0.6447338844979816,0.9346329282023154,0.7759780680171948,95.0,36.0,481.0,39.0,651.0,134.0,517.0,0.1729563664592703,0.05252522625855625
