run,task,model_id,fold_label,n_bins,n_records,brier,ece,mean_confidence,argmax_accuracy,confidence_gap
EXP-A1,binary,M1,r1f3,20,651,0.22476111843081797,0.0755007536233913,0.9111382344221624,0.8356374807987711,0.07550075362339126
EXP-A1,binary,M1,r1f4,5,643,0.20041465083046264,0.04252517528055067,0.8963354396662429,0.8538102643856921,0.042525175280550775
EXP-A1,binary,M1,r1f4,10,643,0.20041465083046264,0.04252517528055073,0.8963354396662429,0.8538102643856921,0.042525175280550775
EXP-A1,binary,M1,r1f4,15,643,0.20041465083046264,0.044542699129156836,0.8963354396662429,0.8538102643856921,0.042525175280550775
EXP-A1,binary,M1,r1f4,20,643,0.20041465083046264,0.04252517528055069,0.8963354396662429,0.8538102643856921,0.042525175280550775
EXP-A1,binary,M1,r2f0,5,644,0.27600929873038904,0.07966153922203334,0.8793509802158221,0.7996894409937888,0.07966153922203334
EXP-A1,binary,M1,r2f0,10,644,0.27600929873038904,0.07966153922203328,0.8793509802158221,0.7996894409937888,0.07966153922203334
EXP-A1,binary,M1,r2f0,15,644,0.27600929873038904,0.07966153922203321,0.8793509802158221,0.7996894409937888,0.07966153922203334
EXP-A1,binary,M1,r2f0,20,644,0.27600929873038904,0.07966153922203337,0.8793509802158221,0.7996894409937888,0.07966153922203334
EXP-A1,binary,M1,r2f1,5,651,0.22372015053581043,0.06043964034785311,0.899149317767208,0.8387096774193549,0.060439640347853096
EXP-A1,binary,M1,r2f1,10,651,0.22372015053581043,0.060439640347853096,0.899149317767208,0.8387096774193549,0.060439640347853096
EXP-A1,binary,M1,r2f1,15,651,0.22372015053581043,0.06043964034785304,0.899149317767208,0.8387096774193549,0.060439640347853096
EXP-A1,binary,M1,r2f1,20,651,0.22372015053581043,0.06122037198253788,0.899149317767208,0.8387096774193549,0.060439640347853096
EXP-A1,binary,M1,r2f2,5,655,0.19621828697089497,0.04385819751848776,0.8988200295795565,0.8549618320610687,0.04385819751848785
EXP-A1,binary,M1,r2f2,10,655,0.19621828697089497,0.0438581975184877,0.8988200295795565,0.8549618320610687,0.04385819751848785
EXP-A1,binary,M1,r2f2,15,655,0.19621828697089497,0.04385819751848765,0.8988200295795565,0.8549618320610687,0.04385819751848785
EXP-A1,binary,M1,r2f2,20,655,0.19621828697089497,0.04788599569937584,0.8988200295795565,0.8549618320610687,0.04385819751848785
EXP-A1,binary,M1,r2f3,5,643,0.2041049197718602,0.04645805094050674,0.9048015215519005,0.864696734059098,0.04010478749280255
EXP-A1,binary,M1,r2f3,10,643,0.2041049197718602,0.046458050940506784,0.9048015215519005,0.864696734059098,0.04010478749280255
EXP-A1,binary,M1,r2f3,15,643,0.2041049197718602,0.04668121982078592,0.9048015215519005,0.864696734059098,0.04010478749280255
EXP-A1,binary,M1,r2f3,20,643,0.2041049197718602,0.04801232165449832,0.9048015215519005,0.864696734059098,0.04010478749280255
EXP-A1,binary,M1,r2f4,5,647,0.214946417504337,0.0644960296998198,0.9238468797770996,0.8593508500772797,0.06449602969981982
EXP-A1,binary,M1,r2f4,10,647,0.214946417504337,0.06449602969981974,0.9238468797770996,0.8593508500772797,0.06449602969981982
EXP-A1,binary,M1,r2f4,15,647,0.214946417504337,0.07438320089951167,0.9238468797770996,0.8593508500772797,0.06449602969981982
EXP-A1,binary,M1,r2f4,20,647,0.214946417504337,0.07831135044742009,0.9238468797770996,0.8593508500772797,0.06449602969981982
EXP-A1,binary,M1,r3f0,5,644,0.2909216292554804,0.09773500054249298,0.8881076713499465,0.7903726708074534,0.09773500054249307
EXP-A1,binary,M1,r3f0,10,644,0.2909216292554804,0.09773500054249298,0.8881076713499465,0.7903726708074534,0.09773500054249307
EXP-A1,binary,M1,r3f0,15,644,0.2909216292554804,0.0977350005424929,0.8881076713499465,0.7903726708074534,0.09773500054249307
EXP-A1,binary,M1,r3f0,20,644,0.2909216292554804,0.10109217567629594,0.8881076713499465,0.7903726708074534,0.09773500054249307
EXP-A1,binary,M1,r3f1,5,647,0.19369296390636187,0.06416321299889671,0.9281508482384638,0.8639876352395672,0.0641632129988966
EXP-A1,binary,M1,r3f1,10,647,0.19369296390636187,0.0641632129988968,0.9281508482384638,0.8639876352395672,0.0641632129988966
EXP-A1,binary,M1,r3f1,15,647,0.19369296390636187,0.06526179638065287,0.9281508482384638,0.8639876352395672,0.0641632129988966
