run,task,model_id,kind,n_bins,bin,bin_low,bin_high,confidence_mean,accuracy_mean,accuracy_sd,n_folds,n_records,n_classes
EXP-B2,pascal_b,M4,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.3790113261115078,0.35138888888888886,0.2812148469114972,4,23,3
EXP-B2,pascal_b,M4,confidence_vs_accuracy,10,4,0.4,0.5,0.4545087827318367,0.5696617108381814,0.07720086726965396,5,205,3
EXP-B2,pascal_b,M4,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5390388923005064,0.6018121322114063,0.08213823702445251,5,139,3
EXP-B2,pascal_b,M4,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6400039734565045,0.7416666666666667,0.20497289793748072,5,53,3
EXP-B2,pascal_b,M4,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7479417704691358,0.9038461538461539,0.13183951154617393,5,27,3
EXP-B2,pascal_b,M4,confidence_vs_accuracy,10,8,0.8,0.9,0.8521518160422994,1.0,0.0,5,12,3
EXP-B2,pascal_b,M4,confidence_vs_accuracy,10,9,0.9,1.0,0.9202855376253547,1.0,0.0,2,2,3
EXP-B2,pascal_b,M5,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.39062698429065873,0.4738562091503267,0.12944642039436838,3,22,3
EXP-B2,pascal_b,M5,confidence_vs_accuracy,10,4,0.4,0.5,0.45351007439305635,0.38051282051282054,0.3056410256410257,4,94,3
EXP-B2,pascal_b,M5,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5494055660484841,0.6158730158730158,0.22722265189653834,5,68,3
EXP-B2,pascal_b,M5,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.654883965753055,0.6973063973063973,0.1893112427014238,5,60,3
EXP-B2,pascal_b,M5,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7474486438437584,0.7698989898989899,0.16952612852967464,5,56,3
EXP-B2,pascal_b,M5,confidence_vs_accuracy,10,8,0.8,0.9,0.8469946339660298,0.7267857142857144,0.12456083094089536,4,49,3
EXP-B2,pascal_b,M5,confidence_vs_accuracy,10,9,0.9,1.0,0.9686650278871338,0.8412086145933784,0.030457186974926845,2,112,3
EXP-B2,pascal_b,M6,confidence_vs_accuracy,10,4,0.4,0.5,0.4854688772898104,0.6833333333333333,0.20749832663314555,5,12,3
EXP-B2,pascal_b,M6,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5611327865533198,0.7346031746031747,0.1288229951194838,5,58,3
EXP-B2,pascal_b,M6,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.657738583553779,0.7397387677861598,0.04364326219447134,5,198,3
EXP-B2,pascal_b,M6,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7340904922384441,0.7671888812941445,0.05228285478336152,5,193,3
EXP-B2,pascal_b,M7,confidence_vs_accuracy,10,4,0.4,0.5,0.4724196330079174,0.6705128205128206,0.21450905677199825,5,42,3
EXP-B2,pascal_b,M7,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.560927587242904,0.7305194805194806,0.19543249169660076,5,105,3
