method,model_id,task,outer_fold,repeat,fold,objective,trial,score,score_std,n_inner_folds,seconds,status,inner_accuracy,inner_balanced_accuracy,inner_f1,inner_sensitivity,inner_specificity,inner_fold_0_score,inner_fold_1_score,inner_fold_2_score,inner_fold_0_accuracy,inner_fold_0_balanced_accuracy,inner_fold_0_f1,inner_fold_0_sensitivity,inner_fold_0_specificity,inner_fold_1_accuracy,inner_fold_1_balanced_accuracy,inner_fold_1_f1,inner_fold_1_sensitivity,inner_fold_1_specificity,inner_fold_2_accuracy,inner_fold_2_balanced_accuracy,inner_fold_2_f1,inner_fold_2_sensitivity,inner_fold_2_specificity,param_C,param_class_weight,param_gamma,message,best_so_far,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,param_learning_rate,param_subsample
bayes,M3,binary,r0f0,0,0,balanced_accuracy,34,0.761411,0.024769,3,5.4736,ok,0.853452,0.76174,0.62963,0.606004,0.917476,0.735557,0.794807,0.753868,0.84965,0.735557,0.595611,0.542857,0.928258,0.847126,0.794807,0.656331,0.705556,0.884058,0.863584,0.753868,0.63125,0.567416,0.94032,1.1440765200857375,balanced,0.06486387439876501,,0.805059,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,35,0.805669,0.025762,3,2.9079,ok,0.887389,0.806046,0.709163,0.667917,0.944175,0.773859,0.836957,0.806192,0.886946,0.773859,0.677741,0.582857,0.964861,0.878161,0.836957,0.722513,0.766667,0.907246,0.89711,0.806192,0.722741,0.651685,0.960699,6.080853138876636,,0.012310376665498595,,0.805669,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,36,0.740498,0.039583,3,5.3958,ok,0.833398,0.740774,0.590133,0.58349,0.898058,0.708003,0.717271,0.79622,0.853147,0.708003,0.5625,0.462857,0.953148,0.782759,0.717271,0.535627,0.605556,0.828986,0.86474,0.79622,0.674095,0.679775,0.912664,0.011386284963545457,balanced,0.003333362493985582,,0.805669,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,37,0.756503,0.021474,3,3.7068,ok,0.851138,0.756807,0.622309,0.596623,0.91699,0.726467,0.767633,0.775408,0.855478,0.726467,0.589404,0.508571,0.944363,0.833333,0.767633,0.619423,0.655556,0.87971,0.86474,0.775408,0.654867,0.623596,0.92722,2.2729852007005324,,0.00010131752239323808,,0.805669,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,38,0.703948,0.035089,3,1.7413,ok,0.864636,0.704109,0.567201,0.43152,0.976699,0.706162,0.745773,0.659908,0.867133,0.706162,0.571429,0.434286,0.978038,0.873563,0.745773,0.633333,0.527778,0.963768,0.853179,0.659908,0.481633,0.331461,0.988355,991.1061363124861,balanced,0.0016268463567225527,,0.805669,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,39,0.798013,0.009865,3,3.6906,ok,0.873891,0.798246,0.685879,0.669794,0.926699,0.784484,0.807729,0.801825,0.886946,0.784484,0.688103,0.611429,0.95754,0.844828,0.807729,0.665012,0.744444,0.871014,0.890173,0.801825,0.70948,0.651685,0.951965,0.6274924492658965,balanced,0.021079853504409118,,0.805669,,,,,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,0,0.846413,0.01174,3,35.6821,ok,0.875434,0.846502,0.724638,0.797373,0.895631,0.851449,0.830193,0.857596,0.905594,0.851449,0.766571,0.76,0.942899,0.821839,0.830193,0.662309,0.844444,0.815942,0.899422,0.857596,0.762943,0.786517,0.928675,,balanced_subsample,,,0.846413,,0.3,8.0,817.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,1,0.840232,0.013777,3,3.8438,ok,0.878905,0.840342,0.724561,0.774859,0.905825,0.840092,0.82343,0.857175,0.904429,0.840092,0.757396,0.731429,0.948755,0.824138,0.82343,0.659243,0.822222,0.824638,0.908671,0.857175,0.776204,0.769663,0.944687,,balanced_subsample,,,0.846413,10.0,sqrt,4.0,190.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,2,0.83684,0.017868,3,3.2342,ok,0.862322,0.836859,0.703242,0.793621,0.880097,0.846183,0.811836,0.852502,0.890443,0.846183,0.741758,0.771429,0.920937,0.805747,0.811836,0.636559,0.822222,0.801449,0.891329,0.852502,0.748663,0.786517,0.918486,,,,,0.846413,20.0,sqrt,9.0,151.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,3,0.836204,0.010697,3,13.3014,ok,0.895874,0.836419,0.743833,0.73546,0.937379,0.821698,0.839734,0.847178,0.905594,0.821698,0.746082,0.68,0.963397,0.85977,0.839734,0.703883,0.805556,0.873913,0.922543,0.847178,0.79257,0.719101,0.975255,,balanced_subsample,,,0.846413,20.0,sqrt,1.0,656.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,4,0.835759,0.0184,3,8.3792,ok,0.857308,0.83579,0.697218,0.79925,0.87233,0.843987,0.810266,0.853025,0.886946,0.843987,0.735695,0.771429,0.916545,0.8,0.810266,0.631356,0.827778,0.792754,0.885549,0.853025,0.741514,0.797753,0.908297,,balanced,,,0.846413,,sqrt,10.0,460.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,5,0.82773,0.027312,3,8.835,ok,0.815658,0.827656,0.654124,0.84803,0.807282,0.832813,0.792029,0.858348,0.825175,0.832813,0.663677,0.845714,0.819912,0.767816,0.792029,0.59761,0.833333,0.750725,0.854335,0.858348,0.709677,0.865169,0.851528,,,,,0.846413,5.0,log2,10.0,657.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,6,0.843017,0.012572,3,53.3313,ok,0.884304,0.843045,0.733096,0.772983,0.913107,0.852253,0.825242,0.851557,0.910256,0.852253,0.774194,0.754286,0.95022,0.836782,0.825242,0.671296,0.805556,0.844928,0.906358,0.851557,0.769231,0.758427,0.944687,,balanced_subsample,,,0.846413,10.0,0.5,1.0,712.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,7,0.840423,0.004737,3,8.8014,ok,0.887003,0.840572,0.734842,0.761726,0.919417,0.83877,0.835628,0.846871,0.909091,0.83877,0.763636,0.72,0.95754,0.84023,0.835628,0.681922,0.827778,0.843478,0.912139,0.846871,0.775148,0.735955,0.957787,,,,,0.846413,,sqrt,3.0,447.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,8,0.83707,0.01241,3,10.424,ok,0.883918,0.837239,0.728584,0.757974,0.916505,0.829467,0.827174,0.85457,0.904429,0.829467,0.75,0.702857,0.956076,0.833333,0.827174,0.669704,0.816667,0.837681,0.914451,0.85457,0.783626,0.752809,0.956332,,balanced,,,0.846413,30.0,log2,3.0,649.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,9,0.843622,0.011155,3,35.8787,ok,0.884304,0.84374,0.73357,0.774859,0.912621,0.842288,0.830676,0.857903,0.907925,0.842288,0.764179,0.731429,0.953148,0.835632,0.830676,0.67426,0.822222,0.83913,0.909827,0.857903,0.778409,0.769663,0.946143,,balanced,,,0.846413,10.0,0.3,3.0,780.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,10,0.842105,0.019444,3,9.8659,ok,0.851909,0.842127,0.696203,0.825516,0.858738,0.855344,0.814614,0.856357,0.888112,0.855344,0.744681,0.8,0.910688,0.787356,0.814614,0.626263,0.861111,0.768116,0.880925,0.856357,0.737913,0.814607,0.898108,,balanced_subsample,,,0.846413,5.0,0.3,10.0,268.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,11,0.843938,0.015162,3,39.0167,ok,0.869263,0.844009,0.715842,0.801126,0.886893,0.850646,0.822947,0.858222,0.900932,0.850646,0.759207,0.765714,0.935578,0.810345,0.822947,0.648188,0.844444,0.801449,0.89711,0.858222,0.760108,0.792135,0.924309,,balanced_subsample,,,0.846413,30.0,0.3,10.0,954.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,12,0.842116,0.015846,3,7.6461,ok,0.878519,0.842186,0.725371,0.780488,0.903883,0.84727,0.820652,0.858426,0.909091,0.84727,0.769231,0.742857,0.951684,0.822989,0.820652,0.65625,0.816667,0.824638,0.904046,0.858426,0.770083,0.780899,0.935953,,balanced_subsample,,,0.846413,20.0,0.3,5.0,158.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,13,0.843734,0.012959,3,46.3833,ok,0.880062,0.843852,0.728384,0.782364,0.90534,0.841485,0.829106,0.86061,0.903263,0.841485,0.756598,0.737143,0.945827,0.829885,0.829106,0.668161,0.827778,0.830435,0.907514,0.86061,0.776536,0.780899,0.94032,,,,,0.846413,,0.3,5.0,995.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,14,0.842814,0.01681,3,7.5793,ok,0.859622,0.842809,0.704545,0.814259,0.871359,0.861129,0.820531,0.846781,0.893939,0.861129,0.756032,0.805714,0.916545,0.8,0.820531,0.639004,0.855556,0.785507,0.885549,0.846781,0.737401,0.780899,0.912664,,,,,0.846413,5.0,0.5,1.0,128.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,15,0.843749,0.014283,3,64.0614,ok,0.870035,0.8438,0.716569,0.79925,0.88835,0.8557,0.823671,0.851876,0.905594,0.8557,0.769231,0.771429,0.939971,0.811494,0.823671,0.649573,0.844444,0.802899,0.893642,0.851876,0.751351,0.780899,0.922853,,,,,0.846413,,0.5,9.0,997.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,16,0.843749,0.014283,3,63.3097,ok,0.870035,0.8438,0.716569,0.79925,0.88835,0.8557,0.823671,0.851876,0.905594,0.8557,0.769231,0.771429,0.939971,0.811494,0.823671,0.649573,0.844444,0.802899,0.893642,0.851876,0.751351,0.780899,0.922853,,balanced,,,0.846413,20.0,0.5,9.0,993.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,17,0.844843,0.021943,3,5.9781,ok,0.856151,0.844797,0.702314,0.825516,0.864078,0.864648,0.814251,0.855629,0.892774,0.864648,0.756614,0.817143,0.912152,0.796552,0.814251,0.632017,0.844444,0.784058,0.879769,0.855629,0.736041,0.814607,0.896652,,balanced,,,0.846413,5.0,0.5,10.0,109.0,,
bayes,M4,binary,r0f0,0,0,balanced_accuracy,18,0.842499,0.014467,3,39.9322,ok,0.868106,0.842586,0.713568,0.79925,0.885922,0.847057,0.822947,0.857494,0.898601,0.847057,0.753541,0.76,0.934114,0.810345,0.822947,0.648188,0.844444,0.801449,0.895954,0.857494,0.758065,0.792135,0.922853,,balanced,,,0.846413,20.0,0.3,10.0,987.0,,
