configuration,outer_fold,repeat,fold,model_id,n_features,j,fit_predict_seconds,n_train,n_test,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,macro_f1,n_selected,term_performance,term_features,term_time,normalized_features,normalized_inference_time,families
rf_threshold_mean,r0f3,0,3,M4,34,0.2642927081520139,2.525110999995377,2585,655,0.8885496183206106,0.8409520051855819,0.7591240875912408,0.9227799227799228,0.7222222222222222,0.7402135231316725,0.6696636288568928,,,104.0,40.0,478.0,33.0,655.0,137.0,518.0,0.8346354301761376,34,0.11575519887670366,0.04927536231884058,0.09926214695646964,0.2463768115942029,0.9926214695646963,dwt;frequency;mfcc;time
rf_threshold_mean,r0f4,0,4,M4,34,0.24861696249641577,2.7597915999940597,2597,643,0.8989113530326595,0.8939199666030535,0.8854961832061069,0.90234375,0.6987951807228916,0.7811447811447811,0.7250957921810148,,,116.0,50.0,462.0,15.0,643.0,131.0,512.0,0.8577109143337657,34,0.09960235996636402,0.04927536231884058,0.09973924021121117,0.2463768115942029,0.9973924021121117,dwt;envelope;frequency;mfcc;time
rf_threshold_median,r0f0,0,0,M4,69,0.34462109880506214,3.5501068999874406,2593,647,0.8531684698608965,0.8232568402471314,0.7727272727272727,0.8737864077669902,0.6107784431137725,0.6822742474916388,0.5953734241576034,,,102.0,65.0,450.0,30.0,647.0,132.0,515.0,0.7933984302784827,69,0.14462109880506213,0.1,0.1,0.5,1.0,chroma;dwt;envelope;frequency;mfcc;time
rf_threshold_median,r0f1,0,1,M4,69,0.288892201353694,3.7438781000091694,2589,651,0.9185867895545314,0.8658159877594619,0.7761194029850746,0.9555125725338491,0.8188976377952756,0.7969348659003831,0.7464880237788488,,,104.0,23.0,494.0,30.0,651.0,134.0,517.0,0.8730111409232943,69,0.08889220135369395,0.1,0.1,0.5,1.0,chroma;dwt;envelope;frequency;mfcc;time
rf_threshold_median,r0f2,0,2,M4,69,0.3195831491189288,3.9689332999987528,2596,644,0.9021739130434783,0.7936476050176331,0.6106870229007634,0.9766081871345029,0.8695652173913043,0.7174887892376681,0.6755964153951671,,,80.0,12.0,501.0,51.0,644.0,131.0,513.0,0.8291669298301017,69,0.11958314911892884,0.1,0.1,0.5,1.0,chroma;dwt;envelope;frequency;mfcc;time
rf_threshold_median,r0f3,0,3,M4,69,0.3060360777058279,3.5496464999741875,2585,655,0.899236641221374,0.850393146013584,0.7664233576642335,0.9343629343629344,0.7553956834532374,0.7608695652173914,0.6970734000168747,,,105.0,34.0,484.0,32.0,655.0,137.0,518.0,0.8485198889916744,69,0.1060360777058279,0.1,0.1,0.5,1.0,chroma;dwt;envelope;frequency;mfcc;time
rf_threshold_median,r0f4,0,4,M4,69,0.2930445687825584,3.60554839996621,2597,643,0.9066874027993779,0.8988027791030535,0.8854961832061069,0.912109375,0.7204968944099379,0.7945205479452054,0.7415191015172168,,,116.0,45.0,467.0,15.0,643.0,131.0,512.0,0.867079187453488,69,0.0930445687825584,0.1,0.1,0.5,1.0,chroma;dwt;envelope;frequency;mfcc;time
rfecv,r0f0,0,0,M4,58,0.32682322923045515,3.378735600039363,2593,647,0.8547140649149922,0.8270447190350103,0.7803030303030303,0.8737864077669902,0.6130952380952381,0.6866666666666666,0.6011811003155135,,,103.0,65.0,450.0,29.0,647.0,132.0,515.0,0.7960496311200537,58,0.14276525821596242,0.08405797101449275,0.1,0.42028985507246375,1.0,chroma;dwt;envelope;frequency;mfcc;time
rfecv,r0f1,0,1,M4,58,0.2805087504855034,3.3885220999945886,2589,651,0.9109062980030722,0.8582161725223014,0.7686567164179104,0.9477756286266924,0.7923076923076923,0.7803030303030303,0.7245732853974747,,,103.0,27.0,490.0,31.0,651.0,134.0,517.0,0.8622131721842705,58,0.09645077947101063,0.08405797101449275,0.1,0.42028985507246375,1.0,chroma;dwt;envelope;frequency;mfcc;time
rfecv,r0f2,0,2,M4,78,0.341306526122616,3.7090374999679625,2596,644,0.8928571428571429,0.7877996518012589,0.6106870229007634,0.9649122807017544,0.8163265306122449,0.6986899563318777,0.6450676029812293,,,80.0,18.0,495.0,51.0,644.0,131.0,513.0,0.8167670744832193,78,0.1282630478617465,0.11304347826086956,0.1,0.5652173913043478,1.0,chroma;dwt;envelope;frequency;mfcc;time
rfecv,r0f3,0,3,M4,98,0.3564022837066315,3.9132625000202097,2585,655,0.8916030534351145,0.8375137389735929,0.7445255474452555,0.9305019305019305,0.7391304347826086,0.7418181818181818,0.6732274267322127,,,102.0,36.0,482.0,35.0,655.0,137.0,518.0,0.8366095740008783,98,0.11437329819938517,0.14202898550724638,0.1,0.7101449275362319,1.0,chroma;dwt;envelope;frequency;mfcc;time
rfecv,r0f4,0,4,M4,18,0.24315978565339172,2.432182800024748,2597,643,0.8786936236391913,0.8755441913167938,0.8702290076335878,0.880859375,0.6514285714285715,0.7450980392156863,0.679703837789224,,,114.0,61.0,451.0,17.0,643.0,131.0,512.0,0.8327531012404963,18,0.1170728291316526,0.026086956521739132,0.1,0.13043478260869565,1.0,chroma;dwt;envelope;frequency;mfcc;time
