ranker,k,outer_fold,inner_fold,n_selected,j,seconds,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,macro_f1,term_performance,term_features,term_time,normalized_features,normalized_inference_time,families
mutual_info,138,r0f0,0,138,0.40646952829955807,3.5313413999974728,0.9079254079254079,0.8252875967370843,0.6857142857142857,0.9648609077598829,0.8333333333333334,0.7523510971786834,0.7014496838191913,,,120.0,24.0,659.0,55.0,858.0,175.0,683.0,0.8479006738577741,0.10646952829955811,0.2,0.1,1.0,1.0,chroma;dwt;envelope;frequency;mfcc;time
anova_f,10,r0f0,0,10,0.24359827301546808,1.9984162999899127,0.8834498834498834,0.8056640870110856,0.6742857142857143,0.9370424597364568,0.7329192546583851,0.7023809523809523,0.6309202409659249,,,118.0,43.0,640.0,57.0,858.0,175.0,683.0,0.8149585921325051,0.12952898550724642,0.014492753623188408,0.09957653388503324,0.07246376811594203,0.9957653388503324,dwt;frequency;mfcc;time
anova_f,20,r0f0,0,20,0.250937453376715,2.1864077000063844,0.8892773892773893,0.8178247228613261,0.6971428571428572,0.9385065885797951,0.7439024390243902,0.7197640117994101,0.6513964532344563,,,122.0,42.0,641.0,53.0,858.0,175.0,683.0,0.8253867263063862,0.12222929158552964,0.028985507246376815,0.09972265454480853,0.14492753623188406,0.9972265454480852,chroma;dwt;frequency;mfcc;time
anova_f,30,r0f0,0,30,0.2666470047252085,2.475972299987916,0.8869463869463869,0.8206107508889353,0.7085714285714285,0.9326500732064422,0.7294117647058823,0.7188405797101449,0.6482145473096655,,,124.0,46.0,637.0,51.0,858.0,175.0,683.0,0.8240446516347952,0.12316874385564333,0.043478260869565216,0.1,0.21739130434782608,1.0,chroma;dwt;envelope;frequency;mfcc;time
anova_f,40,r0f0,0,40,0.26386341955604475,2.561473699985072,0.9090909090909091,0.8238945827232798,0.68,0.9677891654465594,0.8439716312056738,0.7531645569620253,0.7043587628709874,,,119.0,22.0,661.0,56.0,858.0,175.0,683.0,0.8487251356238699,0.10589240506329109,0.05797101449275363,0.1,0.2898550724637681,1.0,chroma;dwt;envelope;frequency;mfcc;time
anova_f,50,r0f0,0,50,0.27683030794502317,2.8396657000412233,0.9090909090909091,0.8302698180297009,0.6971428571428572,0.9633967789165446,0.8299319727891157,0.7577639751552795,0.7063741395241806,,,122.0,25.0,658.0,53.0,858.0,175.0,683.0,0.8509049431013127,0.1043665398290811,0.07246376811594203,0.1,0.36231884057971014,1.0,chroma;dwt;envelope;frequency;mfcc;time
anova_f,60,r0f0,0,60,0.2917483371091043,3.1974982999963686,0.9102564102564102,0.8246266471449488,0.68,0.9692532942898975,0.85,0.7555555555555555,0.7079739827153233,,,119.0,21.0,662.0,56.0,858.0,175.0,683.0,0.8502974066143231,0.10479181536997384,0.08695652173913043,0.1,0.43478260869565216,1.0,chroma;dwt;envelope;frequency;mfcc;time
anova_f,70,r0f0,0,70,0.30949570257557024,3.1785877000074834,0.9079254079254079,0.818912361430663,0.6685714285714286,0.9692532942898975,0.8478260869565217,0.7476038338658147,0.699559943143176,,,117.0,21.0,662.0,58.0,858.0,175.0,683.0,0.8456479611239266,0.10804642721325138,0.10144927536231885,0.1,0.5072463768115942,1.0,chroma;dwt;envelope;frequency;mfcc;time
anova_f,80,r0f0,0,80,0.32131898258498903,3.2765649000066333,0.9090909090909091,0.8260196611587534,0.6857142857142857,0.9663250366032211,0.8391608391608392,0.7547169811320755,0.7049886480889769,,,120.0,23.0,660.0,55.0,858.0,175.0,683.0,0.8494614948578832,0.10537695359948172,0.11594202898550726,0.1,0.5797101449275363,1.0,chroma;dwt;envelope;frequency;mfcc;time
anova_f,100,r0f0,0,100,0.35570843616980075,3.2806633000145666,0.9044289044289044,0.8188412466011294,0.6742857142857143,0.9633967789165446,0.8251748251748252,0.7421383647798742,0.6894659622594949,,,118.0,25.0,658.0,57.0,858.0,175.0,683.0,0.8417415715172618,0.11078089993791672,0.14492753623188406,0.1,0.7246376811594203,1.0,chroma;dwt;envelope;frequency;mfcc;time
anova_f,120,r0f0,0,120,0.38255338113276793,3.259759100037627,0.9055944055944056,0.8238234678937462,0.6857142857142857,0.9619326500732065,0.821917808219178,0.7476635514018691,0.6944664451258278,,,120.0,26.0,657.0,55.0,858.0,175.0,683.0,0.8447995176364185,0.10864033765450706,0.17391304347826086,0.1,0.8695652173913043,1.0,chroma;dwt;envelope;frequency;mfcc;time
anova_f,138,r0f0,0,138,0.40646952829955807,3.5636202999739908,0.9079254079254079,0.8252875967370843,0.6857142857142857,0.9648609077598829,0.8333333333333334,0.7523510971786834,0.7014496838191913,,,120.0,24.0,659.0,55.0,858.0,175.0,683.0,0.8479006738577741,0.10646952829955811,0.2,0.1,1.0,1.0,chroma;dwt;envelope;frequency;mfcc;time
rf_importance,10,r0f0,0,10,0.2354981278853537,2.157808499992825,0.8916083916083916,0.8129136163982431,0.68,0.9458272327964861,0.7628205128205128,0.7190332326283988,0.6538121371775509,,,119.0,37.0,646.0,56.0,858.0,175.0,683.0,0.8259426090939828,0.12184017363421205,0.014492753623188408,0.09916520062795325,0.07246376811594203,0.9916520062795325,dwt;mfcc;time
rf_importance,20,r0f0,0,20,0.24097324664711442,2.098990500031505,0.8997668997668997,0.8265383810918219,0.7028571428571428,0.9502196193265008,0.7834394904458599,0.7409638554216867,0.6805887592833606,,,123.0,34.0,649.0,52.0,858.0,175.0,683.0,0.8394125635489937,0.11241120551570437,0.028985507246376815,0.09957653388503324,0.14492753623188406,0.9957653388503324,dwt;frequency;mfcc;time
rf_importance,30,r0f0,0,30,0.252398978419908,2.3983257000218146,0.9044289044289044,0.8252164819075507,0.6914285714285714,0.95900439238653,0.8120805369127517,0.7469135802469136,0.6918559296744453,,,121.0,28.0,655.0,54.0,858.0,175.0,683.0,0.844002767134951,0.10919806300553427,0.043478260869565216,0.09972265454480853,0.21739130434782608,0.9972265454480852,chroma;dwt;frequency;mfcc;time
rf_importance,40,r0f0,0,40,0.266655306323093,2.613212600001134,0.9044289044289044,0.8273415603430245,0.6971428571428572,0.9575402635431918,0.8079470198675497,0.7484662576687117,0.692727357842936,,,122.0,29.0,654.0,53.0,858.0,175.0,683.0,0.844736725956658,0.10868429183033936,0.05797101449275363,0.1,0.2898550724637681,1.0,chroma;dwt;envelope;frequency;mfcc;time
