ranker,k,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,j_mean,j_std,seconds_mean,seconds_std,n_evaluations
mutual_info,40,0.8257449180550608,0.036644525514589896,0.8304189115455007,0.03393561697530902,0.7394251778686107,0.06649575968142528,0.9214126452223907,0.03543029581214164,0.8840796779623581,0.028432568540196893,0.7251008594749041,0.05524551852792752,0.2798367692173436,0.02568212519830147,2.5527863466646523,0.3446150513237797,15
mutual_info,50,0.8285659211867565,0.03405934128255277,0.8317498368018448,0.03111856826995749,0.7389869399330848,0.0638663491268487,0.9245127336706047,0.035290013669839325,0.8864578578204776,0.02690675886093613,0.7291226070754657,0.051027693808548845,0.29243581706822963,0.023862421224694324,2.7708205200033262,0.6463481236711646,15
mutual_info,60,0.8270391049920128,0.034178410338232636,0.8306538547641475,0.03154581437991954,0.7378635633097083,0.06301958469654674,0.9234441462185868,0.033457125434749525,0.8853783134502083,0.026376658880810644,0.7267476248102216,0.05171309960540759,0.30802914824472144,0.023924887236762848,2.7411913533423404,0.4186217985433496,15
mutual_info,70,0.8295472092486607,0.033555699464882696,0.8316743965076846,0.03165923813046505,0.7368014397028345,0.0635579603522268,0.9265473533125347,0.031980807107383095,0.8876179092588302,0.02544553775967771,0.7302009105212719,0.051145498826863735,0.32076622888825645,0.023488989625417865,2.87396370000982,0.328449282381379,15
mutual_info,80,0.8309110053324288,0.030737883162398155,0.8334544382261666,0.029456741019262014,0.7401680134121048,0.06038942884866452,0.9267408630402284,0.029691236562898144,0.8884646001369295,0.023259611319376323,0.7323878598270213,0.046937098802208,0.3343043252528071,0.0215165182136787,2.8994955399966176,0.29977552533663565,15
mutual_info,100,0.8313340769377284,0.03372972671533727,0.8329277523187565,0.02999437365235044,0.7382344844731517,0.061777013664547666,0.9276210201643614,0.03466954144019018,0.8887753433931961,0.026309741610066512,0.7330706610370704,0.05079385211188893,0.3629936823754742,0.023610808700736067,3.2778268200034897,0.3671085954144997,15
mutual_info,120,0.831210438530839,0.03176113557457657,0.8320756093530929,0.030132759095586128,0.7352712312512778,0.06205129310971082,0.928879987454908,0.031431153060703695,0.8891627918461074,0.024356251568746573,0.7324531267340486,0.048266857424557254,0.3920657365066736,0.022232794902203593,3.4625056733183253,0.5001083248243055,15
mutual_info,138,0.8312962021524544,0.033086556290640064,0.8306382767628931,0.031703237916234375,0.7303653398060604,0.0644146630511849,0.9309112137197257,0.03099586744207553,0.8897684599244285,0.024635784940220964,0.7321132486622293,0.05087579002592974,0.418092658493282,0.02316058940344806,3.681294579997969,0.7533882674149474,15
rf_importance,10,0.7949263731234478,0.034787893502365344,0.8111586762382071,0.02819786749775464,0.7314820473698815,0.055089510000250995,0.8908353051065326,0.04075159362497165,0.8581530635339764,0.030567405876558835,0.6813206612209598,0.049310271944817304,0.256796671987728,0.024484260039584517,2.0954702799984566,0.26041616903972936,15
rf_importance,20,0.8246597361705674,0.034841588407525534,0.8333469790476745,0.03260235431334455,0.7507303376377379,0.061198322009377616,0.9159636204576113,0.03202920696394838,0.8820630882523453,0.02691856521963321,0.7244695000563781,0.05243272858262955,0.25100322286936844,0.024367728682502494,2.215174713335,0.24786412499188407,15
