exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note
EXP-F1,M4,binary,1,3,r1f3,2589,651,24,0.8755760368663594,0.8066537467700259,0.6888888888888889,0.9244186046511628,0.7045454545454546,0.6966292134831461,0.6184425490907227,0.9075940281366638,0.6960019831007828,93.0,39.0,477.0,42.0,651.0,135.0,516.0,0.1990782549923195,0.035923195084485354,6.454531,1.376797,{},config defaults
EXP-F1,M4,binary,1,4,r1f4,2597,643,24,0.8911353032659409,0.8606348401717557,0.8091603053435115,0.912109375,0.7019867549668874,0.75177304964539,0.6853261123210392,0.9381112833969467,0.7878362073429375,106.0,45.0,467.0,25.0,643.0,131.0,512.0,0.18053145878693624,0.07514774494556761,5.89476,0.869862,{},config defaults
EXP-F1,M4,binary,2,0,r2f0,2596,644,24,0.827639751552795,0.7525482493341071,0.6259541984732825,0.8791423001949318,0.5694444444444444,0.5963636363636363,0.48798046908198106,0.878599169679925,0.6171305165139198,82.0,62.0,451.0,49.0,644.0,131.0,513.0,0.23830955279503105,0.026468944099378833,5.334453,1.979673,{},config defaults
EXP-F1,M4,binary,2,1,r2f1,2589,651,24,0.8832565284178188,0.8159300210745114,0.7014925373134329,0.9303675048355899,0.7230769230769231,0.7121212121212122,0.6390399733038312,0.9335575507376079,0.7830710448995651,94.0,36.0,481.0,40.0,651.0,134.0,517.0,0.17162955453148998,0.047007680491551455,7.242476,1.623691,{},config defaults
EXP-F1,M4,binary,2,2,r2f2,2585,655,24,0.9007633587786259,0.8433052447650988,0.7445255474452555,0.9420849420849421,0.7727272727272727,0.758364312267658,0.6961419210645231,0.941105599864724,0.8444144974240531,102.0,30.0,488.0,35.0,655.0,137.0,518.0,0.1666537404580153,0.08341068702290078,6.757395,2.108996,{},config defaults
EXP-F1,M4,binary,2,3,r2f3,2597,643,24,0.8895800933125972,0.8454571207061068,0.7709923664122137,0.919921875,0.7112676056338029,0.73992673992674,0.6708597527973758,0.9340484852099237,0.7738818373573448,101.0,41.0,471.0,30.0,643.0,131.0,512.0,0.1791536298600311,0.05623328149300157,7.411268,2.334106,{},config defaults
EXP-F1,M4,binary,2,4,r2f4,2593,647,24,0.8763523956723338,0.8096498970285378,0.696969696969697,0.9223300970873787,0.696969696969697,0.696969696969697,0.6192997940570756,0.9135260370697265,0.7359513746783786,92.0,40.0,475.0,40.0,647.0,132.0,515.0,0.19125963523956727,0.03817928902627507,7.250359,1.624373,{},config defaults
EXP-F1,M4,binary,3,0,r3f0,2596,644,24,0.8416149068322981,0.7812151243248069,0.6793893129770993,0.8830409356725146,0.5973154362416108,0.6357142857142857,0.5368676884454356,0.8871478951832508,0.6496939371454404,89.0,60.0,453.0,42.0,644.0,131.0,513.0,0.23084939130434784,0.03644099378881996,7.780988,1.611095,{},config defaults
EXP-F1,M4,binary,3,1,r3f1,2593,647,24,0.8825347758887172,0.841703442188879,0.7727272727272727,0.9106796116504854,0.6891891891891891,0.7285714285714285,0.655675262836323,0.9343998234774934,0.738812242921349,102.0,46.0,469.0,30.0,647.0,132.0,515.0,0.17680367233384853,0.0386862442040187,7.591906,1.622725,{},config defaults
EXP-F1,M4,binary,3,2,r3f2,2585,655,24,0.8809160305343512,0.8380369488835997,0.7647058823529411,0.9113680154142582,0.6933333333333334,0.7272727272727273,0.6526133946858907,0.9403405871018928,0.8213042043972358,104.0,46.0,473.0,32.0,655.0,136.0,519.0,0.1785337893129771,0.07110839694656487,6.811524,1.466196,{},config defaults
EXP-F1,M4,binary,3,3,r3f3,2589,651,24,0.8894009216589862,0.815374677002584,0.6888888888888889,0.9418604651162791,0.7560975609756098,0.7209302325581395,0.6532494195034971,0.9316035027275338,0.7938325360921636,93.0,30.0,486.0,42.0,651.0,135.0,516.0,0.1726837603686636,0.05922887864823349,5.116855,1.311062,{},config defaults
EXP-F1,M4,binary,3,4,r3f4,2597,643,24,0.8771384136858476,0.79788138120229,0.6641221374045801,0.931640625,0.7131147540983607,0.6877470355731226,0.6119912402193595,0.919966603053435,0.7644394277005037,87.0,35.0,477.0,44.0,643.0,131.0,512.0,0.1784808833592535,0.04058786936236397,7.141604,1.88998,{},config defaults
EXP-F1,M4,binary,4,0,r4f0,2585,655,24,0.8244274809160306,0.7861130001133401,0.7205882352941176,0.8516377649325626,0.56,0.6302250803858521,0.5245429773707732,0.8854343760625638,0.6702283886174474,98.0,77.0,442.0,38.0,655.0,136.0,519.0,0.2396058748091603,0.013346564885496133,7.172826,1.793525,{},config defaults
EXP-F1,M4,binary,4,1,r4f1,2596,644,24,0.889751552795031,0.8199559543472761,0.7022900763358778,0.9376218323586745,0.7419354838709677,0.7215686274509804,0.6532839799505233,0.9352707468416589,0.78474658447486,92.0,32.0,481.0,39.0,644.0,131.0,513.0,0.169818099378882,0.06613975155279506,7.652676,1.767499,{},config defaults
EXP-F1,M4,binary,4,2,r4f2,2593,647,24,0.8763523956723338,0.7927478670197117,0.6515151515151515,0.9339805825242719,0.7166666666666667,0.6825396825396826,0.6070415031634077,0.9268387761106207,0.7767195309673147,86.0,34.0,481.0,46.0,647.0,132.0,515.0,0.17400344976816073,0.03486553323029367,7.441569,1.956334,{},config defaults
