run,task,model_id,n_bins,bin,bin_low,bin_high,n_predictions,n_correct,n_incorrect,accuracy_in_bin,share_of_predictions,n_folds_pooled,n_classes
EXP-A2,binary,M5,20,17,0.8500000000000001,0.9,1705,1464,241,0.8586510263929619,0.10524691358024692,25,2
EXP-A2,binary,M5,20,18,0.9,0.9500000000000001,4194,4062,132,0.9685264663805436,0.2588888888888889,25,2
EXP-A2,binary,M5,20,19,0.9500000000000001,1.0,4636,4558,78,0.9831751509922347,0.28617283950617284,25,2
EXP-A2,binary,M6,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A2,binary,M6,20,1,0.05,0.1,0,0,0,,0.0,25,2
EXP-A2,binary,M6,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A2,binary,M6,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A2,binary,M6,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A2,binary,M6,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A2,binary,M6,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A2,binary,M6,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A2,binary,M6,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A2,binary,M6,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A2,binary,M6,20,10,0.5,0.55,645,372,273,0.5767441860465117,0.03981481481481482,25,2
EXP-A2,binary,M6,20,11,0.55,0.6000000000000001,775,534,241,0.6890322580645162,0.047839506172839504,25,2
EXP-A2,binary,M6,20,12,0.6000000000000001,0.65,1005,780,225,0.7761194029850746,0.062037037037037036,25,2
EXP-A2,binary,M6,20,13,0.65,0.7000000000000001,1151,939,212,0.8158123370981755,0.07104938271604938,25,2
EXP-A2,binary,M6,20,14,0.7000000000000001,0.75,1283,1047,236,0.8160561184723305,0.07919753086419754,25,2
EXP-A2,binary,M6,20,15,0.75,0.8,1422,1185,237,0.8333333333333334,0.08777777777777777,25,2
EXP-A2,binary,M6,20,16,0.8,0.8500000000000001,1346,1183,163,0.8789004457652303,0.08308641975308642,25,2
EXP-A2,binary,M6,20,17,0.8500000000000001,0.9,1248,1189,59,0.9527243589743589,0.07703703703703704,25,2
EXP-A2,binary,M6,20,18,0.9,0.9500000000000001,2526,2525,1,0.9996041171813144,0.1559259259259259,25,2
EXP-A2,binary,M6,20,19,0.9500000000000001,1.0,4799,4799,0,1.0,0.2962345679012346,25,2
EXP-A2,binary,M7,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A2,binary,M7,20,1,0.05,0.1,0,0,0,,0.0,25,2
EXP-A2,binary,M7,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A2,binary,M7,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A2,binary,M7,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A2,binary,M7,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A2,binary,M7,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A2,binary,M7,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A2,binary,M7,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A2,binary,M7,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A2,binary,M7,20,10,0.5,0.55,645,375,270,0.5813953488372093,0.03981481481481482,25,2
EXP-A2,binary,M7,20,11,0.55,0.6000000000000001,773,534,239,0.6908150064683053,0.04771604938271605,25,2
EXP-A2,binary,M7,20,12,0.6000000000000001,0.65,1003,776,227,0.773678963110668,0.06191358024691358,25,2
EXP-A2,binary,M7,20,13,0.65,0.7000000000000001,1146,934,212,0.8150087260034904,0.07074074074074074,25,2
EXP-A2,binary,M7,20,14,0.7000000000000001,0.75,1302,1063,239,0.8164362519201229,0.08037037037037037,25,2
EXP-A2,binary,M7,20,15,0.75,0.8,1410,1176,234,0.8340425531914893,0.08703703703703704,25,2
EXP-A2,binary,M7,20,16,0.8,0.8500000000000001,1358,1192,166,0.8777614138438881,0.08382716049382716,25,2
EXP-A2,binary,M7,20,17,0.8500000000000001,0.9,1237,1180,57,0.9539207760711399,0.07635802469135802,25,2
EXP-A2,binary,M7,20,18,0.9,0.9500000000000001,2543,2542,1,0.9996067636649626,0.15697530864197531,25,2
EXP-A2,binary,M7,20,19,0.9500000000000001,1.0,4783,4783,0,1.0,0.2952469135802469,25,2
EXP-A2,binary,M8,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A2,binary,M8,20,1,0.05,0.1,0,0,0,,0.0,25,2
EXP-A2,binary,M8,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A2,binary,M8,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A2,binary,M8,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A2,binary,M8,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A2,binary,M8,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A2,binary,M8,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A2,binary,M8,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A2,binary,M8,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A2,binary,M8,20,10,0.5,0.55,1024,576,448,0.5625,0.06320987654320988,25,2
EXP-A2,binary,M8,20,11,0.55,0.6000000000000001,965,563,402,0.583419689119171,0.0595679012345679,25,2
EXP-A2,binary,M8,20,12,0.6000000000000001,0.65,1244,910,334,0.7315112540192926,0.07679012345679012,25,2
EXP-A2,binary,M8,20,13,0.65,0.7000000000000001,1002,785,217,0.783433133732535,0.06185185185185185,25,2
EXP-A2,binary,M8,20,14,0.7000000000000001,0.75,698,532,166,0.7621776504297995,0.04308641975308642,25,2
EXP-A2,binary,M8,20,15,0.75,0.8,997,865,132,0.8676028084252758,0.06154320987654321,25,2
EXP-A2,binary,M8,20,16,0.8,0.8500000000000001,1276,1147,129,0.8989028213166145,0.07876543209876544,25,2
EXP-A2,binary,M8,20,17,0.8500000000000001,0.9,970,835,135,0.8608247422680413,0.059876543209876544,25,2
EXP-A2,binary,M8,20,18,0.9,0.9500000000000001,2176,1998,178,0.9181985294117647,0.134320987654321,25,2
EXP-A2,binary,M8,20,19,0.9500000000000001,1.0,5848,5783,65,0.9888850889192886,0.36098765432098767,25,2
EXP-B1,pascal_a,M1,20,0,0.0,0.05,0,0,0,,0.0,10,4
EXP-B1,pascal_a,M1,20,1,0.05,0.1,0,0,0,,0.0,10,4
EXP-B1,pascal_a,M1,20,2,0.1,0.15000000000000002,0,0,0,,0.0,10,4
EXP-B1,pascal_a,M1,20,3,0.15000000000000002,0.2,0,0,0,,0.0,10,4
EXP-B1,pascal_a,M1,20,4,0.2,0.25,0,0,0,,0.0,10,4
EXP-B1,pascal_a,M1,20,5,0.25,0.30000000000000004,17,9,8,0.5294117647058824,0.027419354838709678,10,4
EXP-B1,pascal_a,M1,20,6,0.30000000000000004,0.35000000000000003,29,18,11,0.6206896551724138,0.0467741935483871,10,4
EXP-B1,pascal_a,M1,20,7,0.35000000000000003,0.4,15,8,7,0.5333333333333333,0.024193548387096774,10,4
EXP-B1,pascal_a,M1,20,8,0.4,0.45,19,13,6,0.6842105263157895,0.03064516129032258,10,4
EXP-B1,pascal_a,M1,20,9,0.45,0.5,28,13,15,0.4642857142857143,0.04516129032258064,10,4
EXP-B1,pascal_a,M1,20,10,0.5,0.55,27,11,16,0.4074074074074074,0.043548387096774194,10,4
