task,model_id,kind,feature,importance_mean,importance_sd,importance_min,importance_max,rank_mean,rank_sd,rank_best,rank_worst,n_folds,n_folds_positive,rank
binary,M5,permutation,dwt_cD1_std,0.0022871346899640344,0.004671791651699808,-0.0009652509652509078,0.00970417987292238,62.2,48.32908027264744,6,103,5,2,12
binary,M5,permutation,freq_rolloff85_mean,0.002037625495331421,0.005235432836009301,-0.0015535543893129833,0.011198160796393098,63.6,47.95623004365543,5,119,5,3,13
binary,M5,permutation,time_duration,0.0019407757697254204,0.006757483514821984,-0.007731685789938237,0.008401657091717396,57.2,66.67233309252046,7,137,5,3,14
binary,M5,permutation,freq_band_power_350_400,0.001791770577586231,0.00850441237026324,-0.006506325389820533,0.016209170588732724,80.8,50.26629089161045,4,135,5,1,15
binary,M5,permutation,chroma_11_std,0.001776094774627568,0.002142167754488846,-0.0009122665203960989,0.005086325143129722,42.6,43.33358974283114,8,118,5,4,16
binary,M5,permutation,freq_band_power_250_350,0.0016536770295261527,0.00419814411801982,-0.002233009708737921,0.008794250256685033,60.4,42.10463157421045,7,117,5,3,17
binary,M5,permutation,chroma_05_std,0.0016475283637562566,0.001831844754181043,0.0,0.003842685229546694,37.2,24.045789652244736,7,62,5,3,18
binary,M5,permutation,time_kurtosis,0.0016312131406826015,0.002756286285867493,0.0,0.006505932418341298,41.8,17.683325479106017,11,55,5,3,19
binary,M5,permutation,freq_flatness_mean,0.0014205204298348706,0.0012080576868546032,0.00016219514009796487,0.002877434264295697,33.8,14.411800720243116,21,58,5,5,20
binary,M8,permutation,dwt_cD1_entropy,0.05355803834730567,0.013309317380081388,0.03177199110828834,0.06475948808473078,1.4,0.5477225575051662,1,2,5,5,1
binary,M8,permutation,mfcc_04_mean,0.052228744922696156,0.009586537576532552,0.03997407209086044,0.06416466988077021,1.6,0.5477225575051662,1,2,5,5,2
binary,M8,permutation,time_energy,0.014758166792734544,0.011923108020495446,0.003833162210020347,0.028811455296053577,18.4,17.314733610425545,3,39,5,5,3
binary,M8,permutation,time_iqr,0.01281110874674803,0.008329946394835128,-0.00030802196330526055,0.02017284495439834,27.2,48.551004109081,4,114,5,4,4
binary,M8,permutation,time_zcr_mean,0.01280721443636108,0.00727988581577187,0.0029818702290077105,0.023506913798175922,7.4,6.18869937870632,3,18,5,5,5
binary,M8,permutation,dwt_cD5_energy,0.012344892382397504,0.015633197088673223,-0.00854202937368873,0.031281214815670186,44.2,59.93079342041118,3,138,5,4,6
binary,M8,permutation,mfcc_05_std,0.011560960395359936,0.0036405324052720908,0.00552093272900771,0.014468518144288189,6.2,2.3874672772626644,4,10,5,5,7
binary,M8,permutation,dwt_cD1_energy,0.009652679034995193,0.005974898799021037,0.003319567032442816,0.01851379533861286,11.4,5.941380311005179,3,18,5,5,8
binary,M8,permutation,dwt_cD5_mean_abs,0.00857451749144732,0.005154637838572564,-0.00018674761543390205,0.012374227714033547,28.4,45.65413453346805,6,110,5,4,9
binary,M8,permutation,mfcc_01_std,0.007415360404469239,0.003039168319740127,0.004073980200381755,0.010626215370740922,14.2,5.263078946776306,10,23,5,5,10
binary,M8,permutation,freq_bandwidth_mean,0.006694196228067409,0.003525597052024583,0.00104063917932532,0.010385108540076415,20.4,15.582040944625964,7,47,5,5,11
binary,M8,permutation,mfcc_02_mean,0.006559008444795493,0.005350816862180951,0.0010123449427481336,0.014228449543983501,17.6,11.781341180018513,6,33,5,5,12
binary,M8,permutation,env_std,0.005495997999293827,0.004302554539010242,-0.0007544131679389166,0.011141955302539242,30.4,25.2744930710786,9,73,5,4,13
binary,M8,permutation,mfcc_03_std,0.00549118828236316,0.004896091105361956,-0.0010857311952202186,0.01184760223595177,34.0,39.32556420447138,10,101,5,4,14
binary,M8,permutation,dwt_cA5_energy,0.005070022106973951,0.0035648144941313256,0.00102866161260321,0.009720548189812906,23.6,15.852444606432158,6,48,5,5,15
binary,M8,permutation,mfcc_01_mean,0.004487772453834134,0.003017494378262276,0.001697096855795066,0.008281399093511554,34.6,23.394443784796422,8,66,5,5,16
binary,M8,permutation,chroma_11_std,0.004303680322593982,0.00407027958116258,0.00018107262632810484,0.008968215017754522,32.2,22.895414388038493,9,68,5,5,17
binary,M8,permutation,freq_band_power_350_400,0.004183103609989229,0.004610670201860889,-0.0023877325858778333,0.009732274198293612,38.6,40.74064309752609,12,110,5,4,18
binary,M8,permutation,time_autocorr_peak_value,0.004077980565117633,0.0031227770888209052,-0.0010829129442268214,0.007242962786259632,42.0,34.46012188022556,9,100,5,4,19
binary,M8,permutation,time_autocorr_peak_lag,0.003886579170910849,0.003971602377962472,-0.0004424203931984172,0.008486228293379694,38.6,43.22961947554015,8,114,5,4,20
