exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note
EXP-A1,M4,binary,4,3,r4f3,2589,651,138,0.9109062980030722,0.8726959517657192,0.8074074074074075,0.937984496124031,0.7730496453900709,0.7898550724637681,0.7336379046566673,0.9496052253804192,0.8252705301237709,109.0,32.0,484.0,26.0,651.0,135.0,516.0,0.1593782365591398,0.07989554531490017,4.997322,0.52657,{},config defaults
EXP-A1,M4,binary,4,4,r4f4,2597,643,138,0.8895800933125972,0.8198950381679388,0.7022900763358778,0.9375,0.7419354838709677,0.7215686274509804,0.6531510154042239,0.9243648616412214,0.7612843220958072,92.0,32.0,480.0,39.0,643.0,131.0,512.0,0.1791337604976672,0.05283359253499229,4.790398,0.476818,{},config defaults
EXP-A1,M5,binary,0,0,r0f0,2593,647,138,0.8176197836166924,0.8093777581641659,0.7954545454545454,0.8233009708737864,0.5357142857142857,0.6402439024390244,0.5426169517154407,0.9076493086201824,0.7196330402144142,105.0,91.0,424.0,27.0,647.0,132.0,515.0,0.24981299997768133,0.08829066587161698,25.422765,0.014588,{},config defaults
EXP-A1,M5,binary,0,1,r0f1,2589,651,138,0.8970814132104454,0.8439836600363751,0.753731343283582,0.9342359767891683,0.7481481481481481,0.7509293680297398,0.686078396755225,0.9292560408787783,0.8462034463139657,101.0,34.0,483.0,33.0,651.0,134.0,517.0,0.15734658988183498,0.021523313465118273,25.31231,0.014663,{},config defaults
EXP-A1,M5,binary,0,2,r0f2,2596,644,138,0.90527950310559,0.8268604080174993,0.6946564885496184,0.9590643274853801,0.8125,0.7489711934156379,0.6942594774096881,0.9494516613841644,0.8476090298263005,91.0,21.0,492.0,40.0,644.0,131.0,513.0,0.13770349523679365,0.016751588377321054,25.404843,0.014006,{},config defaults
EXP-A1,M5,binary,0,3,r0f3,2585,655,138,0.8763358778625954,0.8385987656060649,0.7737226277372263,0.9034749034749034,0.6794871794871795,0.7235494880546075,0.6465884724679508,0.9318969647436801,0.8035870311344644,106.0,50.0,468.0,31.0,655.0,137.0,518.0,0.17753488218334668,0.02348191145076035,25.136069,0.015554,{},config defaults
EXP-A1,M5,binary,0,4,r0f4,2597,643,138,0.8709175738724728,0.8848625357824427,0.9083969465648855,0.861328125,0.6263157894736842,0.7414330218068536,0.6794857597874479,0.9462666984732825,0.7502255817203937,119.0,71.0,441.0,12.0,643.0,131.0,512.0,0.18886627019421418,0.03815188915064025,25.348217,0.012039,{},config defaults
EXP-A1,M5,binary,1,0,r1f0,2593,647,138,0.8207109737248841,0.8028684907325684,0.7727272727272727,0.8330097087378641,0.5425531914893617,0.6375,0.5376373127989723,0.9047513974698441,0.6983612021093382,102.0,86.0,429.0,30.0,647.0,132.0,515.0,0.24329774307391605,0.05491272030597235,25.34548,0.011623,{},config defaults
EXP-A1,M5,binary,1,1,r1f1,2585,655,138,0.8702290076335878,0.8475716876345913,0.8088235294117647,0.8863198458574181,0.650887573964497,0.7213114754098361,0.6444155839562791,0.940326419585175,0.7781874877712925,110.0,59.0,460.0,26.0,655.0,136.0,519.0,0.1762991308731913,0.02951645705953561,25.554046,0.012295,{},config defaults
EXP-A1,M5,binary,1,2,r1f2,2596,644,138,0.9254658385093167,0.8793208636519203,0.8015267175572519,0.9571150097465887,0.8267716535433071,0.813953488372093,0.7675097915638525,0.9586179188429088,0.8901949116041258,105.0,22.0,491.0,26.0,644.0,131.0,513.0,0.11952266357434412,0.016452189902064325,25.474925,0.012351,{},config defaults
