run,task,arm,model_id,fold_label,repeat,fold,n_train,n_test,n_features,fit_seconds,predict_seconds,params
EXP-A2,binary,nested search,M1,r3f3,3,3,2589,651,138,0.235418,0.006039,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r3f4,3,4,2597,643,138,0.231496,0.008141,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r4f0,4,0,2585,655,138,2.960756,0.007783,"{""C"": 0.204826454940904, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""saga""}"
EXP-A2,binary,nested search,M1,r4f1,4,1,2596,644,138,13.751082,0.007184,"{""C"": 0.1965846755305687, ""l1_ratio"": 1.0, ""max_iter"": 5000, ""solver"": ""saga""}"
EXP-A2,binary,nested search,M1,r4f2,4,2,2593,647,138,0.303102,0.005743,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r4f3,4,3,2589,651,138,0.280663,0.007312,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r4f4,4,4,2597,643,138,0.289608,0.007279,"{""C"": 4.849856684722168, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""lbfgs""}"
EXP-A2,binary,nested search,M3,r0f0,0,0,2593,647,138,1.647064,0.848453,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}"
EXP-A2,binary,nested search,M3,r0f1,0,1,2589,651,138,0.910096,0.570273,"{""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}"
EXP-A2,binary,nested search,M3,r0f2,0,2,2596,644,138,1.521817,0.857941,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}"
EXP-A2,binary,nested search,M3,r0f3,0,3,2585,655,138,1.032749,0.565397,"{""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}"
EXP-A2,binary,nested search,M3,r0f4,0,4,2597,643,138,1.462223,0.902443,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}"
EXP-A2,binary,nested search,M3,r1f0,1,0,2593,647,138,0.822121,0.646897,"{""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}"
EXP-A2,binary,nested search,M3,r1f1,1,1,2585,655,138,1.834653,1.080504,"{""C"": 998.6414196384693, ""class_weight"": ""balanced"", ""gamma"": 0.024720078176140727}"
EXP-A2,binary,nested search,M3,r1f2,1,2,2596,644,138,0.876556,0.576479,"{""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}"
EXP-A2,binary,nested search,M3,r1f3,1,3,2589,651,138,1.446302,0.833005,"{""C"": 0.8984805452588236, ""class_weight"": ""balanced"", ""gamma"": 0.013605140945808798}"
EXP-A2,binary,nested search,M3,r1f4,1,4,2597,643,138,1.767597,1.047737,"{""C"": 739.5089250712385, ""class_weight"": null, ""gamma"": 0.025906921744528157}"
EXP-A2,binary,nested search,M3,r2f0,2,0,2596,644,138,1.623981,0.844078,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}"
EXP-A2,binary,nested search,M3,r2f1,2,1,2589,651,138,0.986337,0.666533,"{""C"": 1.233613500061379, ""class_weight"": ""balanced"", ""gamma"": 0.008766536338520389}"
EXP-A2,binary,nested search,M3,r2f2,2,2,2585,655,138,1.486269,1.06926,"{""C"": 30.440546640217043, ""class_weight"": null, ""gamma"": 0.017593199224444626}"
EXP-A2,binary,nested search,M3,r2f3,2,3,2597,643,138,1.439544,0.843472,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}"
EXP-A2,binary,nested search,M3,r2f4,2,4,2593,647,138,0.967292,0.556345,"{""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}"
EXP-A2,binary,nested search,M3,r3f0,3,0,2596,644,138,1.60231,0.853272,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}"
EXP-A2,binary,nested search,M3,r3f1,3,1,2593,647,138,1.402733,0.887326,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}"
EXP-A2,binary,nested search,M3,r3f2,3,2,2585,655,138,1.625059,0.934619,"{""C"": 1.13317588970326, ""class_weight"": null, ""gamma"": 0.01917339093156976}"
EXP-A2,binary,nested search,M3,r3f3,3,3,2589,651,138,0.852835,0.567249,"{""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}"
EXP-A2,binary,nested search,M3,r3f4,3,4,2597,643,138,1.511385,0.84649,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}"
EXP-A2,binary,nested search,M3,r4f0,4,0,2585,655,138,1.579621,0.868795,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}"
EXP-A2,binary,nested search,M3,r4f1,4,1,2596,644,138,1.876774,1.34103,"{""C"": 940.2739219882317, ""class_weight"": null, ""gamma"": 0.02632552295899838}"
EXP-A2,binary,nested search,M3,r4f2,4,2,2593,647,138,1.462586,0.849306,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}"
EXP-A2,binary,nested search,M3,r4f3,4,3,2589,651,138,1.6059,1.040047,"{""C"": 860.959645077667, ""class_weight"": ""balanced"", ""gamma"": 0.021881539995640433}"
EXP-A2,binary,nested search,M3,r4f4,4,4,2597,643,138,1.533487,0.84263,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}"
EXP-A2,binary,nested search,M4,r0f0,0,0,2593,647,138,19.813179,0.627636,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}"
EXP-A2,binary,nested search,M4,r0f1,0,1,2589,651,138,20.89295,0.648641,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}"
EXP-A2,binary,nested search,M4,r0f2,0,2,2596,644,138,20.38933,0.603088,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}"
EXP-A2,binary,nested search,M4,r0f3,0,3,2585,655,138,6.680817,0.216126,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 9, ""n_estimators"": 273}"
EXP-A2,binary,nested search,M4,r0f4,0,4,2597,643,138,22.594265,0.70742,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 943}"
EXP-A2,binary,nested search,M4,r1f0,1,0,2593,647,138,15.356955,0.688685,"{""class_weight"": null, ""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 872}"
EXP-A2,binary,nested search,M4,r1f1,1,1,2585,655,138,1.886119,0.182256,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 190}"
EXP-A2,binary,nested search,M4,r1f2,1,2,2596,644,138,1.299312,0.127605,"{""class_weight"": null, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""n_estimators"": 151}"
EXP-A2,binary,nested search,M4,r1f3,1,3,2589,651,138,20.225624,0.627075,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}"
EXP-A2,binary,nested search,M4,r1f4,1,4,2597,643,138,7.499956,0.791936,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""n_estimators"": 939}"
EXP-A2,binary,nested search,M4,r2f0,2,0,2596,644,138,10.545289,0.307225,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 349}"
EXP-A2,binary,nested search,M4,r2f1,2,1,2589,651,138,19.812993,0.612255,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}"
EXP-A2,binary,nested search,M4,r2f2,2,2,2585,655,138,16.959758,0.707748,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 7, ""n_estimators"": 977}"
EXP-A2,binary,nested search,M4,r2f3,2,3,2597,643,138,5.355494,0.110322,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 100}"
EXP-A2,binary,nested search,M4,r2f4,2,4,2593,647,138,19.987938,0.631414,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}"
EXP-A2,binary,nested search,M4,r3f0,3,0,2596,644,138,3.898579,0.130844,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""n_estimators"": 152}"
EXP-A2,binary,nested search,M4,r3f1,3,1,2593,647,138,4.57034,0.10194,"{""class_weight"": ""balanced"", ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 100}"
